"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18","fragment19"
"L-Phenylalanine",166.0863,149.059494,131.049698,121.082878,120.080925,119.070732,118.064384,107.049751,106.045685,105.044029,104.056801,103.054077,102.04673,95.049332,94.068169,93.068855,91.054054,79.054787,78.045395,77.039764
"scores",0.3,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.3,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.3,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.00588235294117647
