"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18","fragment19","fragment20","fragment21","fragment22","fragment23","fragment24","fragment25","fragment26","fragment27","fragment28","fragment29","fragment30","fragment31","fragment32","fragment33","fragment34","fragment35","fragment36","fragment37","fragment38","fragment39","fragment40","fragment41","fragment42","fragment43","fragment44","fragment45","fragment46","fragment47","fragment48","fragment49","fragment50","fragment51","fragment52","fragment53","fragment54","fragment55","fragment56","fragment57","fragment58","fragment59","fragment60","fragment61","fragment62","fragment63","fragment64","fragment65","fragment66","fragment67","fragment68","fragment69","fragment70","fragment71","fragment72","fragment73","fragment74","fragment75","fragment76","fragment77","fragment78","fragment79","fragment80","fragment81","fragment82","fragment83","fragment84","fragment85","fragment86","fragment87","fragment88","fragment89","fragment90"
"Bilirubin",585.2708,584.272766,570.090942,569.272766,568.181824,567.181824,566.272766,557.181824,556.272766,555.181824,552.181824,549.181824,548.272766,545.909119,545.454529,542.090942,541.181824,540.272766,539,538.090942,537.545471,537.090942,536.636353,529,528.090942,527.181824,526.272766,525.272766,524.363647,523.181824,522.181824,518.818176,512.181824,511.181824,509.181824,507.909088,506.818207,504.818207,492,491,490,489,487,481.181824,476.818176,472,471,468.272736,467.272736,464.181824,463.181824,462.181824,461.181824,460.181824,452.090912,451,449.181824,448.272736,447.181824,403.090912,335.181824,310.181824,309.090912,301.181824,300.181824,299.181824,298.181824,297.181824,288.181824,287.181824,286.181824,285.181824,284.090912,275.090912,272.181824,271.181824,270.181824,269.181824,255.090912,254.181824,253.181824,241.181824,240.181824,239.181824,238.181824,237.090912,227.090912,225.181824,211.090912,210.090912,209.181824
"scores",0.00121951219512195,0.1,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.1,0.1,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.1,0.00121951219512195,0.00121951219512195,0.1,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.1,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.1,0.1,0.1,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195,0.00121951219512195
