"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8"
"1-Methylhistidine",170.0924,169.144638,126.102592,125.070915,124.087029,109.076233,97.076378,96.068481,83.060905
"scores",0.3,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.3,0.3,0.0166666666666667,0.0166666666666667,0.0166666666666667
