"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14"
"Phenylacetylglutamine",265.1183,248.091705,247.107498,220.096832,219.112991,147.076447,136.075745,131.053543,130.049911,129.065872,102.054955,101.07103,91.054283,84.044548,83.060547
"scores",0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.166666666666667,0.166666666666667,0.0111111111111111,0.166666666666667,0.166666666666667,0.0111111111111111,0.0111111111111111,0.166666666666667,0.166666666666667,0.0111111111111111
