"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5"
"Uridine",245.0768,200.0564,152.035,140.0354,110.0247,82.0307
"scores",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
