"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18","fragment19","fragment20"
"L-Kynurenine",209.0921,192.06543,174.054932,164.070541,163.086472,150.054932,146.060013,136.075714,132.044327,122.060173,120.044556,118.065315,116.034348,104.049774,99.008102,95.068871,94.065674,88.039848,77.039322,74.024361,71.519653
"scores",0.00909090909090909,0.1,0.1,0.00909090909090909,0.1,0.1,0.1,0.1,0.00909090909090909,0.00909090909090909,0.1,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.1,0.00909090909090909,0.1,0.00909090909090909,0.00909090909090909,0.1,0.00909090909090909
