"","[M+H]+","fragment1","fragment2","fragment3","fragment4"
"Hippuric acid",180.0655,105.0334,95.0489,77.0382,53.0383
"scores",0.0333333333333333,0.45,0.0333333333333333,0.45,0.0333333333333333
