"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5"
"Tyramine",138.0913,121.0633,103.0541,93.0698,91.0542,77.0385
"scores",0.1,0.18,0.18,0.18,0.18,0.18
