"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11"
"gamma-tocopherol",417.3727,151,150,125,111,105,104,97,85,83,69,57
"scores",0.0125,0.225,0.225,0.0125,0.225,0.225,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125
