"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18","fragment19","fragment20","fragment21","fragment22","fragment23","fragment24","fragment25","fragment26","fragment27","fragment28","fragment29","fragment30","fragment31","fragment32","fragment33","fragment34","fragment35","fragment36","fragment37","fragment38"
"Piperine",286.1438,258.150085,203.059769,202.057953,201.055344,187.076492,185.094208,174.065186,173.05986,172.047348,171.044418,161.058487,160.047348,159.044617,157.104477,157.065048,152.102615,151.100372,150.091644,145.065384,144.053146,143.050186,139.273743,136.04776,135.044922,134.09668,131.050827,129.073288,128.062271,127.053894,122.096161,117.070007,117.031395,116.057869,115.406509,115.055725,112.077072,105.033936,103.05555
"scores",0.00333333333333333,0.00333333333333333,0.00333333333333333,0.1,0.1,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.1,0.00333333333333333,0.1,0.00333333333333333,0.00333333333333333,0.1,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.1,0.00333333333333333,0.00333333333333333,0.1,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.1,0.00333333333333333,0.1,0.00333333333333333,0.00333333333333333,0.00333333333333333
