"","[M+Na]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18","fragment19","fragment20","fragment21","fragment22","fragment23","fragment24","fragment25","fragment26","fragment27","fragment28","fragment29","fragment30","fragment31","fragment32","fragment33","fragment34","fragment35","fragment36","fragment37","fragment38","fragment39","fragment40","fragment41","fragment42","fragment43","fragment44","fragment45","fragment46","fragment47","fragment48","fragment49","fragment50","fragment51","fragment52","fragment53","fragment54","fragment55","fragment56","fragment57","fragment58","fragment59","fragment60","fragment61","fragment62","fragment63","fragment64","fragment65","fragment66","fragment67","fragment68","fragment69","fragment70","fragment71","fragment72","fragment73","fragment74","fragment75","fragment76","fragment77","fragment78","fragment79","fragment80","fragment81","fragment82","fragment83","fragment84","fragment85","fragment86","fragment87","fragment88","fragment89","fragment90","fragment91","fragment92","fragment93","fragment94","fragment95","fragment96","fragment97","fragment98","fragment99","fragment100","fragment101","fragment102","fragment103","fragment104","fragment105"
"Glucose",203.0526,202.561264,202.216202,202.115387,202.059433,201.185211,201.111679,201.072647,193.054001,187.147461,187.132507,187.096252,185.153458,185.116776,183.100647,173.11676,172.499481,171.040665,169.121887,169.085968,167.106644,162.099152,161.095535,156.035431,155.106277,153.12677,153.091095,151.075272,149.132584,149.09494,149.022461,148.068024,147.080307,147.064789,147.029984,145.121994,141.090729,141.054276,139.111465,139.074814,137.096069,135.080414,133.100815,131.085114,130.073425,130.057861,129.069763,129.054565,127.111641,127.075333,125.095909,125.059746,123.11689,123.080467,121.101364,119.085541,117.069626,115.075409,113.096214,113.059929,112.120399,112.047432,111.117126,111.080353,111.044205,109.101494,109.065186,107.085617,105.069992,105.033417,103.075554,102.06321,101.060036,99.080841,99.044327,97.101524,97.064926,97.028534,96.088936,95.085854,93.070496,91.054588,89.06015,87.044518,85.22776,85.101639,85.069824,85.065323,85.059196,83.085846,83.049522,81.07032,79.903542,74.068489,73.065384,73.029091,71.086105,71.049751,70.037415,69.070496,69.034126,68.058212,67.054863,59.049782,57.070641,57.034203
"scores",0.05,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.05,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.05,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.05,0.00113636363636364,0.05,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.05,0.05,0.00113636363636364,0.05,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.05,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.05,0.00113636363636364,0.05,0.05,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.05,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.05,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.05,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.00113636363636364,0.05,0.00113636363636364,0.00113636363636364,0.05,0.00113636363636364,0.05,0.00113636363636364
