"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18","fragment19","fragment20","fragment21","fragment22","fragment23","fragment24","fragment25","fragment26","fragment27","fragment28","fragment29","fragment30","fragment31"
"L-Isoleucine",132.1019,132.090668,132.076675,132.071976,132.065567,131.162064,124.087044,120.01162,114.102837,114.091652,105.070061,101.079369,100.075882,96.995613,95.016441,90.055458,88.076187,87.100288,87.09214,86.096924,86.090843,86.088013,86.081757,85.084656,85.078278,84.081314,73.076691,72.081444,72.045052,70.065796,69.07058,56.050297
"scores",0.00384615384615385,0.15,0.00384615384615385,0.00384615384615385,0.00384615384615385,0.00384615384615385,0.00384615384615385,0.00384615384615385,0.00384615384615385,0.00384615384615385,0.00384615384615385,0.00384615384615385,0.00384615384615385,0.00384615384615385,0.00384615384615385,0.00384615384615385,0.15,0.00384615384615385,0.00384615384615385,0.15,0.00384615384615385,0.15,0.00384615384615385,0.15,0.00384615384615385,0.15,0.00384615384615385,0.00384615384615385,0.00384615384615385,0.00384615384615385,0.00384615384615385,0.00384615384615385
