"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6"
"1-Methyladenosine",282.1197,151.080414,150.077133,133.049286,115.039024,85.028824,57.034241
"scores",0.0166666666666667,0.0166666666666667,0.9,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667
