"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18","fragment19"
"L-Asparagine",133.0608,133.031555,132.612701,116.034348,112.099709,111.011093,105.070206,102.09166,98.024025,97.076355,96.99559,88.039772,87.055794,85.076584,74.024315,72.852364,72.081436,70.065704,70.029449,60.0452
"scores",0.18,0.00666666666666667,0.00666666666666667,0.18,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.18,0.18,0.00666666666666667,0.18,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667
