"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15"
"2-Methylguanosine",298.1146,169.0524,167.0748,166.0711,165.0641,161.064,149.044,132.0269,117.0078,115.096,110.0336,99.1,96.0559,91.1125,73.0285,69.0699
"scores",0.00666666666666667,0.00666666666666667,0.00666666666666667,0.9,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667
