"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18","fragment19","fragment20","fragment21","fragment22"
"N-acetyl-D-glucosamine",222.0972,135.065689,135.043869,118.040359,117.932915,115.041115,107.049789,100.930672,99.95813,98.061172,97.028687,95.012894,90.049202,81.030632,79.053932,70.957413,70.065346,69.033302,68.965828,60.04512,59.07317,58.067699,55.937103
"scores",0.0428571428571429,0.0428571428571429,0.0428571428571429,0.0428571428571429,0.0428571428571429,0.0428571428571429,0.0428571428571429,0.0428571428571429,0.0428571428571429,0.0428571428571429,0.0428571428571429,0.0428571428571429,0.0428571428571429,0.0428571428571429,0.0428571428571429,0.0428571428571429,0.0428571428571429,0.0428571428571429,0.05,0.05,0.0428571428571429,0.0428571428571429,0.0428571428571429
