"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14"
"L-Tryptophan",205.0972,188.070587,170.05986,160.075577,159.091553,146.060028,144.080673,144.044327,143.072342,142.065186,132.08075,130.06514,118.065247,87.044579,74.024323
"scores",0.00833333333333333,0.3,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.3,0.3,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333
