"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18","fragment19","fragment20","fragment21","fragment22","fragment23","fragment24","fragment25","fragment26","fragment27","fragment28","fragment29","fragment30","fragment31","fragment32","fragment33","fragment34","fragment35","fragment36","fragment37","fragment38","fragment39","fragment40","fragment41","fragment42","fragment43","fragment44","fragment45","fragment46","fragment47","fragment48","fragment49","fragment50","fragment51","fragment52","fragment53","fragment54","fragment55"
"Genistein",271.0601,253.0503,243.0659,242.058,225.0553,215.0711,213.0557,201.0545,200.0485,197.0607,187.0759,187.0407,183.0444,175.0758,173.0596,169.0652,168.0576,165.0182,159.0803,159.044,155.0486,153.0804,153.0181,152.0613,151.0545,150.0302,149.0231,147.0796,147.0438,145.0644,145.0276,144.057,141.1295,141.0692,137.0226,135.043,131.0836,131.0479,129.0684,128.0607,127.0526,121.0262,119.0468,117.0674,115.0515,111.0044,109.025,107.0454,103.0506,91.0977,91.0485,89.0325,69.0253,68.9874,67.0076,65.0278
"scores",0.05,0.05,0.05,0.00263157894736842,0.00263157894736842,0.05,0.00263157894736842,0.00263157894736842,0.00263157894736842,0.05,0.00263157894736842,0.00263157894736842,0.00263157894736842,0.00263157894736842,0.00263157894736842,0.05,0.00263157894736842,0.00263157894736842,0.00263157894736842,0.05,0.00263157894736842,0.05,0.05,0.00263157894736842,0.00263157894736842,0.00263157894736842,0.05,0.00263157894736842,0.00263157894736842,0.00263157894736842,0.05,0.00263157894736842,0.00263157894736842,0.05,0.00263157894736842,0.00263157894736842,0.00263157894736842,0.05,0.00263157894736842,0.00263157894736842,0.00263157894736842,0.05,0.05,0.00263157894736842,0.05,0.00263157894736842,0.00263157894736842,0.00263157894736842,0.00263157894736842,0.00263157894736842,0.05,0.00263157894736842,0.00263157894736842,0.05,0.00263157894736842,0.00263157894736842
