"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18","fragment19","fragment20","fragment21","fragment22"
"Sphinganine",302.3054,284.322296,266.308258,254.306625,240.290863,205.604324,137.138062,123.122093,111.121216,109.105804,97.104568,95.088875,85.099113,83.087936,81.072159,71.785172,71.050674,70.066589,69.07164,67.053925,60.045559,57.070847,55.054996
"scores",0.00588235294117647,0.15,0.15,0.15,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.15,0.00588235294117647,0.00588235294117647,0.15,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.15,0.00588235294117647,0.00588235294117647
