"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7"
"Nicotine",163.123,132.0837,130.0683,120.0846,117.0606,106.0683,84.0835,80.0522
"scores",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
