"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8"
"Xanthine",153.0407,136.0138,110.0349,108.0182,93.009,83.0234,82.0394,81.0081,68.0124
"scores",0.3,0.0166666666666667,0.3,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.3,0.0166666666666667,0.0166666666666667
