"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18","fragment19","fragment20","fragment21","fragment22","fragment23","fragment24","fragment25","fragment26","fragment27","fragment28","fragment29","fragment30","fragment31"
"p-Octopamine",154.0863,154.072266,137.499634,137.107239,136.075485,127.075706,126.077309,125.094711,119.049202,114.091385,112.099586,111.091881,111.055458,109.101486,109.075859,107.435661,98.984444,97.0765,91.054604,87.936226,86.060432,84.081039,83.049965,75.517014,72.045059,72.042862,71.061066,67.054932,63.337643,55.933353,55.054989,54.729282
"scores",0.00357142857142857,0.00357142857142857,0.00357142857142857,0.00357142857142857,0.225,0.00357142857142857,0.00357142857142857,0.00357142857142857,0.225,0.00357142857142857,0.00357142857142857,0.225,0.00357142857142857,0.00357142857142857,0.00357142857142857,0.00357142857142857,0.00357142857142857,0.00357142857142857,0.225,0.00357142857142857,0.00357142857142857,0.00357142857142857,0.00357142857142857,0.00357142857142857,0.00357142857142857,0.00357142857142857,0.00357142857142857,0.00357142857142857,0.00357142857142857,0.00357142857142857,0.00357142857142857,0.00357142857142857
