"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9"
"L-Cystine",241.0311,177.998,151.9838,122.0259,120.0123,105.0004,86.9886,77.0213,74.0214,74.0064
"scores",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
