"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18","fragment19","fragment20","fragment21","fragment22","fragment23","fragment24"
"2'-deoxyguanosine",268.1041,250,233,195.2,192.4,177.5,175.1,158,157.2,155.9,152.2,148.7,137.4,136,135.2,121.3,117.2,112.4,109.4,107.9,99.1,93.4,91.9,73.7,59.2
"scores",0.225,0.00476190476190476,0.00476190476190476,0.00476190476190476,0.00476190476190476,0.00476190476190476,0.00476190476190476,0.225,0.00476190476190476,0.00476190476190476,0.225,0.00476190476190476,0.00476190476190476,0.00476190476190476,0.00476190476190476,0.00476190476190476,0.225,0.00476190476190476,0.00476190476190476,0.00476190476190476,0.00476190476190476,0.00476190476190476,0.00476190476190476,0.00476190476190476,0.00476190476190476
