"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8"
"delta-tocopherol",403.3571,387,386,232,137,136,127,121,105
"scores",0.225,0.225,0.02,0.02,0.225,0.02,0.02,0.02,0.225
