CAR,[M+H]+,[M-N(CH3)3]+,[M-RCOOH]+,[RCO]+,[M-R-N(CH3)3]+
CAR(2:0),204.12306,145.04956,144.10191,43.01786,85.0284
CAR(3:0),218.13871,159.06521,144.10191,57.03352,85.0284
CAR(4:0),232.15436,173.08086,144.10191,71.04918,85.0284
CAR(5:1),244.15436,185.08086,144.10191,83.04918,85.0284
CAR(5:0),246.17001,187.09651,144.10191,85.06484,85.0284
CAR(3DC),247.10507,188.03157,144.10191,85.99987,85.0284
CAR(4-OH),248.14928,189.07578,144.10191,87.0441,85.0284
CAR(6:0),260.18566,201.11216,144.10191,99.0805,85.0284
CAR(4DC),261.12072,202.04722,144.10191,100.01553,85.0284
CAR(5-OH),262.16493,203.09143,144.10191,101.05976,85.0284
CAR(7:0),274.20131,215.12781,144.10191,113.09616,85.0284
CAR(5DC),275.13637,216.06287,144.10191,114.03119,85.0284
CAR(8:1),286.20131,227.12781,144.10191,125.09616,85.0284
CAR(6:1DC),288.1442,229.0707,144.10191,126.03119,85.0284
CAR(8:0),288.21696,229.14346,144.10191,127.11182,85.0284
CAR(6DC),289.15202,230.07852,144.10191,128.04685,85.0284
CAR(8:1-OH),302.19623,243.12273,144.10191,141.09108,85.0284
CAR(7DC),303.16767,244.09417,144.10191,142.06251,85.0284
CAR(10:3),310.20131,251.12781,144.10191,149.09616,85.0284
CAR(10:2),312.21696,253.14346,144.10191,151.11182,85.0284
CAR(10:1),314.23261,255.15911,144.10191,153.12748,85.0284
CAR(8:1DC),315.16767,256.09417,144.10191,156.07817,85.0284
CAR(10:0),316.24825,257.17475,144.10191,155.14314,85.0284
CAR(10-OH),332.2431,258.10982,144.10191,171.13806,85.0284
CAR(8DC),317.18332,258.10982,144.10191,156.07817,85.0284
CAR(12:1),342.2639,283.1904,144.10191,181.1588,85.0284
CAR(12:0),344.27955,285.20605,144.10191,183.17446,85.0284
CAR(10DC),345.21462,286.14112,144.10191,184.10949,85.0284
CAR(14:2),368.27955,309.20605,144.10191,207.17446,85.0284
CAR(14:1),370.29521,311.22171,144.10191,209.19012,85.0284
CAR(14:0),372.31086,313.23736,144.10191,211.20578,85.0284
CAR(14:1-OH),386.29013,327.21663,144.10191,225.18504,85.0284
CAR(12DC),388.30578,329.23228,144.10191,212.14081,85.0284
CAR(14-OH),388.30578,329.23228,144.10191,227.2007,85.0284
CAR(16:2),396.31086,337.23736,144.10191,235.20578,85.0284
CAR(16:1),398.32651,339.25301,144.10191,237.22144,85.0284
CAR(16:0),400.34216,341.26866,144.10191,239.2371,85.0284
CAR(14:1DC),414.32143,355.24793,144.10191,238.15647,85.0284
CAR(16:1-OH),414.32143,355.24793,144.10191,253.21636,85.0284
CAR(14DC),416.33708,357.26358,144.10191,240.17213,85.0284
CAR(16-OH),416.33708,357.26358,144.10191,255.23202,85.0284
CAR(18:2),424.34216,365.26866,144.10191,263.2371,85.0284
CAR(18:1),426.35781,367.28431,144.10191,265.25276,85.0284
CAR(18:0),428.37346,369.29996,144.10191,267.26842,85.0284
CAR(18:2-OH),440.33708,381.26358,144.10191,279.23202,85.0284
CAR(18:1-OH),442.35273,383.27923,144.10191,281.24768,85.0284
CAR(18-OH),444.36838,385.29488,144.10191,283.26334,85.0284
CAR(20:0),456.40476,397.33126,144.10191,295.29974,85.0284
CAR(18:1DC),470.38398,411.31048,144.10191,294.21911,85.0284
CAR(18DC),472.39968,413.32618,144.10191,296.23477,85.0284
CAR(20-OH),472.39968,413.32618,144.10191,311.29466,85.0284
CAR(22:0),484.43606,425.36256,144.10191,323.33106,85.0284
scores,0.45,0.033333333,0.033333333,0.033333333,0.45
