"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18","fragment19","fragment20","fragment21","fragment22","fragment23","fragment24","fragment25","fragment26","fragment27","fragment28","fragment29","fragment30","fragment31","fragment32","fragment33","fragment34","fragment35","fragment36","fragment37"
"Biliverdin",583.2557,566.303894,565.318848,564.640137,555.27002,547.268433,540.434143,539.372925,538.697632,524.319946,523.2771,510.359741,476.310944,461.219788,460.24942,450.358612,402.31366,343.236023,325.250916,309.18515,300.265381,299.200745,298.190979,297.200195,287.269775,285.321594,279.268127,271.232239,269.144104,253.213379,251.308701,239.143692,238.154236,237.154877,227.209747,223.177673,210.245636,209.229965
"scores",0.00285714285714286,0.00285714285714286,0.3,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.3,0.00285714285714286,0.3,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286
