"","[M+Na]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18","fragment19","fragment20","fragment21","fragment22","fragment23","fragment24","fragment25","fragment26","fragment27","fragment28","fragment29","fragment30","fragment31","fragment32","fragment33","fragment34","fragment35","fragment36","fragment37","fragment38","fragment39","fragment40","fragment41","fragment42","fragment43","fragment44","fragment45","fragment46","fragment47","fragment48","fragment49","fragment50","fragment51","fragment52","fragment53","fragment54","fragment55","fragment56","fragment57","fragment58","fragment59","fragment60","fragment61","fragment62","fragment63","fragment64","fragment65","fragment66","fragment67","fragment68","fragment69","fragment70","fragment71","fragment72","fragment73","fragment74","fragment75","fragment76","fragment77","fragment78","fragment79","fragment80","fragment81","fragment82","fragment83","fragment84","fragment85","fragment86","fragment87","fragment88","fragment89","fragment90","fragment91","fragment92","fragment93","fragment94","fragment95","fragment96","fragment97","fragment98","fragment99","fragment100","fragment101","fragment102","fragment103","fragment104"
"Inositol",203.0526,201.110596,187.148056,187.131592,186.935623,185.153839,173.117111,169.121277,169.085968,168.923523,167.106293,162.099594,161.095963,155.10643,155.016724,154.278214,153.126953,151.074432,149.132034,149.022583,147.079926,145.121841,145.100525,143.084641,141.127396,141.090622,139.111252,137.096039,133.100769,131.085205,129.069778,129.054688,127.111588,127.075066,126.099777,125.095955,123.116722,123.080147,121.101128,119.085411,116.097336,114.099571,113.096214,113.059715,112.120438,112.047379,111.116859,111.080574,111.044189,109.101364,109.065109,107.085884,105.070152,105.033638,103.075035,102.063049,101.059967,100.07608,99.080513,99.044243,98.10495,97.101547,97.065224,97.028748,96.089111,95.085892,95.049347,93.07032,92.044357,91.054665,89.060234,87.044495,85.101646,85.065208,85.028877,84.089577,83.085938,83.049644,81.070282,81.034004,79.054436,75.044609,74.096947,74.06852,73.065369,73.029083,71.086296,71.049706,70.073769,69.070534,69.034149,68.05806,67.05484,63.325058,61.029305,59.049892,58.502533,58.073845,58.065819,57.070637,57.034241,56.058258,55.530117,55.05497,55.018463
"scores",0.05,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.05,0.05,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.05,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.05,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.05,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.05,0.05,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.05,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.05,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.05,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.05,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.05,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.05,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.05,0.00114942528735632,0.00114942528735632,0.05,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.05,0.00114942528735632,0.00114942528735632,0.00114942528735632,0.05,0.00114942528735632
