"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14"
"Theobromine",181.072,164.0608,163.0598,139.0673,138.0651,137.0809,136.0598,135.0659,122.0582,113.0325,111.0652,110.0707,109.0472,108.0553,96.0557
"scores",0.128571428571429,0.0125,0.128571428571429,0.0125,0.128571428571429,0.128571428571429,0.0125,0.128571428571429,0.0125,0.0125,0.0125,0.128571428571429,0.0125,0.128571428571429,0.0125
