"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18","fragment19","fragment20","fragment21","fragment22","fragment23","fragment24","fragment25","fragment26","fragment27","fragment28","fragment29","fragment30","fragment31","fragment32","fragment33","fragment34","fragment35","fragment36","fragment37","fragment38","fragment39","fragment40","fragment41","fragment42","fragment43","fragment44","fragment45","fragment46","fragment47","fragment48","fragment49","fragment50","fragment51","fragment52","fragment53","fragment54","fragment55","fragment56","fragment57","fragment58","fragment59","fragment60","fragment61","fragment62","fragment63","fragment64","fragment65","fragment66","fragment67","fragment68","fragment69"
"Sphingosine",300.2897,286.044037,285.282593,284.767303,284.281647,283.282257,283.182129,282.614746,282.279297,282.179016,281.618042,280.271332,277.067657,274.323578,266.972076,266.280396,265.268738,264.2677,263.286987,263.249908,262.252197,256.624023,255.246399,254.27655,253.685547,253.27153,252.356903,252.323441,252.268143,252.227386,248.247742,247.177261,240.232315,237.233261,236.238785,223.203369,222.230209,218.845306,215.743668,213.235901,212.22937,211.20491,210.174423,206.197327,205.204712,198.21936,196.20343,193.17598,192.182175,184.208694,177.145554,169.827087,168.025467,166.164215,150.140091,149.130096,138.130371,135.11441,128.10701,125.745438,121.100601,111.081558,109.098366,107.084091,105.067657,97.098198,97.081322,96.080612,95.081093,93.065331
"scores",0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.225,0.00151515151515151,0.00151515151515151,0.225,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.225,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.225,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151,0.00151515151515151
