"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5"
"3-Methylhistidine",170.0924,126.1051,109.0779,97.0779,96.0697,95.0625
"scores",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
