Cholesterol,[M+NH4]+,[M+H-H2O]+,[Exper_CholFrag1]+,[CholFrag2]+,[CholFrag3]+,[CholFrag4]+,[CholFrag5]+,[HiInt_CholFrag6]+,[CholFrag7]+
Cholesterol,404.3887,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
score,0.0125,0.9,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125
