"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13"
"N-Acetylputrescine",131.1179,116.095482,115.094841,115.088303,114.091423,73.084747,73.07843,73.04834,72.081398,72.045006,71.008186,71.005943,61.048527,60.045151
"scores",0.00909090909090909,0.00909090909090909,0.333333333333333,0.00909090909090909,0.00909090909090909,0.333333333333333,0.00909090909090909,0.00909090909090909,0.333333333333333,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909
