"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12"
"Thymidine",243.0975,153.8,127.1,117.1,110.1,98.9,90.2,81.1,73.1,71.8,71,68.9,46
"scores",0.00909090909090909,0.00909090909090909,0.45,0.45,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909
