"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18","fragment19","fragment20","fragment21"
"Daidzein",255.0652,237.056,227.0717,199.0762,197.0604,184.0531,181.0655,171.081,157.0652,153.0696,152.0621,151.0536,145.0287,137.0223,131.0477,129.0684,128.0605,127.0528,119.0466,91.0486,81.0263,65.0278
"scores",0.45,0.005,0.005,0.45,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
