"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7"
"Cotinine",177.1022,149.0761,146.0593,120.0794,119.0484,118.0646,116.9485,106.0633
"scores",0.225,0.025,0.225,0.225,0.025,0.225,0.025,0.025
