"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9"
"Glutathione (GSH)",308.0911,290.130981,272.051056,245.19632,233.085693,215.132202,179.081558,162.011276,143.971436,116.028168
"scores",0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.333333333333333,0.0142857142857143,0.333333333333333,0.333333333333333,0.0142857142857143,0.0142857142857143
