"","[M+Na]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18","fragment19","fragment20","fragment21","fragment22","fragment23","fragment24","fragment25","fragment26","fragment27","fragment28","fragment29","fragment30","fragment31","fragment32","fragment33","fragment34","fragment35","fragment36","fragment37","fragment38","fragment39","fragment40","fragment41","fragment42","fragment43","fragment44","fragment45","fragment46","fragment47","fragment48","fragment49","fragment50","fragment51","fragment52","fragment53","fragment54","fragment55","fragment56","fragment57","fragment58","fragment59","fragment60","fragment61","fragment62","fragment63","fragment64","fragment65","fragment66","fragment67","fragment68","fragment69","fragment70","fragment71","fragment72","fragment73"
"Fructose",203.0526,202.561874,202.216125,202.059601,201.112183,185.116516,173.117203,171.041061,169.084991,164.717163,161.096069,158.488419,156.035614,155.106461,150.214767,147.079651,146.023193,145.122314,141.12674,141.054474,139.111649,135.080063,131.728287,131.086258,130.05838,129.06958,129.054459,129.030594,128.393402,127.111855,127.075211,125.09626,123.116631,123.079865,121.100677,119.085403,113.096153,113.059662,112.121284,111.116791,111.080315,111.04406,109.10128,109.064911,107.085518,105.033981,103.075424,101.059769,97.101494,97.065117,96.089104,95.085899,93.070366,89.059708,87.044449,85.10183,85.065018,83.086029,83.049294,81.298264,81.070427,80.855911,79.664833,77.341286,74.068764,73.065369,73.029121,71.086113,71.049683,69.070625,69.034088,67.054924,58.230556,57.070576
"scores",0.333333333333333,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.333333333333333,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.333333333333333,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535,0.00140845070422535
