"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12"
"Sorbitol",183.0863,165.075226,147.064865,129.054321,111.043831,103.038994,101.059242,99.043884,91.03894,87.043953,85.02829,83.049011,69.033302
"scores",0.18,0.18,0.18,0.18,0.18,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125
