"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18","fragment19","fragment20","fragment21","fragment22","fragment23","fragment24","fragment25","fragment26","fragment27","fragment28","fragment29","fragment30","fragment31","fragment32","fragment33","fragment34","fragment35","fragment36","fragment37","fragment38","fragment39","fragment40"
"Ibuprofen",207.138,207.089951,206.323715,204.767044,203.684296,203.479996,186.454498,185.979599,178.360062,177.053146,173.540878,171.717148,170.42186,169.087524,164.062317,163.441391,162.135193,161.48967,161.131973,161.017441,158.073608,157.48909,156.636749,147.814743,143.995544,129.94754,129.75946,125.980957,124.293297,121.169418,120.090462,119.084305,117.069679,113.180077,111.739731,109.591309,108.291985,105.070702,98.040413,82.059425,81.71212
"scores",0.128571428571429,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.128571428571429,0.00294117647058823,0.128571428571429,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.128571428571429,0.128571428571429,0.128571428571429,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.128571428571429,0.00294117647058823,0.00294117647058823,0.00294117647058823
