"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6"
"Hypoxanthine",137.0458,119.083939,109.951019,95.159286,94.002472,89.125137,80.998825
"scores",0.025,0.3,0.3,0.025,0.3,0.025,0.025
