"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16"
"L-Arginine",175.119,157.174744,147.20845,140.114563,133.199188,131.020142,130.142212,129.150055,116.133751,115.126228,114.159134,113.172318,112.156891,97.152725,72.220947,70.10807,60.096115
"scores",0.128571428571429,0.128571428571429,0.01,0.01,0.01,0.01,0.128571428571429,0.01,0.128571428571429,0.01,0.01,0.01,0.128571428571429,0.01,0.01,0.128571428571429,0.128571428571429
