"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18","fragment19","fragment20","fragment21","fragment22","fragment23","fragment24","fragment25","fragment26","fragment27","fragment28","fragment29","fragment30","fragment31","fragment32","fragment33","fragment34","fragment35","fragment36","fragment37","fragment38","fragment39","fragment40","fragment41","fragment42","fragment43","fragment44","fragment45","fragment46","fragment47","fragment48","fragment49","fragment50","fragment51","fragment52","fragment53","fragment54","fragment55","fragment56","fragment57","fragment58","fragment59","fragment60","fragment61","fragment62","fragment63","fragment64"
"Pseudouridine",245.0768,210.0586,209.0547,197.051,196.0565,192.0478,192.0277,191.0446,187.0934,181.0595,180.0483,179.0451,173.0284,171.9802,171.0865,168.048,168.0307,167.0443,166.0493,165.0309,164.0535,163.0492,155.0442,153.0634,153.0312,151.049,149.041,148.0382,147.0547,146.022,144.0411,144.0279,139.0512,138.0532,137.0344,132.0625,127.0604,126.0378,125.0344,121.0532,120.0432,120.0323,118.9839,117.1028,110.0593,105.9777,104.0615,102.0164,100.0398,98.032,96.0432,94.0293,92.9929,92.0493,91.0613,91.041,85.0366,85.0277,84.0436,82.0284,80.0498,71.0943,55.0166,53.0833,51.1042
"scores",0.00172413793103448,0.00172413793103448,0.128571428571429,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.128571428571429,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.128571428571429,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.128571428571429,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.128571428571429,0.128571428571429,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.128571428571429,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448
