"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18","fragment19","fragment20","fragment21","fragment22","fragment23","fragment24","fragment25"
"Norepinephrine",170.0812,152.3,135.7,135.1,134.2,126,125.1,120.5,116.6,111.2,109.9,109.3,107.2,106.1,97.1,96,95.1,93,92.3,91,83,79.1,72.7,70.9,69,59.2
"scores",0.1125,0.1125,0.1125,0.1125,0.1125,0.00555555555555555,0.00555555555555555,0.00555555555555555,0.00555555555555555,0.00555555555555555,0.00555555555555555,0.1125,0.1125,0.1125,0.00555555555555555,0.00555555555555555,0.00555555555555555,0.00555555555555555,0.00555555555555555,0.00555555555555555,0.00555555555555555,0.00555555555555555,0.00555555555555555,0.00555555555555555,0.00555555555555555,0.00555555555555555
