"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6"
"Citrulline",176.1035,159.0751,116.0698,115.0866,114.0554,113.0705,70.0655
"scores",0.05,0.18,0.05,0.18,0.18,0.18,0.18
