"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6"
"L-Histidine",156.0768,156.042969,110.071777,95.060158,93.044411,83.060165,82.052795
"scores",0.45,0.02,0.45,0.02,0.02,0.02,0.02
