"","[M+H]+","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18","fragment19","fragment20","fragment21","fragment22","fragment23","fragment24","fragment25","fragment26","fragment27","fragment28","fragment29","fragment30","fragment31","fragment32","fragment33","fragment34","fragment35","fragment36","fragment37","fragment38","fragment39","fragment40","fragment41","fragment42","fragment43"
"N-Acetyl-D-galactosamine",222.0972,222.076675,204.086349,204.06842,186.075775,180.043579,178.122208,178.027695,168.065262,163.074875,163.03862,162.075531,162.033066,160.017746,159.046829,150.054565,144.065292,140.07048,138.054733,135.010727,127.038933,126.054916,122.059982,121.124748,119.04924,116.070717,114.055016,109.028526,108.04454,99.044426,98.060356,97.028755,96.995567,96.044731,87.044479,84.044861,81.034035,80.049896,72.044991,68.050171,61.029068,60.081547,60.045151,58.065975
"scores",0.00294117647058823,0.00294117647058823,0.09,0.00294117647058823,0.09,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.09,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.09,0.00294117647058823,0.09,0.00294117647058823,0.00294117647058823,0.09,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.09,0.00294117647058823,0.00294117647058823,0.09,0.00294117647058823,0.09,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.00294117647058823,0.09,0.00294117647058823
