PC,[M+CH3COO]-,[M-CH3]-,[M-choline]-,[M-R1CO]-,[M-R2CO]-,[M-R1COO-choline]-,[M-R2COO-choline]-,[R1COO]-,[R2COO]-,[Glycerophosphocholine-CH3-H2O]-,[Phosphocholine-CH3]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-
PC(22:0_22:5),950.6856,876.6488,805.5753,554.3253,564.4035,536.3147,546.3929,339.3269,329.2487,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:0_22:6),948.6699,874.6331,803.5596,552.3096,564.4035,534.299,546.3929,339.3269,327.233,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:0_23:0),974.7795,900.7427,829.6692,578.4192,564.4035,560.4086,546.3929,339.3269,353.3426,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:0_24:0),988.7951,914.7583,843.6848,592.4348,564.4035,574.4242,546.3929,339.3269,367.3582,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:0_24:1),986.7795,912.7427,841.6692,590.4192,564.4035,572.4086,546.3929,339.3269,365.3426,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:0_25:0),1002.8108,928.774,857.7005,606.4505,564.4035,588.4399,546.3929,339.3269,381.3739,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:0_26:0),1016.8264,942.7896,871.7161,620.4661,564.4035,602.4555,546.3929,339.3269,395.3895,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:1_22:1),956.7326,882.6958,811.6223,562.3879,562.3879,544.3773,544.3773,337.3113,337.3113,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:1_22:2),954.7169,880.6801,809.6066,560.3722,562.3879,542.3616,544.3773,337.3113,335.2956,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:1_22:3),952.7013,878.6645,807.591,558.3566,562.3879,540.346,544.3773,337.3113,333.28,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:1_22:4),950.6856,876.6488,805.5753,556.3409,562.3879,538.3303,544.3773,337.3113,331.2643,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:1_22:5),948.67,874.6332,803.5597,554.3253,562.3879,536.3147,544.3773,337.3113,329.2487,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:1_22:6),946.6543,872.6175,801.544,552.3096,562.3879,534.299,544.3773,337.3113,327.233,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:1_23:0),972.7639,898.7271,827.6536,578.4192,562.3879,560.4086,544.3773,337.3113,353.3426,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:1_24:0),986.7795,912.7427,841.6692,592.4348,562.3879,574.4242,544.3773,337.3113,367.3582,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:1_24:1),984.7639,910.7271,839.6536,590.4192,562.3879,572.4086,544.3773,337.3113,365.3426,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:1_25:0),1000.7952,926.7584,855.6849,606.4505,562.3879,588.4399,544.3773,337.3113,381.3739,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:1_26:0),1014.8108,940.774,869.7005,620.4661,562.3879,602.4555,544.3773,337.3113,395.3895,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:2_22:2),952.7012,878.6644,807.5909,560.3722,560.3722,542.3616,542.3616,335.2956,335.2956,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:2_22:3),950.6856,876.6488,805.5753,558.3566,560.3722,540.346,542.3616,335.2956,333.28,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:2_22:4),948.6699,874.6331,803.5596,556.3409,560.3722,538.3303,542.3616,335.2956,331.2643,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:2_22:5),946.6543,872.6175,801.544,554.3253,560.3722,536.3147,542.3616,335.2956,329.2487,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:2_22:6),944.6386,870.6018,799.5283,552.3096,560.3722,534.299,542.3616,335.2956,327.233,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:2_23:0),970.7482,896.7114,825.6379,578.4192,560.3722,560.4086,542.3616,335.2956,353.3426,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:2_24:0),984.7638,910.727,839.6535,592.4348,560.3722,574.4242,542.3616,335.2956,367.3582,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:2_24:1),982.7482,908.7114,837.6379,590.4192,560.3722,572.4086,542.3616,335.2956,365.3426,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:2_25:0),998.7795,924.7427,853.6692,606.4505,560.3722,588.4399,542.3616,335.2956,381.3739,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:2_26:0),1012.7951,938.7583,867.6848,620.4661,560.3722,602.4555,542.3616,335.2956,395.3895,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:3_22:3),948.67,874.6332,803.5597,558.3566,558.3566,540.346,540.346,333.28,333.28,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:3_22:4),946.6543,872.6175,801.544,556.3409,558.3566,538.3303,540.346,333.28,331.2643,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:3_22:5),944.6387,870.6019,799.5284,554.3253,558.3566,536.3147,540.346,333.28,329.2487,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:3_22:6),942.623,868.5862,797.5127,552.3096,558.3566,534.299,540.346,333.28,327.233,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:3_23:0),968.7326,894.6958,823.6223,578.4192,558.3566,560.4086,540.346,333.28,353.3426,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:3_24:0),982.7482,908.7114,837.6379,592.4348,558.3566,574.4242,540.346,333.28,367.3582,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:3_24:1),980.7326,906.6958,835.6223,590.4192,558.3566,572.4086,540.346,333.28,365.3426,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:3_25:0),996.7639,922.7271,851.6536,606.4505,558.3566,588.4399,540.346,333.28,381.3739,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:3_26:0),1010.7795,936.7427,865.6692,620.4661,558.3566,602.4555,540.346,333.28,395.3895,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:4_22:4),944.6386,870.6018,799.5283,556.3409,556.3409,538.3303,538.3303,331.2643,331.2643,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:4_22:5),942.623,868.5862,797.5127,554.3253,556.3409,536.3147,538.3303,331.2643,329.2487,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:4_22:6),940.6073,866.5705,795.497,552.3096,556.3409,534.299,538.3303,331.2643,327.233,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:4_23:0),966.7169,892.6801,821.6066,578.4192,556.3409,560.4086,538.3303,331.2643,353.3426,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:4_24:0),980.7325,906.6957,835.6222,592.4348,556.3409,574.4242,538.3303,331.2643,367.3582,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:4_24:1),978.7169,904.6801,833.6066,590.4192,556.3409,572.4086,538.3303,331.2643,365.3426,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:4_25:0),994.7482,920.7114,849.6379,606.4505,556.3409,588.4399,538.3303,331.2643,381.3739,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:4_26:0),1008.7638,934.727,863.6535,620.4661,556.3409,602.4555,538.3303,331.2643,395.3895,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:5_22:5),940.6074,866.5706,795.4971,554.3253,554.3253,536.3147,536.3147,329.2487,329.2487,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:5_22:6),938.5917,864.5549,793.4814,552.3096,554.3253,534.299,536.3147,329.2487,327.233,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:5_23:0),964.7013,890.6645,819.591,578.4192,554.3253,560.4086,536.3147,329.2487,353.3426,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:5_24:0),978.7169,904.6801,833.6066,592.4348,554.3253,574.4242,536.3147,329.2487,367.3582,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:5_24:1),976.7013,902.6645,831.591,590.4192,554.3253,572.4086,536.3147,329.2487,365.3426,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:5_25:0),992.7326,918.6958,847.6223,606.4505,554.3253,588.4399,536.3147,329.2487,381.3739,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:5_26:0),1006.7482,932.7114,861.6379,620.4661,554.3253,602.4555,536.3147,329.2487,395.3895,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:6_22:6),936.576,862.5392,791.4657,552.3096,552.3096,534.299,534.299,327.233,327.233,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:6_23:0),962.6856,888.6488,817.5753,578.4192,552.3096,560.4086,534.299,327.233,353.3426,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:6_24:0),976.7012,902.6644,831.5909,592.4348,552.3096,574.4242,534.299,327.233,367.3582,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:6_24:1),974.6856,900.6488,829.5753,590.4192,552.3096,572.4086,534.299,327.233,365.3426,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:6_25:0),990.7169,916.6801,845.6066,606.4505,552.3096,588.4399,534.299,327.233,381.3739,224.0693,168.0431,152.9958,96.9696,78.9591
PC(22:6_26:0),1004.7325,930.6957,859.6222,620.4661,552.3096,602.4555,534.299,327.233,395.3895,224.0693,168.0431,152.9958,96.9696,78.9591
PC(23:0_23:0),988.7952,914.7584,843.6849,578.4192,578.4192,560.4086,560.4086,353.3426,353.3426,224.0693,168.0431,152.9958,96.9696,78.9591
PC(23:0_24:0),1002.8108,928.774,857.7005,592.4348,578.4192,574.4242,560.4086,353.3426,367.3582,224.0693,168.0431,152.9958,96.9696,78.9591
PC(23:0_24:1),1000.7952,926.7584,855.6849,590.4192,578.4192,572.4086,560.4086,353.3426,365.3426,224.0693,168.0431,152.9958,96.9696,78.9591
PC(23:0_25:0),1016.8265,942.7897,871.7162,606.4505,578.4192,588.4399,560.4086,353.3426,381.3739,224.0693,168.0431,152.9958,96.9696,78.9591
PC(23:0_26:0),1030.8421,956.8053,885.7318,620.4661,578.4192,602.4555,560.4086,353.3426,395.3895,224.0693,168.0431,152.9958,96.9696,78.9591
PC(24:0_24:0),1016.8264,942.7896,871.7161,592.4348,592.4348,574.4242,574.4242,367.3582,367.3582,224.0693,168.0431,152.9958,96.9696,78.9591
PC(24:0_24:1),1014.8108,940.774,869.7005,590.4192,592.4348,572.4086,574.4242,367.3582,365.3426,224.0693,168.0431,152.9958,96.9696,78.9591
PC(24:0_25:0),1030.8421,956.8053,885.7318,606.4505,592.4348,588.4399,574.4242,367.3582,381.3739,224.0693,168.0431,152.9958,96.9696,78.9591
PC(24:0_26:0),1044.8577,970.8209,899.7474,620.4661,592.4348,602.4555,574.4242,367.3582,395.3895,224.0693,168.0431,152.9958,96.9696,78.9591
PC(24:1_24:1),1012.7952,938.7584,867.6849,590.4192,590.4192,572.4086,572.4086,365.3426,365.3426,224.0693,168.0431,152.9958,96.9696,78.9591
PC(24:1_25:0),1028.8265,954.7897,883.7162,606.4505,590.4192,588.4399,572.4086,365.3426,381.3739,224.0693,168.0431,152.9958,96.9696,78.9591
PC(24:1_26:0),1042.8421,968.8053,897.7318,620.4661,590.4192,602.4555,572.4086,365.3426,395.3895,224.0693,168.0431,152.9958,96.9696,78.9591
PC(25:0_25:0),1044.8578,970.821,899.7475,606.4505,606.4505,588.4399,588.4399,381.3739,381.3739,224.0693,168.0431,152.9958,96.9696,78.9591
PC(25:0_26:0),1058.8734,984.8366,913.7631,620.4661,606.4505,602.4555,588.4399,381.3739,395.3895,224.0693,168.0431,152.9958,96.9696,78.9591
PC(26:0_26:0),1072.889,998.8522,927.7787,620.4661,620.4661,602.4555,602.4555,395.3895,395.3895,224.0693,168.0431,152.9958,96.9696,78.9591
scores,0.009090909,0.3,0.009090909,0.009090909,0.009090909,0.009090909,0.009090909,0.3,0.3,0.009090909,0.009090909,0.009090909,0.009090909,0.009090909
