PI,[M-H]-,[M-Inositol]-,[M-T1RCH=C=O]-,[M-T2RCH=C=O]-,[M-T1RCOOH]-,[M-T2RCOOH]-,[M-T1RCH=C=O-Inositol]-,[M-T2RCH=C=O-Inositol]-,[M-T1RCOOH-Inositol]-,[M-T2RCOOH-Inositol]-,[T1_RCOO]-,[T2_RCOO]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-,[PI]-,[PI-H2O]-,[PI-2H2O]-,[Glycerophosphoinositol-H2O]-,[Glycerophosphoinositol-2H2O]-
PI(8:0_20:3),747.40912,585.35628,621.30465,459.16375,603.29409,441.15319,459.25181,297.11091,441.24125,279.10035,143.10775,305.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_20:4),745.39342,583.34058,619.28895,459.16375,601.27839,441.15319,457.23611,297.11091,439.22555,279.10035,143.10775,303.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_20:5),743.37782,581.32498,617.27335,459.16375,599.26279,441.15319,455.22051,297.11091,437.20995,279.10035,143.10775,301.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_21:0),767.47172,605.41888,641.36725,459.16375,623.35669,441.15319,479.31441,297.11091,461.30385,279.10035,143.10775,325.31125,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_22:0),781.48732,619.43448,655.38285,459.16375,637.37229,441.15319,493.33001,297.11091,475.31945,279.10035,143.10775,339.32685,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_22:1),779.47172,617.41888,653.36725,459.16375,635.35669,441.15319,491.31441,297.11091,473.30385,279.10035,143.10775,337.31125,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_22:2),777.45602,615.40318,651.35155,459.16375,633.34099,441.15319,489.29871,297.11091,471.28815,279.10035,143.10775,335.29555,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_22:3),775.44042,613.38758,649.33595,459.16375,631.32539,441.15319,487.28311,297.11091,469.27255,279.10035,143.10775,333.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_22:4),773.42472,611.37188,647.32025,459.16375,629.30969,441.15319,485.26741,297.11091,467.25685,279.10035,143.10775,331.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_22:5),771.40912,609.35628,645.30465,459.16375,627.29409,441.15319,483.25181,297.11091,465.24125,279.10035,143.10775,329.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_22:6),769.39342,607.34058,643.28895,459.16375,625.27839,441.15319,481.23611,297.11091,463.22555,279.10035,143.10775,327.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_23:0),795.50302,633.45018,669.39855,459.16375,651.38799,441.15319,507.34571,297.11091,489.33515,279.10035,143.10775,353.34255,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_24:0),809.51862,647.46578,683.41415,459.16375,665.40359,441.15319,521.36131,297.11091,503.35075,279.10035,143.10775,367.35815,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_24:1),807.50302,645.45018,681.39855,459.16375,663.38799,441.15319,519.34571,297.11091,501.33515,279.10035,143.10775,365.34255,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_25:0),823.53432,661.48148,697.42985,459.16375,679.41929,441.15319,535.37701,297.11091,517.36645,279.10035,143.10775,381.37385,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_26:0),837.54992,675.49708,711.44545,459.16375,693.43489,441.15319,549.39261,297.11091,531.38205,279.10035,143.10775,395.38945,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_10:0),641.33082,479.27798,487.19505,487.19505,469.18449,469.18449,325.14221,325.14221,307.13165,307.13165,171.13905,171.13905,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_12:0),669.36212,507.30928,515.22635,487.19505,497.21579,469.18449,353.17351,325.14221,335.16295,307.13165,171.13905,199.17035,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_13:0),683.37782,521.32498,529.24205,487.19505,511.23149,469.18449,367.18921,325.14221,349.17865,307.13165,171.13905,213.18605,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_14:0),697.39342,535.34058,543.25765,487.19505,525.24709,469.18449,381.20481,325.14221,363.19425,307.13165,171.13905,227.20165,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_14:1),695.37782,533.32498,541.24205,487.19505,523.23149,469.18449,379.18921,325.14221,361.17865,307.13165,171.13905,225.18605,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_15:0),711.40912,549.35628,557.27335,487.19505,539.26279,469.18449,395.22051,325.14221,377.20995,307.13165,171.13905,241.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_15:1),709.39342,547.34058,555.25765,487.19505,537.24709,469.18449,393.20481,325.14221,375.19425,307.13165,171.13905,239.20165,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_16:0),725.42472,563.37188,571.28895,487.19505,553.27839,469.18449,409.23611,325.14221,391.22555,307.13165,171.13905,255.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_16:1),723.40912,561.35628,569.27335,487.19505,551.26279,469.18449,407.22051,325.14221,389.20995,307.13165,171.13905,253.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_17:0),739.44042,577.38758,585.30465,487.19505,567.29409,469.18449,423.25181,325.14221,405.24125,307.13165,171.13905,269.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_17:1),737.42472,575.37188,583.28895,487.19505,565.27839,469.18449,421.23611,325.14221,403.22555,307.13165,171.13905,267.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_17:2),735.40912,573.35628,581.27335,487.19505,563.26279,469.18449,419.22051,325.14221,401.20995,307.13165,171.13905,265.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_18:0),753.45602,591.40318,599.32025,487.19505,581.30969,469.18449,437.26741,325.14221,419.25685,307.13165,171.13905,283.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_18:1),751.44042,589.38758,597.30465,487.19505,579.29409,469.18449,435.25181,325.14221,417.24125,307.13165,171.13905,281.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_18:2),749.42472,587.37188,595.28895,487.19505,577.27839,469.18449,433.23611,325.14221,415.22555,307.13165,171.13905,279.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_18:3),747.40912,585.35628,593.27335,487.19505,575.26279,469.18449,431.22051,325.14221,413.20995,307.13165,171.13905,277.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_18:4),745.39342,583.34058,591.25765,487.19505,573.24709,469.18449,429.20481,325.14221,411.19425,307.13165,171.13905,275.20165,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_19:0),767.47172,605.41888,613.33595,487.19505,595.32539,469.18449,451.28311,325.14221,433.27255,307.13165,171.13905,297.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_20:0),781.48732,619.43448,627.35155,487.19505,609.34099,469.18449,465.29871,325.14221,447.28815,307.13165,171.13905,311.29555,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_20:1),779.47172,617.41888,625.33595,487.19505,607.32539,469.18449,463.28311,325.14221,445.27255,307.13165,171.13905,309.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_20:2),777.45602,615.40318,623.32025,487.19505,605.30969,469.18449,461.26741,325.14221,443.25685,307.13165,171.13905,307.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_20:3),775.44042,613.38758,621.30465,487.19505,603.29409,469.18449,459.25181,325.14221,441.24125,307.13165,171.13905,305.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_20:4),773.42472,611.37188,619.28895,487.19505,601.27839,469.18449,457.23611,325.14221,439.22555,307.13165,171.13905,303.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_20:5),771.40912,609.35628,617.27335,487.19505,599.26279,469.18449,455.22051,325.14221,437.20995,307.13165,171.13905,301.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_21:0),795.50302,633.45018,641.36725,487.19505,623.35669,469.18449,479.31441,325.14221,461.30385,307.13165,171.13905,325.31125,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_22:0),809.51862,647.46578,655.38285,487.19505,637.37229,469.18449,493.33001,325.14221,475.31945,307.13165,171.13905,339.32685,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_22:1),807.50302,645.45018,653.36725,487.19505,635.35669,469.18449,491.31441,325.14221,473.30385,307.13165,171.13905,337.31125,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_22:2),805.48732,643.43448,651.35155,487.19505,633.34099,469.18449,489.29871,325.14221,471.28815,307.13165,171.13905,335.29555,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_22:3),803.47172,641.41888,649.33595,487.19505,631.32539,469.18449,487.28311,325.14221,469.27255,307.13165,171.13905,333.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_22:4),801.45602,639.40318,647.32025,487.19505,629.30969,469.18449,485.26741,325.14221,467.25685,307.13165,171.13905,331.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_22:5),799.44042,637.38758,645.30465,487.19505,627.29409,469.18449,483.25181,325.14221,465.24125,307.13165,171.13905,329.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_22:6),797.42472,635.37188,643.28895,487.19505,625.27839,469.18449,481.23611,325.14221,463.22555,307.13165,171.13905,327.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_23:0),823.53432,661.48148,669.39855,487.19505,651.38799,469.18449,507.34571,325.14221,489.33515,307.13165,171.13905,353.34255,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_24:0),837.54992,675.49708,683.41415,487.19505,665.40359,469.18449,521.36131,325.14221,503.35075,307.13165,171.13905,367.35815,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_24:1),835.53432,673.48148,681.39855,487.19505,663.38799,469.18449,519.34571,325.14221,501.33515,307.13165,171.13905,365.34255,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_25:0),851.56562,689.51278,697.42985,487.19505,679.41929,469.18449,535.37701,325.14221,517.36645,307.13165,171.13905,381.37385,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_26:0),865.58122,703.52838,711.44545,487.19505,693.43489,469.18449,549.39261,325.14221,531.38205,307.13165,171.13905,395.38945,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_12:0),697.39342,535.34058,515.22635,515.22635,497.21579,497.21579,353.17351,353.17351,335.16295,335.16295,199.17035,199.17035,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_13:0),711.40912,549.35628,529.24205,515.22635,511.23149,497.21579,367.18921,353.17351,349.17865,335.16295,199.17035,213.18605,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_14:0),725.42472,563.37188,543.25765,515.22635,525.24709,497.21579,381.20481,353.17351,363.19425,335.16295,199.17035,227.20165,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_14:1),723.40912,561.35628,541.24205,515.22635,523.23149,497.21579,379.18921,353.17351,361.17865,335.16295,199.17035,225.18605,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_15:0),739.44042,577.38758,557.27335,515.22635,539.26279,497.21579,395.22051,353.17351,377.20995,335.16295,199.17035,241.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_15:1),737.42472,575.37188,555.25765,515.22635,537.24709,497.21579,393.20481,353.17351,375.19425,335.16295,199.17035,239.20165,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_16:0),753.45602,591.40318,571.28895,515.22635,553.27839,497.21579,409.23611,353.17351,391.22555,335.16295,199.17035,255.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_16:1),751.44042,589.38758,569.27335,515.22635,551.26279,497.21579,407.22051,353.17351,389.20995,335.16295,199.17035,253.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_17:0),767.47172,605.41888,585.30465,515.22635,567.29409,497.21579,423.25181,353.17351,405.24125,335.16295,199.17035,269.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_17:1),765.45602,603.40318,583.28895,515.22635,565.27839,497.21579,421.23611,353.17351,403.22555,335.16295,199.17035,267.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_17:2),763.44042,601.38758,581.27335,515.22635,563.26279,497.21579,419.22051,353.17351,401.20995,335.16295,199.17035,265.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_18:0),781.48732,619.43448,599.32025,515.22635,581.30969,497.21579,437.26741,353.17351,419.25685,335.16295,199.17035,283.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_18:1),779.47172,617.41888,597.30465,515.22635,579.29409,497.21579,435.25181,353.17351,417.24125,335.16295,199.17035,281.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_18:2),777.45602,615.40318,595.28895,515.22635,577.27839,497.21579,433.23611,353.17351,415.22555,335.16295,199.17035,279.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_18:3),775.44042,613.38758,593.27335,515.22635,575.26279,497.21579,431.22051,353.17351,413.20995,335.16295,199.17035,277.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_18:4),773.42472,611.37188,591.25765,515.22635,573.24709,497.21579,429.20481,353.17351,411.19425,335.16295,199.17035,275.20165,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_19:0),795.50302,633.45018,613.33595,515.22635,595.32539,497.21579,451.28311,353.17351,433.27255,335.16295,199.17035,297.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_20:0),809.51862,647.46578,627.35155,515.22635,609.34099,497.21579,465.29871,353.17351,447.28815,335.16295,199.17035,311.29555,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_20:1),807.50302,645.45018,625.33595,515.22635,607.32539,497.21579,463.28311,353.17351,445.27255,335.16295,199.17035,309.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_20:2),805.48732,643.43448,623.32025,515.22635,605.30969,497.21579,461.26741,353.17351,443.25685,335.16295,199.17035,307.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_20:3),803.47172,641.41888,621.30465,515.22635,603.29409,497.21579,459.25181,353.17351,441.24125,335.16295,199.17035,305.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_20:4),801.45602,639.40318,619.28895,515.22635,601.27839,497.21579,457.23611,353.17351,439.22555,335.16295,199.17035,303.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_20:5),799.44042,637.38758,617.27335,515.22635,599.26279,497.21579,455.22051,353.17351,437.20995,335.16295,199.17035,301.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_21:0),823.53432,661.48148,641.36725,515.22635,623.35669,497.21579,479.31441,353.17351,461.30385,335.16295,199.17035,325.31125,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_22:0),837.54992,675.49708,655.38285,515.22635,637.37229,497.21579,493.33001,353.17351,475.31945,335.16295,199.17035,339.32685,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_22:1),835.53432,673.48148,653.36725,515.22635,635.35669,497.21579,491.31441,353.17351,473.30385,335.16295,199.17035,337.31125,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_22:2),833.51862,671.46578,651.35155,515.22635,633.34099,497.21579,489.29871,353.17351,471.28815,335.16295,199.17035,335.29555,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_22:3),831.50302,669.45018,649.33595,515.22635,631.32539,497.21579,487.28311,353.17351,469.27255,335.16295,199.17035,333.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_22:4),829.48732,667.43448,647.32025,515.22635,629.30969,497.21579,485.26741,353.17351,467.25685,335.16295,199.17035,331.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_22:5),827.47172,665.41888,645.30465,515.22635,627.29409,497.21579,483.25181,353.17351,465.24125,335.16295,199.17035,329.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_22:6),825.45602,663.40318,643.28895,515.22635,625.27839,497.21579,481.23611,353.17351,463.22555,335.16295,199.17035,327.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_23:0),851.56562,689.51278,669.39855,515.22635,651.38799,497.21579,507.34571,353.17351,489.33515,335.16295,199.17035,353.34255,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_24:0),865.58122,703.52838,683.41415,515.22635,665.40359,497.21579,521.36131,353.17351,503.35075,335.16295,199.17035,367.35815,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_24:1),863.56562,701.51278,681.39855,515.22635,663.38799,497.21579,519.34571,353.17351,501.33515,335.16295,199.17035,365.34255,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_25:0),879.59692,717.54408,697.42985,515.22635,679.41929,497.21579,535.37701,353.17351,517.36645,335.16295,199.17035,381.37385,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(12:0_26:0),893.61252,731.55968,711.44545,515.22635,693.43489,497.21579,549.39261,353.17351,531.38205,335.16295,199.17035,395.38945,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_13:0),725.42482,563.37198,529.24205,529.24205,511.23149,511.23149,367.18921,367.18921,349.17865,349.17865,213.18605,213.18605,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_14:0),739.44042,577.38758,543.25765,529.24205,525.24709,511.23149,381.20481,367.18921,363.19425,349.17865,213.18605,227.20165,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_14:1),737.42482,575.37198,541.24205,529.24205,523.23149,511.23149,379.18921,367.18921,361.17865,349.17865,213.18605,225.18605,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_15:0),753.45612,591.40328,557.27335,529.24205,539.26279,511.23149,395.22051,367.18921,377.20995,349.17865,213.18605,241.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_15:1),751.44042,589.38758,555.25765,529.24205,537.24709,511.23149,393.20481,367.18921,375.19425,349.17865,213.18605,239.20165,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_16:0),767.47172,605.41888,571.28895,529.24205,553.27839,511.23149,409.23611,367.18921,391.22555,349.17865,213.18605,255.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_16:1),765.45612,603.40328,569.27335,529.24205,551.26279,511.23149,407.22051,367.18921,389.20995,349.17865,213.18605,253.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_17:0),781.48742,619.43458,585.30465,529.24205,567.29409,511.23149,423.25181,367.18921,405.24125,349.17865,213.18605,269.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_17:1),779.47172,617.41888,583.28895,529.24205,565.27839,511.23149,421.23611,367.18921,403.22555,349.17865,213.18605,267.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_17:2),777.45612,615.40328,581.27335,529.24205,563.26279,511.23149,419.22051,367.18921,401.20995,349.17865,213.18605,265.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
