PI,[M-H]-,[M-Inositol]-,[M-T1RCH=C=O]-,[M-T2RCH=C=O]-,[M-T1RCOOH]-,[M-T2RCOOH]-,[M-T1RCH=C=O-Inositol]-,[M-T2RCH=C=O-Inositol]-,[M-T1RCOOH-Inositol]-,[M-T2RCOOH-Inositol]-,[T1_RCOO]-,[T2_RCOO]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-,[PI]-,[PI-H2O]-,[PI-2H2O]-,[Glycerophosphoinositol-H2O]-,[Glycerophosphoinositol-2H2O]-
PI(13:0_18:0),795.50302,633.45018,599.32025,529.24205,581.30969,511.23149,437.26741,367.18921,419.25685,349.17865,213.18605,283.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_18:1),793.48742,631.43458,597.30465,529.24205,579.29409,511.23149,435.25181,367.18921,417.24125,349.17865,213.18605,281.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_18:2),791.47172,629.41888,595.28895,529.24205,577.27839,511.23149,433.23611,367.18921,415.22555,349.17865,213.18605,279.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_18:3),789.45612,627.40328,593.27335,529.24205,575.26279,511.23149,431.22051,367.18921,413.20995,349.17865,213.18605,277.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_18:4),787.44042,625.38758,591.25765,529.24205,573.24709,511.23149,429.20481,367.18921,411.19425,349.17865,213.18605,275.20165,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_19:0),809.51872,647.46588,613.33595,529.24205,595.32539,511.23149,451.28311,367.18921,433.27255,349.17865,213.18605,297.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_20:0),823.53432,661.48148,627.35155,529.24205,609.34099,511.23149,465.29871,367.18921,447.28815,349.17865,213.18605,311.29555,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_20:1),821.51872,659.46588,625.33595,529.24205,607.32539,511.23149,463.28311,367.18921,445.27255,349.17865,213.18605,309.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_20:2),819.50302,657.45018,623.32025,529.24205,605.30969,511.23149,461.26741,367.18921,443.25685,349.17865,213.18605,307.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_20:3),817.48742,655.43458,621.30465,529.24205,603.29409,511.23149,459.25181,367.18921,441.24125,349.17865,213.18605,305.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_20:4),815.47172,653.41888,619.28895,529.24205,601.27839,511.23149,457.23611,367.18921,439.22555,349.17865,213.18605,303.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_20:5),813.45612,651.40328,617.27335,529.24205,599.26279,511.23149,455.22051,367.18921,437.20995,349.17865,213.18605,301.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_21:0),837.55002,675.49718,641.36725,529.24205,623.35669,511.23149,479.31441,367.18921,461.30385,349.17865,213.18605,325.31125,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_22:0),851.56562,689.51278,655.38285,529.24205,637.37229,511.23149,493.33001,367.18921,475.31945,349.17865,213.18605,339.32685,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_22:1),849.55002,687.49718,653.36725,529.24205,635.35669,511.23149,491.31441,367.18921,473.30385,349.17865,213.18605,337.31125,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_22:2),847.53432,685.48148,651.35155,529.24205,633.34099,511.23149,489.29871,367.18921,471.28815,349.17865,213.18605,335.29555,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_22:3),845.51872,683.46588,649.33595,529.24205,631.32539,511.23149,487.28311,367.18921,469.27255,349.17865,213.18605,333.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_22:4),843.50302,681.45018,647.32025,529.24205,629.30969,511.23149,485.26741,367.18921,467.25685,349.17865,213.18605,331.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_22:5),841.48742,679.43458,645.30465,529.24205,627.29409,511.23149,483.25181,367.18921,465.24125,349.17865,213.18605,329.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_22:6),839.47172,677.41888,643.28895,529.24205,625.27839,511.23149,481.23611,367.18921,463.22555,349.17865,213.18605,327.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_23:0),865.58132,703.52848,669.39855,529.24205,651.38799,511.23149,507.34571,367.18921,489.33515,349.17865,213.18605,353.34255,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_24:0),879.59692,717.54408,683.41415,529.24205,665.40359,511.23149,521.36131,367.18921,503.35075,349.17865,213.18605,367.35815,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_24:1),877.58132,715.52848,681.39855,529.24205,663.38799,511.23149,519.34571,367.18921,501.33515,349.17865,213.18605,365.34255,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_25:0),893.61262,731.55978,697.42985,529.24205,679.41929,511.23149,535.37701,367.18921,517.36645,349.17865,213.18605,381.37385,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(13:0_26:0),907.62822,745.57538,711.44545,529.24205,693.43489,511.23149,549.39261,367.18921,531.38205,349.17865,213.18605,395.38945,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_14:0),753.45602,591.40318,543.25765,543.25765,525.24709,525.24709,381.20481,381.20481,363.19425,363.19425,227.20165,227.20165,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_14:1),751.44042,589.38758,541.24205,543.25765,523.23149,525.24709,379.18921,381.20481,361.17865,363.19425,227.20165,225.18605,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_15:0),767.47172,605.41888,557.27335,543.25765,539.26279,525.24709,395.22051,381.20481,377.20995,363.19425,227.20165,241.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_15:1),765.45602,603.40318,555.25765,543.25765,537.24709,525.24709,393.20481,381.20481,375.19425,363.19425,227.20165,239.20165,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_16:0),781.48732,619.43448,571.28895,543.25765,553.27839,525.24709,409.23611,381.20481,391.22555,363.19425,227.20165,255.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_16:1),779.47172,617.41888,569.27335,543.25765,551.26279,525.24709,407.22051,381.20481,389.20995,363.19425,227.20165,253.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_17:0),795.50302,633.45018,585.30465,543.25765,567.29409,525.24709,423.25181,381.20481,405.24125,363.19425,227.20165,269.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_17:1),793.48732,631.43448,583.28895,543.25765,565.27839,525.24709,421.23611,381.20481,403.22555,363.19425,227.20165,267.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_17:2),791.47172,629.41888,581.27335,543.25765,563.26279,525.24709,419.22051,381.20481,401.20995,363.19425,227.20165,265.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_18:0),809.51862,647.46578,599.32025,543.25765,581.30969,525.24709,437.26741,381.20481,419.25685,363.19425,227.20165,283.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_18:1),807.50302,645.45018,597.30465,543.25765,579.29409,525.24709,435.25181,381.20481,417.24125,363.19425,227.20165,281.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_18:2),805.48732,643.43448,595.28895,543.25765,577.27839,525.24709,433.23611,381.20481,415.22555,363.19425,227.20165,279.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_18:3),803.47172,641.41888,593.27335,543.25765,575.26279,525.24709,431.22051,381.20481,413.20995,363.19425,227.20165,277.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_18:4),801.45602,639.40318,591.25765,543.25765,573.24709,525.24709,429.20481,381.20481,411.19425,363.19425,227.20165,275.20165,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_19:0),823.53432,661.48148,613.33595,543.25765,595.32539,525.24709,451.28311,381.20481,433.27255,363.19425,227.20165,297.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_20:0),837.54992,675.49708,627.35155,543.25765,609.34099,525.24709,465.29871,381.20481,447.28815,363.19425,227.20165,311.29555,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_20:1),835.53432,673.48148,625.33595,543.25765,607.32539,525.24709,463.28311,381.20481,445.27255,363.19425,227.20165,309.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_20:2),833.51862,671.46578,623.32025,543.25765,605.30969,525.24709,461.26741,381.20481,443.25685,363.19425,227.20165,307.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_20:3),831.50302,669.45018,621.30465,543.25765,603.29409,525.24709,459.25181,381.20481,441.24125,363.19425,227.20165,305.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_20:4),829.48732,667.43448,619.28895,543.25765,601.27839,525.24709,457.23611,381.20481,439.22555,363.19425,227.20165,303.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_20:5),827.47172,665.41888,617.27335,543.25765,599.26279,525.24709,455.22051,381.20481,437.20995,363.19425,227.20165,301.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_21:0),851.56562,689.51278,641.36725,543.25765,623.35669,525.24709,479.31441,381.20481,461.30385,363.19425,227.20165,325.31125,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_22:0),865.58122,703.52838,655.38285,543.25765,637.37229,525.24709,493.33001,381.20481,475.31945,363.19425,227.20165,339.32685,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_22:1),863.56562,701.51278,653.36725,543.25765,635.35669,525.24709,491.31441,381.20481,473.30385,363.19425,227.20165,337.31125,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_22:2),861.54992,699.49708,651.35155,543.25765,633.34099,525.24709,489.29871,381.20481,471.28815,363.19425,227.20165,335.29555,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_22:3),859.53432,697.48148,649.33595,543.25765,631.32539,525.24709,487.28311,381.20481,469.27255,363.19425,227.20165,333.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_22:4),857.51862,695.46578,647.32025,543.25765,629.30969,525.24709,485.26741,381.20481,467.25685,363.19425,227.20165,331.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_22:5),855.50302,693.45018,645.30465,543.25765,627.29409,525.24709,483.25181,381.20481,465.24125,363.19425,227.20165,329.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_22:6),853.48732,691.43448,643.28895,543.25765,625.27839,525.24709,481.23611,381.20481,463.22555,363.19425,227.20165,327.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_23:0),879.59692,717.54408,669.39855,543.25765,651.38799,525.24709,507.34571,381.20481,489.33515,363.19425,227.20165,353.34255,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_24:0),893.61252,731.55968,683.41415,543.25765,665.40359,525.24709,521.36131,381.20481,503.35075,363.19425,227.20165,367.35815,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_24:1),891.59692,729.54408,681.39855,543.25765,663.38799,525.24709,519.34571,381.20481,501.33515,363.19425,227.20165,365.34255,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_25:0),907.62822,745.57538,697.42985,543.25765,679.41929,525.24709,535.37701,381.20481,517.36645,363.19425,227.20165,381.37385,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:0_26:0),921.64382,759.59098,711.44545,543.25765,693.43489,525.24709,549.39261,381.20481,531.38205,363.19425,227.20165,395.38945,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_14:1),749.42482,587.37198,541.24205,541.24205,523.23149,523.23149,379.18921,379.18921,361.17865,361.17865,225.18605,225.18605,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_15:0),765.45612,603.40328,557.27335,541.24205,539.26279,523.23149,395.22051,379.18921,377.20995,361.17865,225.18605,241.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_15:1),763.44042,601.38758,555.25765,541.24205,537.24709,523.23149,393.20481,379.18921,375.19425,361.17865,225.18605,239.20165,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_16:0),779.47172,617.41888,571.28895,541.24205,553.27839,523.23149,409.23611,379.18921,391.22555,361.17865,225.18605,255.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_16:1),777.45612,615.40328,569.27335,541.24205,551.26279,523.23149,407.22051,379.18921,389.20995,361.17865,225.18605,253.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_17:0),793.48742,631.43458,585.30465,541.24205,567.29409,523.23149,423.25181,379.18921,405.24125,361.17865,225.18605,269.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_17:1),791.47172,629.41888,583.28895,541.24205,565.27839,523.23149,421.23611,379.18921,403.22555,361.17865,225.18605,267.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_17:2),789.45612,627.40328,581.27335,541.24205,563.26279,523.23149,419.22051,379.18921,401.20995,361.17865,225.18605,265.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_18:0),807.50302,645.45018,599.32025,541.24205,581.30969,523.23149,437.26741,379.18921,419.25685,361.17865,225.18605,283.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_18:1),805.48742,643.43458,597.30465,541.24205,579.29409,523.23149,435.25181,379.18921,417.24125,361.17865,225.18605,281.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_18:2),803.47172,641.41888,595.28895,541.24205,577.27839,523.23149,433.23611,379.18921,415.22555,361.17865,225.18605,279.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_18:3),801.45612,639.40328,593.27335,541.24205,575.26279,523.23149,431.22051,379.18921,413.20995,361.17865,225.18605,277.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_18:4),799.44042,637.38758,591.25765,541.24205,573.24709,523.23149,429.20481,379.18921,411.19425,361.17865,225.18605,275.20165,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_19:0),821.51872,659.46588,613.33595,541.24205,595.32539,523.23149,451.28311,379.18921,433.27255,361.17865,225.18605,297.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_20:0),835.53432,673.48148,627.35155,541.24205,609.34099,523.23149,465.29871,379.18921,447.28815,361.17865,225.18605,311.29555,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_20:1),833.51872,671.46588,625.33595,541.24205,607.32539,523.23149,463.28311,379.18921,445.27255,361.17865,225.18605,309.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_20:2),831.50302,669.45018,623.32025,541.24205,605.30969,523.23149,461.26741,379.18921,443.25685,361.17865,225.18605,307.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_20:3),829.48742,667.43458,621.30465,541.24205,603.29409,523.23149,459.25181,379.18921,441.24125,361.17865,225.18605,305.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_20:4),827.47172,665.41888,619.28895,541.24205,601.27839,523.23149,457.23611,379.18921,439.22555,361.17865,225.18605,303.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_20:5),825.45612,663.40328,617.27335,541.24205,599.26279,523.23149,455.22051,379.18921,437.20995,361.17865,225.18605,301.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_21:0),849.55002,687.49718,641.36725,541.24205,623.35669,523.23149,479.31441,379.18921,461.30385,361.17865,225.18605,325.31125,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_22:0),863.56562,701.51278,655.38285,541.24205,637.37229,523.23149,493.33001,379.18921,475.31945,361.17865,225.18605,339.32685,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_22:1),861.55002,699.49718,653.36725,541.24205,635.35669,523.23149,491.31441,379.18921,473.30385,361.17865,225.18605,337.31125,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_22:2),859.53432,697.48148,651.35155,541.24205,633.34099,523.23149,489.29871,379.18921,471.28815,361.17865,225.18605,335.29555,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_22:3),857.51872,695.46588,649.33595,541.24205,631.32539,523.23149,487.28311,379.18921,469.27255,361.17865,225.18605,333.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_22:4),855.50302,693.45018,647.32025,541.24205,629.30969,523.23149,485.26741,379.18921,467.25685,361.17865,225.18605,331.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_22:5),853.48742,691.43458,645.30465,541.24205,627.29409,523.23149,483.25181,379.18921,465.24125,361.17865,225.18605,329.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_22:6),851.47172,689.41888,643.28895,541.24205,625.27839,523.23149,481.23611,379.18921,463.22555,361.17865,225.18605,327.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_23:0),877.58132,715.52848,669.39855,541.24205,651.38799,523.23149,507.34571,379.18921,489.33515,361.17865,225.18605,353.34255,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_24:0),891.59692,729.54408,683.41415,541.24205,665.40359,523.23149,521.36131,379.18921,503.35075,361.17865,225.18605,367.35815,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_24:1),889.58132,727.52848,681.39855,541.24205,663.38799,523.23149,519.34571,379.18921,501.33515,361.17865,225.18605,365.34255,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_25:0),905.61262,743.55978,697.42985,541.24205,679.41929,523.23149,535.37701,379.18921,517.36645,361.17865,225.18605,381.37385,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(14:1_26:0),919.62822,757.57538,711.44545,541.24205,693.43489,523.23149,549.39261,379.18921,531.38205,361.17865,225.18605,395.38945,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_15:0),781.48742,619.43458,557.27335,557.27335,539.26279,539.26279,395.22051,395.22051,377.20995,377.20995,241.21735,241.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_15:1),779.47172,617.41888,555.25765,557.27335,537.24709,539.26279,393.20481,395.22051,375.19425,377.20995,241.21735,239.20165,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_16:0),795.50302,633.45018,571.28895,557.27335,553.27839,539.26279,409.23611,395.22051,391.22555,377.20995,241.21735,255.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_16:1),793.48742,631.43458,569.27335,557.27335,551.26279,539.26279,407.22051,395.22051,389.20995,377.20995,241.21735,253.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_17:0),809.51872,647.46588,585.30465,557.27335,567.29409,539.26279,423.25181,395.22051,405.24125,377.20995,241.21735,269.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_17:1),807.50302,645.45018,583.28895,557.27335,565.27839,539.26279,421.23611,395.22051,403.22555,377.20995,241.21735,267.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_17:2),805.48742,643.43458,581.27335,557.27335,563.26279,539.26279,419.22051,395.22051,401.20995,377.20995,241.21735,265.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_18:0),823.53432,661.48148,599.32025,557.27335,581.30969,539.26279,437.26741,395.22051,419.25685,377.20995,241.21735,283.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_18:1),821.51872,659.46588,597.30465,557.27335,579.29409,539.26279,435.25181,395.22051,417.24125,377.20995,241.21735,281.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_18:2),819.50302,657.45018,595.28895,557.27335,577.27839,539.26279,433.23611,395.22051,415.22555,377.20995,241.21735,279.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_18:3),817.48742,655.43458,593.27335,557.27335,575.26279,539.26279,431.22051,395.22051,413.20995,377.20995,241.21735,277.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_18:4),815.47172,653.41888,591.25765,557.27335,573.24709,539.26279,429.20481,395.22051,411.19425,377.20995,241.21735,275.20165,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_19:0),837.55002,675.49718,613.33595,557.27335,595.32539,539.26279,451.28311,395.22051,433.27255,377.20995,241.21735,297.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_20:0),851.56562,689.51278,627.35155,557.27335,609.34099,539.26279,465.29871,395.22051,447.28815,377.20995,241.21735,311.29555,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_20:1),849.55002,687.49718,625.33595,557.27335,607.32539,539.26279,463.28311,395.22051,445.27255,377.20995,241.21735,309.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_20:2),847.53432,685.48148,623.32025,557.27335,605.30969,539.26279,461.26741,395.22051,443.25685,377.20995,241.21735,307.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_20:3),845.51872,683.46588,621.30465,557.27335,603.29409,539.26279,459.25181,395.22051,441.24125,377.20995,241.21735,305.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_20:4),843.50302,681.45018,619.28895,557.27335,601.27839,539.26279,457.23611,395.22051,439.22555,377.20995,241.21735,303.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_20:5),841.48742,679.43458,617.27335,557.27335,599.26279,539.26279,455.22051,395.22051,437.20995,377.20995,241.21735,301.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_21:0),865.58132,703.52848,641.36725,557.27335,623.35669,539.26279,479.31441,395.22051,461.30385,377.20995,241.21735,325.31125,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_22:0),879.59692,717.54408,655.38285,557.27335,637.37229,539.26279,493.33001,395.22051,475.31945,377.20995,241.21735,339.32685,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_22:1),877.58132,715.52848,653.36725,557.27335,635.35669,539.26279,491.31441,395.22051,473.30385,377.20995,241.21735,337.31125,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_22:2),875.56562,713.51278,651.35155,557.27335,633.34099,539.26279,489.29871,395.22051,471.28815,377.20995,241.21735,335.29555,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_22:3),873.55002,711.49718,649.33595,557.27335,631.32539,539.26279,487.28311,395.22051,469.27255,377.20995,241.21735,333.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_22:4),871.53432,709.48148,647.32025,557.27335,629.30969,539.26279,485.26741,395.22051,467.25685,377.20995,241.21735,331.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_22:5),869.51872,707.46588,645.30465,557.27335,627.29409,539.26279,483.25181,395.22051,465.24125,377.20995,241.21735,329.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_22:6),867.50302,705.45018,643.28895,557.27335,625.27839,539.26279,481.23611,395.22051,463.22555,377.20995,241.21735,327.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_23:0),893.61262,731.55978,669.39855,557.27335,651.38799,539.26279,507.34571,395.22051,489.33515,377.20995,241.21735,353.34255,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_24:0),907.62822,745.57538,683.41415,557.27335,665.40359,539.26279,521.36131,395.22051,503.35075,377.20995,241.21735,367.35815,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_24:1),905.61262,743.55978,681.39855,557.27335,663.38799,539.26279,519.34571,395.22051,501.33515,377.20995,241.21735,365.34255,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(15:0_25:0),921.64392,759.59108,697.42985,557.27335,679.41929,539.26279,535.37701,395.22051,517.36645,377.20995,241.21735,381.37385,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
