Cer,[M+Cl]-,[M-H]-,[M-H-H2CO]-,[M-H2O-R1]-,[M-H2O-R2+amide]-,[R2+amide]-
Cer(d16:1/17:2),554.434488,518.45781,488.4473,290.249,235.2065,264.2333
Cer(d16:1/18:0),572.481388,536.50471,506.4942,308.2959,235.2065,282.2802
Cer(d16:1/18:1),570.465788,534.48911,504.4786,306.2803,235.2065,280.2646
Cer(d16:1/18:2),568.450088,532.47341,502.4629,304.2646,235.2065,278.2489
Cer(d16:1/18:3),566.434488,530.45781,500.4473,302.249,235.2065,276.2333
Cer(d16:1/18:4),564.418788,528.44211,498.4316,300.2333,235.2065,274.2176
Cer(d16:1/19:0),586.497088,550.52041,520.5099,322.3116,235.2065,296.2959
Cer(d16:1/20:0),600.512688,564.53601,534.5255,336.3272,235.2065,310.3115
Cer(d16:1/20:1),598.497088,562.52041,532.5099,334.3116,235.2065,308.2959
Cer(d16:1/20:2),596.481388,560.50471,530.4942,332.2959,235.2065,306.2802
Cer(d16:1/20:3),594.465788,558.48911,528.4786,330.2803,235.2065,304.2646
Cer(d16:1/20:4),592.450088,556.47341,526.4629,328.2646,235.2065,302.2489
Cer(d16:1/20:5),590.434488,554.45781,524.4473,326.249,235.2065,300.2333
Cer(d16:1/21:0),614.528388,578.55171,548.5412,350.3429,235.2065,324.3272
Cer(d16:1/22:0),628.543988,592.56731,562.5568,364.3585,235.2065,338.3428
Cer(d16:1/22:1),626.528388,590.55171,560.5412,362.3429,235.2065,336.3272
Cer(d16:1/22:2),624.512688,588.53601,558.5255,360.3272,235.2065,334.3115
Cer(d16:1/22:3),622.497088,586.52041,556.5099,358.3116,235.2065,332.2959
Cer(d16:1/22:4),620.481388,584.50471,554.4942,356.2959,235.2065,330.2802
Cer(d16:1/22:5),618.465788,582.48911,552.4786,354.2803,235.2065,328.2646
Cer(d16:1/22:6),616.450088,580.47341,550.4629,352.2646,235.2065,326.2489
Cer(d16:1/23:0),642.559688,606.58301,576.5725,378.3742,235.2065,352.3585
Cer(d16:1/24:0),656.575288,620.59861,590.5881,392.3898,235.2065,366.3741
Cer(d16:1/24:1),654.559688,618.58301,588.5725,390.3742,235.2065,364.3585
Cer(d16:1/25:0),670.590988,634.61431,604.6038,406.4055,235.2065,380.3898
Cer(d16:1/26:0),684.606588,648.62991,618.6194,420.4211,235.2065,394.4054
Cer(d16:1/8:0),432.324888,396.34821,366.3377,168.1394,235.2065,142.1237
Cer(d17:0/10:0),476.387488,440.41081,410.4003,196.1707,251.2378,170.155
Cer(d17:0/12:0),504.418788,468.44211,438.4316,224.202,251.2378,198.1863
Cer(d17:0/13:0),518.434488,482.45781,452.4473,238.2177,251.2378,212.202
Cer(d17:0/14:0),532.450088,496.47341,466.4629,252.2333,251.2378,226.2176
Cer(d17:0/14:1),530.434488,494.45781,464.4473,250.2177,251.2378,224.202
Cer(d17:0/15:0),546.465788,510.48911,480.4786,266.249,251.2378,240.2333
Cer(d17:0/15:1),544.450088,508.47341,478.4629,264.2333,251.2378,238.2176
Cer(d17:0/16:0),560.481388,524.50471,494.4942,280.2646,251.2378,254.2489
Cer(d17:0/16:1),558.465788,522.48911,492.4786,278.249,251.2378,252.2333
Cer(d17:0/17:0),574.497088,538.52041,508.5099,294.2803,251.2378,268.2646
Cer(d17:0/17:1),572.481388,536.50471,506.4942,292.2646,251.2378,266.2489
Cer(d17:0/17:2),570.465788,534.48911,504.4786,290.249,251.2378,264.2333
Cer(d17:0/18:0),588.512688,552.53601,522.5255,308.2959,251.2378,282.2802
Cer(d17:0/18:1),586.497088,550.52041,520.5099,306.2803,251.2378,280.2646
Cer(d17:0/18:2),584.481388,548.50471,518.4942,304.2646,251.2378,278.2489
Cer(d17:0/18:3),582.465788,546.48911,516.4786,302.249,251.2378,276.2333
Cer(d17:0/18:4),580.450088,544.47341,514.4629,300.2333,251.2378,274.2176
Cer(d17:0/19:0),602.528388,566.55171,536.5412,322.3116,251.2378,296.2959
Cer(d17:0/20:0),616.543988,580.56731,550.5568,336.3272,251.2378,310.3115
Cer(d17:0/20:1),614.528388,578.55171,548.5412,334.3116,251.2378,308.2959
Cer(d17:0/20:2),612.512688,576.53601,546.5255,332.2959,251.2378,306.2802
Cer(d17:0/20:3),610.497088,574.52041,544.5099,330.2803,251.2378,304.2646
Cer(d17:0/20:4),608.481388,572.50471,542.4942,328.2646,251.2378,302.2489
Cer(d17:0/20:5),606.465788,570.48911,540.4786,326.249,251.2378,300.2333
Cer(d17:0/21:0),630.559688,594.58301,564.5725,350.3429,251.2378,324.3272
Cer(d17:0/22:0),644.575288,608.59861,578.5881,364.3585,251.2378,338.3428
Cer(d17:0/22:1),642.559688,606.58301,576.5725,362.3429,251.2378,336.3272
Cer(d17:0/22:2),640.543988,604.56731,574.5568,360.3272,251.2378,334.3115
Cer(d17:0/22:3),638.528388,602.55171,572.5412,358.3116,251.2378,332.2959
Cer(d17:0/22:4),636.512688,600.53601,570.5255,356.2959,251.2378,330.2802
Cer(d17:0/22:5),634.497088,598.52041,568.5099,354.2803,251.2378,328.2646
Cer(d17:0/22:6),632.481388,596.50471,566.4942,352.2646,251.2378,326.2489
Cer(d17:0/23:0),658.590988,622.61431,592.6038,378.3742,251.2378,352.3585
Cer(d17:0/24:0),672.606588,636.62991,606.6194,392.3898,251.2378,366.3741
Cer(d17:0/24:1),670.590988,634.61431,604.6038,390.3742,251.2378,364.3585
Cer(d17:0/25:0),686.622288,650.64561,620.6351,406.4055,251.2378,380.3898
Cer(d17:0/26:0),700.637888,664.66121,634.6507,420.4211,251.2378,394.4054
Cer(d17:0/8:0),448.356188,412.37951,382.369,168.1394,251.2378,142.1237
Cer(d17:1/10:0),474.371788,438.39511,408.3846,196.1707,249.2221,170.155
Cer(d17:1/12:0),502.403088,466.42641,436.4159,224.202,249.2221,198.1863
Cer(d17:1/13:0),516.418788,480.44211,450.4316,238.2177,249.2221,212.202
Cer(d17:1/14:0),530.434388,494.45771,464.4472,252.2333,249.2221,226.2176
Cer(d17:1/14:1),528.418788,492.44211,462.4316,250.2177,249.2221,224.202
Cer(d17:1/15:0),544.450088,508.47341,478.4629,266.249,249.2221,240.2333
Cer(d17:1/15:1),542.434388,506.45771,476.4472,264.2333,249.2221,238.2176
Cer(d17:1/16:0),558.465688,522.48901,492.4785,280.2646,249.2221,254.2489
Cer(d17:1/16:1),556.450088,520.47341,490.4629,278.249,249.2221,252.2333
Cer(d17:1/17:0),572.481388,536.50471,506.4942,294.2803,249.2221,268.2646
Cer(d17:1/17:1),570.465688,534.48901,504.4785,292.2646,249.2221,266.2489
Cer(d17:1/17:2),568.450088,532.47341,502.4629,290.249,249.2221,264.2333
Cer(d17:1/18:0),586.496988,550.52031,520.5098,308.2959,249.2221,282.2802
Cer(d17:1/18:1),584.481388,548.50471,518.4942,306.2803,249.2221,280.2646
Cer(d17:1/18:2),582.465688,546.48901,516.4785,304.2646,249.2221,278.2489
Cer(d17:1/18:3),580.450088,544.47341,514.4629,302.249,249.2221,276.2333
Cer(d17:1/18:4),578.434388,542.45771,512.4472,300.2333,249.2221,274.2176
Cer(d17:1/19:0),600.512688,564.53601,534.5255,322.3116,249.2221,296.2959
Cer(d17:1/20:0),614.528288,578.55161,548.5411,336.3272,249.2221,310.3115
Cer(d17:1/20:1),612.512688,576.53601,546.5255,334.3116,249.2221,308.2959
Cer(d17:1/20:2),610.496988,574.52031,544.5098,332.2959,249.2221,306.2802
Cer(d17:1/20:3),608.481388,572.50471,542.4942,330.2803,249.2221,304.2646
Cer(d17:1/20:4),606.465688,570.48901,540.4785,328.2646,249.2221,302.2489
Cer(d17:1/20:5),604.450088,568.47341,538.4629,326.249,249.2221,300.2333
Cer(d17:1/21:0),628.543988,592.56731,562.5568,350.3429,249.2221,324.3272
Cer(d17:1/22:0),642.559588,606.58291,576.5724,364.3585,249.2221,338.3428
Cer(d17:1/22:1),640.543988,604.56731,574.5568,362.3429,249.2221,336.3272
Cer(d17:1/22:2),638.528288,602.55161,572.5411,360.3272,249.2221,334.3115
Cer(d17:1/22:3),636.512688,600.53601,570.5255,358.3116,249.2221,332.2959
Cer(d17:1/22:4),634.496988,598.52031,568.5098,356.2959,249.2221,330.2802
Cer(d17:1/22:5),632.481388,596.50471,566.4942,354.2803,249.2221,328.2646
Cer(d17:1/22:6),630.465688,594.48901,564.4785,352.2646,249.2221,326.2489
Cer(d17:1/23:0),656.575288,620.59861,590.5881,378.3742,249.2221,352.3585
Cer(d17:1/24:0),670.590888,634.61421,604.6037,392.3898,249.2221,366.3741
Cer(d17:1/24:1),668.575288,632.59861,602.5881,390.3742,249.2221,364.3585
Cer(d17:1/25:0),684.606588,648.62991,618.6194,406.4055,249.2221,380.3898
Cer(d17:1/26:0),698.622188,662.64551,632.635,420.4211,249.2221,394.4054
Cer(d17:1/8:0),446.340488,410.36381,380.3533,168.1394,249.2221,142.1237
Cer(d17:2/10:0),472.356188,436.37951,406.369,196.1707,247.2065,170.155
Cer(d17:2/12:0),500.387488,464.41081,434.4003,224.202,247.2065,198.1863
Cer(d17:2/13:0),514.403188,478.42651,448.416,238.2177,247.2065,212.202
Cer(d17:2/14:0),528.418788,492.44211,462.4316,252.2333,247.2065,226.2176
Cer(d17:2/14:1),526.403188,490.42651,460.416,250.2177,247.2065,224.202
Cer(d17:2/15:0),542.434488,506.45781,476.4473,266.249,247.2065,240.2333
Cer(d17:2/15:1),540.418788,504.44211,474.4316,264.2333,247.2065,238.2176
Cer(d17:2/16:0),556.450088,520.47341,490.4629,280.2646,247.2065,254.2489
Cer(d17:2/16:1),554.434488,518.45781,488.4473,278.249,247.2065,252.2333
Cer(d17:2/17:0),570.465788,534.48911,504.4786,294.2803,247.2065,268.2646
Cer(d17:2/17:1),568.450088,532.47341,502.4629,292.2646,247.2065,266.2489
Cer(d17:2/17:2),566.434488,530.45781,500.4473,290.249,247.2065,264.2333
Cer(d17:2/18:0),584.481388,548.50471,518.4942,308.2959,247.2065,282.2802
Cer(d17:2/18:1),582.465788,546.48911,516.4786,306.2803,247.2065,280.2646
Cer(d17:2/18:2),580.450088,544.47341,514.4629,304.2646,247.2065,278.2489
Cer(d17:2/18:3),578.434488,542.45781,512.4473,302.249,247.2065,276.2333
Cer(d17:2/18:4),576.418788,540.44211,510.4316,300.2333,247.2065,274.2176
Cer(d17:2/19:0),598.497088,562.52041,532.5099,322.3116,247.2065,296.2959
Cer(d17:2/20:0),612.512688,576.53601,546.5255,336.3272,247.2065,310.3115
Cer(d17:2/20:1),610.497088,574.52041,544.5099,334.3116,247.2065,308.2959
Cer(d17:2/20:2),608.481388,572.50471,542.4942,332.2959,247.2065,306.2802
Cer(d17:2/20:3),606.465788,570.48911,540.4786,330.2803,247.2065,304.2646
Cer(d17:2/20:4),604.450088,568.47341,538.4629,328.2646,247.2065,302.2489
Cer(d17:2/20:5),602.434488,566.45781,536.4473,326.249,247.2065,300.2333
Cer(d17:2/21:0),626.528388,590.55171,560.5412,350.3429,247.2065,324.3272
Cer(d17:2/22:0),640.543988,604.56731,574.5568,364.3585,247.2065,338.3428
Cer(d17:2/22:1),638.528388,602.55171,572.5412,362.3429,247.2065,336.3272
Cer(d17:2/22:2),636.512688,600.53601,570.5255,360.3272,247.2065,334.3115
Cer(d17:2/22:3),634.497088,598.52041,568.5099,358.3116,247.2065,332.2959
Cer(d17:2/22:4),632.481388,596.50471,566.4942,356.2959,247.2065,330.2802
Cer(d17:2/22:5),630.465788,594.48911,564.4786,354.2803,247.2065,328.2646
Cer(d17:2/22:6),628.450088,592.47341,562.4629,352.2646,247.2065,326.2489
Cer(d17:2/23:0),654.559688,618.58301,588.5725,378.3742,247.2065,352.3585
Cer(d17:2/24:0),668.575288,632.59861,602.5881,392.3898,247.2065,366.3741
Cer(d17:2/24:1),666.559688,630.58301,600.5725,390.3742,247.2065,364.3585
Cer(d17:2/25:0),682.590988,646.61431,616.6038,406.4055,247.2065,380.3898
Cer(d17:2/26:0),696.606588,660.62991,630.6194,420.4211,247.2065,394.4054
Cer(d17:2/8:0),444.324888,408.34821,378.3377,168.1394,247.2065,142.1237
Cer(d18:0/10:0),490.403088,454.42641,424.4159,196.1707,265.2534,170.155
Cer(d18:0/12:0),518.434388,482.45771,452.4472,224.202,265.2534,198.1863
Cer(d18:0/13:0),532.450088,496.47341,466.4629,238.2177,265.2534,212.202
Cer(d18:0/14:0),546.465688,510.48901,480.4785,252.2333,265.2534,226.2176
Cer(d18:0/14:1),544.450088,508.47341,478.4629,250.2177,265.2534,224.202
Cer(d18:0/15:0),560.481388,524.50471,494.4942,266.249,265.2534,240.2333
Cer(d18:0/15:1),558.465688,522.48901,492.4785,264.2333,265.2534,238.2176
Cer(d18:0/16:0),574.496988,538.52031,508.5098,280.2646,265.2534,254.2489
Cer(d18:0/16:1),572.481388,536.50471,506.4942,278.249,265.2534,252.2333
Cer(d18:0/17:0),588.512688,552.53601,522.5255,294.2803,265.2534,268.2646
Cer(d18:0/17:1),586.496988,550.52031,520.5098,292.2646,265.2534,266.2489
Cer(d18:0/17:2),584.481388,548.50471,518.4942,290.249,265.2534,264.2333
Cer(d18:0/18:0),602.528288,566.55161,536.5411,308.2959,265.2534,282.2802
Cer(d18:0/18:1),600.512688,564.53601,534.5255,306.2803,265.2534,280.2646
Cer(d18:0/18:2),598.496988,562.52031,532.5098,304.2646,265.2534,278.2489
Cer(d18:0/18:3),596.481388,560.50471,530.4942,302.249,265.2534,276.2333
Cer(d18:0/18:4),594.465688,558.48901,528.4785,300.2333,265.2534,274.2176
Cer(d18:0/19:0),616.543988,580.56731,550.5568,322.3116,265.2534,296.2959
Cer(d18:0/20:0),630.559588,594.58291,564.5724,336.3272,265.2534,310.3115
Cer(d18:0/20:1),628.543988,592.56731,562.5568,334.3116,265.2534,308.2959
Cer(d18:0/20:2),626.528288,590.55161,560.5411,332.2959,265.2534,306.2802
Cer(d18:0/20:3),624.512688,588.53601,558.5255,330.2803,265.2534,304.2646
Cer(d18:0/20:4),622.496988,586.52031,556.5098,328.2646,265.2534,302.2489
Cer(d18:0/20:5),620.481388,584.50471,554.4942,326.249,265.2534,300.2333
Cer(d18:0/21:0),644.575288,608.59861,578.5881,350.3429,265.2534,324.3272
Cer(d18:0/22:0),658.590888,622.61421,592.6037,364.3585,265.2534,338.3428
Cer(d18:0/22:1),656.575288,620.59861,590.5881,362.3429,265.2534,336.3272
Cer(d18:0/22:2),654.559588,618.58291,588.5724,360.3272,265.2534,334.3115
Cer(d18:0/22:3),652.543988,616.56731,586.5568,358.3116,265.2534,332.2959
Cer(d18:0/22:4),650.528288,614.55161,584.5411,356.2959,265.2534,330.2802
Cer(d18:0/22:5),648.512688,612.53601,582.5255,354.2803,265.2534,328.2646
Cer(d18:0/22:6),646.496988,610.52031,580.5098,352.2646,265.2534,326.2489
Cer(d18:0/23:0),672.606588,636.62991,606.6194,378.3742,265.2534,352.3585
Cer(d18:0/24:0),686.622188,650.64551,620.635,392.3898,265.2534,366.3741
Cer(d18:0/24:1),684.606588,648.62991,618.6194,390.3742,265.2534,364.3585
Cer(d18:0/25:0),700.637888,664.66121,634.6507,406.4055,265.2534,380.3898
Cer(d18:0/26:0),714.653488,678.67681,648.6663,420.4211,265.2534,394.4054
Cer(d18:0/8:0),462.371788,426.39511,396.3846,168.1394,265.2534,142.1237
Cer(d18:1/10:0),488.387488,452.41081,422.4003,196.1707,263.2378,170.155
Cer(d18:1/12:0),516.418788,480.44211,450.4316,224.202,263.2378,198.1863
Cer(d18:1/13:0),530.434488,494.45781,464.4473,238.2177,263.2378,212.202
Cer(d18:1/14:0),544.450088,508.47341,478.4629,252.2333,263.2378,226.2176
Cer(d18:1/14:1),542.434488,506.45781,476.4473,250.2177,263.2378,224.202
Cer(d18:1/15:0),558.465788,522.48911,492.4786,266.249,263.2378,240.2333
Cer(d18:1/15:1),556.450088,520.47341,490.4629,264.2333,263.2378,238.2176
Cer(d18:1/16:0),572.481388,536.50471,506.4942,280.2646,263.2378,254.2489
Cer(d18:1/16:1),570.465788,534.48911,504.4786,278.249,263.2378,252.2333
Cer(d18:1/17:0),586.497088,550.52041,520.5099,294.2803,263.2378,268.2646
Cer(d18:1/17:1),584.481388,548.50471,518.4942,292.2646,263.2378,266.2489
Cer(d18:1/17:2),582.465788,546.48911,516.4786,290.249,263.2378,264.2333
Cer(d18:1/18:0),600.512688,564.53601,534.5255,308.2959,263.2378,282.2802
Cer(d18:1/18:1),598.497088,562.52041,532.5099,306.2803,263.2378,280.2646
Cer(d18:1/18:2),596.481388,560.50471,530.4942,304.2646,263.2378,278.2489
Cer(d18:1/18:3),594.465788,558.48911,528.4786,302.249,263.2378,276.2333
Cer(d18:1/18:4),592.450088,556.47341,526.4629,300.2333,263.2378,274.2176
Cer(d18:1/19:0),614.528388,578.55171,548.5412,322.3116,263.2378,296.2959
Cer(d18:1/20:0),628.543988,592.56731,562.5568,336.3272,263.2378,310.3115
Cer(d18:1/20:1),626.528388,590.55171,560.5412,334.3116,263.2378,308.2959
Cer(d18:1/20:2),624.512688,588.53601,558.5255,332.2959,263.2378,306.2802
Cer(d18:1/20:3),622.497088,586.52041,556.5099,330.2803,263.2378,304.2646
Cer(d18:1/20:4),620.481388,584.50471,554.4942,328.2646,263.2378,302.2489
Cer(d18:1/20:5),618.465788,582.48911,552.4786,326.249,263.2378,300.2333
Cer(d18:1/21:0),642.559688,606.58301,576.5725,350.3429,263.2378,324.3272
Cer(d18:1/22:0),656.575288,620.59861,590.5881,364.3585,263.2378,338.3428
Cer(d18:1/22:1),654.559688,618.58301,588.5725,362.3429,263.2378,336.3272
Cer(d18:1/22:2),652.543988,616.56731,586.5568,360.3272,263.2378,334.3115
Cer(d18:1/22:3),650.528388,614.55171,584.5412,358.3116,263.2378,332.2959
Cer(d18:1/22:4),648.512688,612.53601,582.5255,356.2959,263.2378,330.2802
Cer(d18:1/22:5),646.497088,610.52041,580.5099,354.2803,263.2378,328.2646
Cer(d18:1/22:6),644.481388,608.50471,578.4942,352.2646,263.2378,326.2489
Cer(d18:1/23:0),670.590988,634.61431,604.6038,378.3742,263.2378,352.3585
Cer(d18:1/24:0),684.606588,648.62991,618.6194,392.3898,263.2378,366.3741
Cer(d18:1/24:1),682.590988,646.61431,616.6038,390.3742,263.2378,364.3585
Cer(d18:1/25:0),698.622288,662.64561,632.6351,406.4055,263.2378,380.3898
Cer(d18:1/26:0),712.637888,676.66121,646.6507,420.4211,263.2378,394.4054
Cer(d18:1/8:0),460.356188,424.37951,394.369,168.1394,263.2378,142.1237
Cer(d18:2/10:0),486.371788,450.39511,420.3846,196.1707,261.2221,170.155
Cer(d18:2/12:0),514.403088,478.42641,448.4159,224.202,261.2221,198.1863
Cer(d18:2/13:0),528.418788,492.44211,462.4316,238.2177,261.2221,212.202
Cer(d18:2/14:0),542.434388,506.45771,476.4472,252.2333,261.2221,226.2176
Cer(d18:2/14:1),540.418788,504.44211,474.4316,250.2177,261.2221,224.202
Cer(d18:2/15:0),556.450088,520.47341,490.4629,266.249,261.2221,240.2333
Cer(d18:2/15:1),554.434388,518.45771,488.4472,264.2333,261.2221,238.2176
Cer(d18:2/16:0),570.465688,534.48901,504.4785,280.2646,261.2221,254.2489
Cer(d18:2/16:1),568.450088,532.47341,502.4629,278.249,261.2221,252.2333
Cer(d18:2/17:0),584.481388,548.50471,518.4942,294.2803,261.2221,268.2646
Cer(d18:2/17:1),582.465688,546.48901,516.4785,292.2646,261.2221,266.2489
Cer(d18:2/17:2),580.450088,544.47341,514.4629,290.249,261.2221,264.2333
Cer(d18:2/18:0),598.496988,562.52031,532.5098,308.2959,261.2221,282.2802
Cer(d18:2/18:1),596.481388,560.50471,530.4942,306.2803,261.2221,280.2646
Cer(d18:2/18:2),594.465688,558.48901,528.4785,304.2646,261.2221,278.2489
Cer(d18:2/18:3),592.450088,556.47341,526.4629,302.249,261.2221,276.2333
Cer(d18:2/18:4),590.434388,554.45771,524.4472,300.2333,261.2221,274.2176
Cer(d18:2/19:0),612.512688,576.53601,546.5255,322.3116,261.2221,296.2959
Cer(d18:2/20:0),626.528288,590.55161,560.5411,336.3272,261.2221,310.3115
Cer(d18:2/20:1),624.512688,588.53601,558.5255,334.3116,261.2221,308.2959
Cer(d18:2/20:2),622.496988,586.52031,556.5098,332.2959,261.2221,306.2802
Cer(d18:2/20:3),620.481388,584.50471,554.4942,330.2803,261.2221,304.2646
Cer(d18:2/20:4),618.465688,582.48901,552.4785,328.2646,261.2221,302.2489
Cer(d18:2/20:5),616.450088,580.47341,550.4629,326.249,261.2221,300.2333
Cer(d18:2/21:0),640.543988,604.56731,574.5568,350.3429,261.2221,324.3272
Cer(d18:2/22:0),654.559588,618.58291,588.5724,364.3585,261.2221,338.3428
Cer(d18:2/22:1),652.543988,616.56731,586.5568,362.3429,261.2221,336.3272
Cer(d18:2/22:2),650.528288,614.55161,584.5411,360.3272,261.2221,334.3115
Cer(d18:2/22:3),648.512688,612.53601,582.5255,358.3116,261.2221,332.2959
Cer(d18:2/22:4),646.496988,610.52031,580.5098,356.2959,261.2221,330.2802
Cer(d18:2/22:5),644.481388,608.50471,578.4942,354.2803,261.2221,328.2646
Cer(d18:2/22:6),642.465688,606.48901,576.4785,352.2646,261.2221,326.2489
Cer(d18:2/23:0),668.575288,632.59861,602.5881,378.3742,261.2221,352.3585
Cer(d18:2/24:0),682.590888,646.61421,616.6037,392.3898,261.2221,366.3741
Cer(d18:2/24:1),680.575288,644.59861,614.5881,390.3742,261.2221,364.3585
Cer(d18:2/25:0),696.606588,660.62991,630.6194,406.4055,261.2221,380.3898
Cer(d18:2/26:0),710.622188,674.64551,644.635,420.4211,261.2221,394.4054
Cer(d18:2/8:0),458.340488,422.36381,392.3533,168.1394,261.2221,142.1237
Cer(d18:3/10:0),484.356188,448.37951,418.369,196.1707,259.2065,170.155
Cer(d18:3/12:0),512.387488,476.41081,446.4003,224.202,259.2065,198.1863
Cer(d18:3/13:0),526.403188,490.42651,460.416,238.2177,259.2065,212.202
Cer(d18:3/14:0),540.418788,504.44211,474.4316,252.2333,259.2065,226.2176
Cer(d18:3/14:1),538.403188,502.42651,472.416,250.2177,259.2065,224.202
Cer(d18:3/15:0),554.434488,518.45781,488.4473,266.249,259.2065,240.2333
Cer(d18:3/15:1),552.418788,516.44211,486.4316,264.2333,259.2065,238.2176
Cer(d18:3/16:0),568.450088,532.47341,502.4629,280.2646,259.2065,254.2489
Cer(d18:3/16:1),566.434488,530.45781,500.4473,278.249,259.2065,252.2333
Cer(d18:3/17:0),582.465788,546.48911,516.4786,294.2803,259.2065,268.2646
Cer(d18:3/17:1),580.450088,544.47341,514.4629,292.2646,259.2065,266.2489
Cer(d18:3/17:2),578.434488,542.45781,512.4473,290.249,259.2065,264.2333
Cer(d18:3/18:0),596.481388,560.50471,530.4942,308.2959,259.2065,282.2802
Cer(d18:3/18:1),594.465788,558.48911,528.4786,306.2803,259.2065,280.2646
Cer(d18:3/18:2),592.450088,556.47341,526.4629,304.2646,259.2065,278.2489
Cer(d18:3/18:3),590.434488,554.45781,524.4473,302.249,259.2065,276.2333
Cer(d18:3/18:4),588.418788,552.44211,522.4316,300.2333,259.2065,274.2176
Cer(d18:3/19:0),610.497088,574.52041,544.5099,322.3116,259.2065,296.2959
Cer(d18:3/20:0),624.512688,588.53601,558.5255,336.3272,259.2065,310.3115
Cer(d18:3/20:1),622.497088,586.52041,556.5099,334.3116,259.2065,308.2959
Cer(d18:3/20:2),620.481388,584.50471,554.4942,332.2959,259.2065,306.2802
Cer(d18:3/20:3),618.465788,582.48911,552.4786,330.2803,259.2065,304.2646
Cer(d18:3/20:4),616.450088,580.47341,550.4629,328.2646,259.2065,302.2489
Cer(d18:3/20:5),614.434488,578.45781,548.4473,326.249,259.2065,300.2333
Cer(d18:3/21:0),638.528388,602.55171,572.5412,350.3429,259.2065,324.3272
Cer(d18:3/22:0),652.543988,616.56731,586.5568,364.3585,259.2065,338.3428
Cer(d18:3/22:1),650.528388,614.55171,584.5412,362.3429,259.2065,336.3272
Cer(d18:3/22:2),648.512688,612.53601,582.5255,360.3272,259.2065,334.3115
Cer(d18:3/22:3),646.497088,610.52041,580.5099,358.3116,259.2065,332.2959
Cer(d18:3/22:4),644.481388,608.50471,578.4942,356.2959,259.2065,330.2802
Cer(d18:3/22:5),642.465788,606.48911,576.4786,354.2803,259.2065,328.2646
Cer(d18:3/22:6),640.450088,604.47341,574.4629,352.2646,259.2065,326.2489
Cer(d18:3/23:0),666.559688,630.58301,600.5725,378.3742,259.2065,352.3585
Cer(d18:3/24:0),680.575288,644.59861,614.5881,392.3898,259.2065,366.3741
Cer(d18:3/24:1),678.559688,642.58301,612.5725,390.3742,259.2065,364.3585
Cer(d18:3/25:0),694.590988,658.61431,628.6038,406.4055,259.2065,380.3898
Cer(d18:3/26:0),708.606588,672.62991,642.6194,420.4211,259.2065,394.4054
Cer(d18:3/8:0),456.324888,420.34821,390.3377,168.1394,259.2065,142.1237
Cer(d18:4/10:0),482.340488,446.36381,416.3533,196.1707,257.1908,170.155
Cer(d18:4/12:0),510.371788,474.39511,444.3846,224.202,257.1908,198.1863
Cer(d18:4/13:0),524.387488,488.41081,458.4003,238.2177,257.1908,212.202
Cer(d18:4/14:0),538.403088,502.42641,472.4159,252.2333,257.1908,226.2176
Cer(d18:4/14:1),536.387488,500.41081,470.4003,250.2177,257.1908,224.202
Cer(d18:4/15:0),552.418788,516.44211,486.4316,266.249,257.1908,240.2333
Cer(d18:4/15:1),550.403088,514.42641,484.4159,264.2333,257.1908,238.2176
Cer(d18:4/16:0),566.434388,530.45771,500.4472,280.2646,257.1908,254.2489
Cer(d18:4/16:1),564.418788,528.44211,498.4316,278.249,257.1908,252.2333
Cer(d18:4/17:0),580.450088,544.47341,514.4629,294.2803,257.1908,268.2646
Cer(d18:4/17:1),578.434388,542.45771,512.4472,292.2646,257.1908,266.2489
Cer(d18:4/17:2),576.418788,540.44211,510.4316,290.249,257.1908,264.2333
Cer(d18:4/18:0),594.465688,558.48901,528.4785,308.2959,257.1908,282.2802
Cer(d18:4/18:1),592.450088,556.47341,526.4629,306.2803,257.1908,280.2646
Cer(d18:4/18:2),590.434388,554.45771,524.4472,304.2646,257.1908,278.2489
Cer(d18:4/18:3),588.418788,552.44211,522.4316,302.249,257.1908,276.2333
Cer(d18:4/18:4),586.403088,550.42641,520.4159,300.2333,257.1908,274.2176
Cer(d18:4/19:0),608.481388,572.50471,542.4942,322.3116,257.1908,296.2959
Cer(d18:4/20:0),622.496988,586.52031,556.5098,336.3272,257.1908,310.3115
Cer(d18:4/20:1),620.481388,584.50471,554.4942,334.3116,257.1908,308.2959
Cer(d18:4/20:2),618.465688,582.48901,552.4785,332.2959,257.1908,306.2802
Cer(d18:4/20:3),616.450088,580.47341,550.4629,330.2803,257.1908,304.2646
Cer(d18:4/20:4),614.434388,578.45771,548.4472,328.2646,257.1908,302.2489
Cer(d18:4/20:5),612.418788,576.44211,546.4316,326.249,257.1908,300.2333
Cer(d18:4/21:0),636.512688,600.53601,570.5255,350.3429,257.1908,324.3272
Cer(d18:4/22:0),650.528288,614.55161,584.5411,364.3585,257.1908,338.3428
Cer(d18:4/22:1),648.512688,612.53601,582.5255,362.3429,257.1908,336.3272
Cer(d18:4/22:2),646.496988,610.52031,580.5098,360.3272,257.1908,334.3115
Cer(d18:4/22:3),644.481388,608.50471,578.4942,358.3116,257.1908,332.2959
Cer(d18:4/22:4),642.465688,606.48901,576.4785,356.2959,257.1908,330.2802
Cer(d18:4/22:5),640.450088,604.47341,574.4629,354.2803,257.1908,328.2646
Cer(d18:4/22:6),638.434388,602.45771,572.4472,352.2646,257.1908,326.2489
Cer(d18:4/23:0),664.543988,628.56731,598.5568,378.3742,257.1908,352.3585
