Cer,[M+Cl]-,[M-H]-,[M-H-H2CO]-,[M-H2O-R1]-,[M-H2O-R2+amide]-,[R2+amide]-
Cer(d12:0/25:0),616.543988,580.56731,550.5568,406.4055,181.1595,380.3898
Cer(d12:0/26:0),630.559588,594.58291,564.5724,420.4211,181.1595,394.4054
Cer(d12:0/8:0),378.277888,342.30121,312.2907,168.1394,181.1595,142.1237
Cer(d13:0/10:0),420.324888,384.34821,354.3377,196.1707,195.1752,170.155
Cer(d13:0/12:0),448.356188,412.37951,382.369,224.202,195.1752,198.1863
Cer(d13:0/13:0),462.371888,426.39521,396.3847,238.2177,195.1752,212.202
Cer(d13:0/14:0),476.387488,440.41081,410.4003,252.2333,195.1752,226.2176
Cer(d13:0/14:1),474.371888,438.39521,408.3847,250.2177,195.1752,224.202
Cer(d13:0/15:0),490.403188,454.42651,424.416,266.249,195.1752,240.2333
Cer(d13:0/15:1),488.387488,452.41081,422.4003,264.2333,195.1752,238.2176
Cer(d13:0/16:0),504.418788,468.44211,438.4316,280.2646,195.1752,254.2489
Cer(d13:0/16:1),502.403188,466.42651,436.416,278.249,195.1752,252.2333
Cer(d13:0/17:0),518.434488,482.45781,452.4473,294.2803,195.1752,268.2646
Cer(d13:0/17:1),516.418788,480.44211,450.4316,292.2646,195.1752,266.2489
Cer(d13:0/17:2),514.403188,478.42651,448.416,290.249,195.1752,264.2333
Cer(d13:0/18:0),532.450088,496.47341,466.4629,308.2959,195.1752,282.2802
Cer(d13:0/18:1),530.434488,494.45781,464.4473,306.2803,195.1752,280.2646
Cer(d13:0/18:2),528.418788,492.44211,462.4316,304.2646,195.1752,278.2489
Cer(d13:0/18:3),526.403188,490.42651,460.416,302.249,195.1752,276.2333
Cer(d13:0/18:4),524.387488,488.41081,458.4003,300.2333,195.1752,274.2176
Cer(d13:0/19:0),546.465788,510.48911,480.4786,322.3116,195.1752,296.2959
Cer(d13:0/20:0),560.481388,524.50471,494.4942,336.3272,195.1752,310.3115
Cer(d13:0/20:1),558.465788,522.48911,492.4786,334.3116,195.1752,308.2959
Cer(d13:0/20:2),556.450088,520.47341,490.4629,332.2959,195.1752,306.2802
Cer(d13:0/20:3),554.434488,518.45781,488.4473,330.2803,195.1752,304.2646
Cer(d13:0/20:4),552.418788,516.44211,486.4316,328.2646,195.1752,302.2489
Cer(d13:0/20:5),550.403188,514.42651,484.416,326.249,195.1752,300.2333
Cer(d13:0/21:0),574.497088,538.52041,508.5099,350.3429,195.1752,324.3272
