Cer,[M+H2PO4]-,[M-H]-,[M-H-H2CO]-,[M-H2O-R1]-,[M-H2O-R2+amide]-,[R2+amide]-
Cer(d13:0/24:1),676.528606,578.55171,548.5412,390.3742,195.1752,364.3585
Cer(d13:0/25:0),692.559906,594.58301,564.5725,406.4055,195.1752,380.3898
Cer(d13:0/26:0),706.575506,608.59861,578.5881,420.4211,195.1752,394.4054
Cer(d13:0/8:0),454.293806,356.31691,326.3064,168.1394,195.1752,142.1237
Cer(d14:0/10:0),496.340706,398.36381,368.3533,196.1707,209.1908,170.155
Cer(d14:0/12:0),524.372006,426.39511,396.3846,224.202,209.1908,198.1863
Cer(d14:0/13:0),538.387706,440.41081,410.4003,238.2177,209.1908,212.202
Cer(d14:0/14:0),552.403306,454.42641,424.4159,252.2333,209.1908,226.2176
Cer(d14:0/14:1),550.387706,452.41081,422.4003,250.2177,209.1908,224.202
Cer(d14:0/15:0),566.419006,468.44211,438.4316,266.249,209.1908,240.2333
Cer(d14:0/15:1),564.403306,466.42641,436.4159,264.2333,209.1908,238.2176
Cer(d14:0/16:0),580.434606,482.45771,452.4472,280.2646,209.1908,254.2489
Cer(d14:0/16:1),578.419006,480.44211,450.4316,278.249,209.1908,252.2333
Cer(d14:0/17:0),594.450306,496.47341,466.4629,294.2803,209.1908,268.2646
Cer(d14:0/17:1),592.434606,494.45771,464.4472,292.2646,209.1908,266.2489
Cer(d14:0/17:2),590.419006,492.44211,462.4316,290.249,209.1908,264.2333
Cer(d14:0/18:0),608.465906,510.48901,480.4785,308.2959,209.1908,282.2802
Cer(d14:0/18:1),606.450306,508.47341,478.4629,306.2803,209.1908,280.2646
Cer(d14:0/18:2),604.434606,506.45771,476.4472,304.2646,209.1908,278.2489
Cer(d14:0/18:3),602.419006,504.44211,474.4316,302.249,209.1908,276.2333
Cer(d14:0/18:4),600.403306,502.42641,472.4159,300.2333,209.1908,274.2176
Cer(d14:0/19:0),622.481606,524.50471,494.4942,322.3116,209.1908,296.2959
Cer(d14:0/20:0),636.497206,538.52031,508.5098,336.3272,209.1908,310.3115
Cer(d14:0/20:1),634.481606,536.50471,506.4942,334.3116,209.1908,308.2959
Cer(d14:0/20:2),632.465906,534.48901,504.4785,332.2959,209.1908,306.2802
Cer(d14:0/20:3),630.450306,532.47341,502.4629,330.2803,209.1908,304.2646
Cer(d14:0/20:4),628.434606,530.45771,500.4472,328.2646,209.1908,302.2489
Cer(d14:0/20:5),626.419006,528.44211,498.4316,326.249,209.1908,300.2333
Cer(d14:0/21:0),650.512906,552.53601,522.5255,350.3429,209.1908,324.3272
Cer(d14:0/22:0),664.528506,566.55161,536.5411,364.3585,209.1908,338.3428
Cer(d14:0/22:1),662.512906,564.53601,534.5255,362.3429,209.1908,336.3272
Cer(d14:0/22:2),660.497206,562.52031,532.5098,360.3272,209.1908,334.3115
Cer(d14:0/22:3),658.481606,560.50471,530.4942,358.3116,209.1908,332.2959
Cer(d14:0/22:4),656.465906,558.48901,528.4785,356.2959,209.1908,330.2802
Cer(d14:0/22:5),654.450306,556.47341,526.4629,354.2803,209.1908,328.2646
Cer(d14:0/22:6),652.434606,554.45771,524.4472,352.2646,209.1908,326.2489
Cer(d14:0/23:0),678.544206,580.56731,550.5568,378.3742,209.1908,352.3585
Cer(d14:0/24:0),692.559806,594.58291,564.5724,392.3898,209.1908,366.3741
Cer(d14:0/24:1),690.544206,592.56731,562.5568,390.3742,209.1908,364.3585
Cer(d14:0/25:0),706.575506,608.59861,578.5881,406.4055,209.1908,380.3898
Cer(d14:0/26:0),720.591106,622.61421,592.6037,420.4211,209.1908,394.4054
Cer(d14:0/8:0),468.309406,370.33251,340.322,168.1394,209.1908,142.1237
