Cer,[M+H2PO4]-,[M-H]-,[M-H-H2CO]-,[M-H2O-R1]-,[M-H2O-R2+amide]-,[R2+amide]-
Cer(d16:1/18:0),634.481606,536.50471,506.4942,308.2959,235.2065,282.2802
Cer(d16:1/18:1),632.466006,534.48911,504.4786,306.2803,235.2065,280.2646
Cer(d16:1/18:2),630.450306,532.47341,502.4629,304.2646,235.2065,278.2489
Cer(d16:1/18:3),628.434706,530.45781,500.4473,302.249,235.2065,276.2333
Cer(d16:1/18:4),626.419006,528.44211,498.4316,300.2333,235.2065,274.2176
Cer(d16:1/19:0),648.497306,550.52041,520.5099,322.3116,235.2065,296.2959
Cer(d16:1/20:0),662.512906,564.53601,534.5255,336.3272,235.2065,310.3115
Cer(d16:1/20:1),660.497306,562.52041,532.5099,334.3116,235.2065,308.2959
Cer(d16:1/20:2),658.481606,560.50471,530.4942,332.2959,235.2065,306.2802
Cer(d16:1/20:3),656.466006,558.48911,528.4786,330.2803,235.2065,304.2646
Cer(d16:1/20:4),654.450306,556.47341,526.4629,328.2646,235.2065,302.2489
Cer(d16:1/20:5),652.434706,554.45781,524.4473,326.249,235.2065,300.2333
Cer(d16:1/21:0),676.528606,578.55171,548.5412,350.3429,235.2065,324.3272
Cer(d16:1/22:0),690.544206,592.56731,562.5568,364.3585,235.2065,338.3428
Cer(d16:1/22:1),688.528606,590.55171,560.5412,362.3429,235.2065,336.3272
Cer(d16:1/22:2),686.512906,588.53601,558.5255,360.3272,235.2065,334.3115
Cer(d16:1/22:3),684.497306,586.52041,556.5099,358.3116,235.2065,332.2959
Cer(d16:1/22:4),682.481606,584.50471,554.4942,356.2959,235.2065,330.2802
Cer(d16:1/22:5),680.466006,582.48911,552.4786,354.2803,235.2065,328.2646
Cer(d16:1/22:6),678.450306,580.47341,550.4629,352.2646,235.2065,326.2489
Cer(d16:1/23:0),704.559906,606.58301,576.5725,378.3742,235.2065,352.3585
Cer(d16:1/24:0),718.575506,620.59861,590.5881,392.3898,235.2065,366.3741
Cer(d16:1/24:1),716.559906,618.58301,588.5725,390.3742,235.2065,364.3585
Cer(d16:1/25:0),732.591206,634.61431,604.6038,406.4055,235.2065,380.3898
Cer(d16:1/26:0),746.606806,648.62991,618.6194,420.4211,235.2065,394.4054
Cer(d16:1/8:0),494.325106,396.34821,366.3377,168.1394,235.2065,142.1237
Cer(d17:0/10:0),538.387706,440.41081,410.4003,196.1707,251.2378,170.155
Cer(d17:0/12:0),566.419006,468.44211,438.4316,224.202,251.2378,198.1863
Cer(d17:0/13:0),580.434706,482.45781,452.4473,238.2177,251.2378,212.202
Cer(d17:0/14:0),594.450306,496.47341,466.4629,252.2333,251.2378,226.2176
Cer(d17:0/14:1),592.434706,494.45781,464.4473,250.2177,251.2378,224.202
Cer(d17:0/15:0),608.466006,510.48911,480.4786,266.249,251.2378,240.2333
Cer(d17:0/15:1),606.450306,508.47341,478.4629,264.2333,251.2378,238.2176
Cer(d17:0/16:0),622.481606,524.50471,494.4942,280.2646,251.2378,254.2489
Cer(d17:0/16:1),620.466006,522.48911,492.4786,278.249,251.2378,252.2333
Cer(d17:0/17:0),636.497306,538.52041,508.5099,294.2803,251.2378,268.2646
Cer(d17:0/17:1),634.481606,536.50471,506.4942,292.2646,251.2378,266.2489
Cer(d17:0/17:2),632.466006,534.48911,504.4786,290.249,251.2378,264.2333
Cer(d17:0/18:0),650.512906,552.53601,522.5255,308.2959,251.2378,282.2802
Cer(d17:0/18:1),648.497306,550.52041,520.5099,306.2803,251.2378,280.2646
Cer(d17:0/18:2),646.481606,548.50471,518.4942,304.2646,251.2378,278.2489
Cer(d17:0/18:3),644.466006,546.48911,516.4786,302.249,251.2378,276.2333
Cer(d17:0/18:4),642.450306,544.47341,514.4629,300.2333,251.2378,274.2176
Cer(d17:0/19:0),664.528606,566.55171,536.5412,322.3116,251.2378,296.2959
Cer(d17:0/20:0),678.544206,580.56731,550.5568,336.3272,251.2378,310.3115
Cer(d17:0/20:1),676.528606,578.55171,548.5412,334.3116,251.2378,308.2959
Cer(d17:0/20:2),674.512906,576.53601,546.5255,332.2959,251.2378,306.2802
Cer(d17:0/20:3),672.497306,574.52041,544.5099,330.2803,251.2378,304.2646
Cer(d17:0/20:4),670.481606,572.50471,542.4942,328.2646,251.2378,302.2489
Cer(d17:0/20:5),668.466006,570.48911,540.4786,326.249,251.2378,300.2333
Cer(d17:0/21:0),692.559906,594.58301,564.5725,350.3429,251.2378,324.3272
Cer(d17:0/22:0),706.575506,608.59861,578.5881,364.3585,251.2378,338.3428
Cer(d17:0/22:1),704.559906,606.58301,576.5725,362.3429,251.2378,336.3272
Cer(d17:0/22:2),702.544206,604.56731,574.5568,360.3272,251.2378,334.3115
Cer(d17:0/22:3),700.528606,602.55171,572.5412,358.3116,251.2378,332.2959
Cer(d17:0/22:4),698.512906,600.53601,570.5255,356.2959,251.2378,330.2802
Cer(d17:0/22:5),696.497306,598.52041,568.5099,354.2803,251.2378,328.2646
Cer(d17:0/22:6),694.481606,596.50471,566.4942,352.2646,251.2378,326.2489
Cer(d17:0/23:0),720.591206,622.61431,592.6038,378.3742,251.2378,352.3585
Cer(d17:0/24:0),734.606806,636.62991,606.6194,392.3898,251.2378,366.3741
Cer(d17:0/24:1),732.591206,634.61431,604.6038,390.3742,251.2378,364.3585
Cer(d17:0/25:0),748.622506,650.64561,620.6351,406.4055,251.2378,380.3898
Cer(d17:0/26:0),762.638106,664.66121,634.6507,420.4211,251.2378,394.4054
Cer(d17:0/8:0),510.356406,412.37951,382.369,168.1394,251.2378,142.1237
Cer(d17:1/10:0),536.372006,438.39511,408.3846,196.1707,249.2221,170.155
Cer(d17:1/12:0),564.403306,466.42641,436.4159,224.202,249.2221,198.1863
Cer(d17:1/13:0),578.419006,480.44211,450.4316,238.2177,249.2221,212.202
Cer(d17:1/14:0),592.434606,494.45771,464.4472,252.2333,249.2221,226.2176
Cer(d17:1/14:1),590.419006,492.44211,462.4316,250.2177,249.2221,224.202
Cer(d17:1/15:0),606.450306,508.47341,478.4629,266.249,249.2221,240.2333
Cer(d17:1/15:1),604.434606,506.45771,476.4472,264.2333,249.2221,238.2176
Cer(d17:1/16:0),620.465906,522.48901,492.4785,280.2646,249.2221,254.2489
Cer(d17:1/16:1),618.450306,520.47341,490.4629,278.249,249.2221,252.2333
Cer(d17:1/17:0),634.481606,536.50471,506.4942,294.2803,249.2221,268.2646
Cer(d17:1/17:1),632.465906,534.48901,504.4785,292.2646,249.2221,266.2489
Cer(d17:1/17:2),630.450306,532.47341,502.4629,290.249,249.2221,264.2333
Cer(d17:1/18:0),648.497206,550.52031,520.5098,308.2959,249.2221,282.2802
Cer(d17:1/18:1),646.481606,548.50471,518.4942,306.2803,249.2221,280.2646
Cer(d17:1/18:2),644.465906,546.48901,516.4785,304.2646,249.2221,278.2489
Cer(d17:1/18:3),642.450306,544.47341,514.4629,302.249,249.2221,276.2333
Cer(d17:1/18:4),640.434606,542.45771,512.4472,300.2333,249.2221,274.2176
Cer(d17:1/19:0),662.512906,564.53601,534.5255,322.3116,249.2221,296.2959
Cer(d17:1/20:0),676.528506,578.55161,548.5411,336.3272,249.2221,310.3115
Cer(d17:1/20:1),674.512906,576.53601,546.5255,334.3116,249.2221,308.2959
Cer(d17:1/20:2),672.497206,574.52031,544.5098,332.2959,249.2221,306.2802
Cer(d17:1/20:3),670.481606,572.50471,542.4942,330.2803,249.2221,304.2646
Cer(d17:1/20:4),668.465906,570.48901,540.4785,328.2646,249.2221,302.2489
Cer(d17:1/20:5),666.450306,568.47341,538.4629,326.249,249.2221,300.2333
Cer(d17:1/21:0),690.544206,592.56731,562.5568,350.3429,249.2221,324.3272
Cer(d17:1/22:0),704.559806,606.58291,576.5724,364.3585,249.2221,338.3428
Cer(d17:1/22:1),702.544206,604.56731,574.5568,362.3429,249.2221,336.3272
Cer(d17:1/22:2),700.528506,602.55161,572.5411,360.3272,249.2221,334.3115
Cer(d17:1/22:3),698.512906,600.53601,570.5255,358.3116,249.2221,332.2959
Cer(d17:1/22:4),696.497206,598.52031,568.5098,356.2959,249.2221,330.2802
Cer(d17:1/22:5),694.481606,596.50471,566.4942,354.2803,249.2221,328.2646
Cer(d17:1/22:6),692.465906,594.48901,564.4785,352.2646,249.2221,326.2489
Cer(d17:1/23:0),718.575506,620.59861,590.5881,378.3742,249.2221,352.3585
Cer(d17:1/24:0),732.591106,634.61421,604.6037,392.3898,249.2221,366.3741
Cer(d17:1/24:1),730.575506,632.59861,602.5881,390.3742,249.2221,364.3585
Cer(d17:1/25:0),746.606806,648.62991,618.6194,406.4055,249.2221,380.3898
Cer(d17:1/26:0),760.622406,662.64551,632.635,420.4211,249.2221,394.4054
Cer(d17:1/8:0),508.340706,410.36381,380.3533,168.1394,249.2221,142.1237
Cer(d17:2/10:0),534.356406,436.37951,406.369,196.1707,247.2065,170.155
Cer(d17:2/12:0),562.387706,464.41081,434.4003,224.202,247.2065,198.1863
Cer(d17:2/13:0),576.403406,478.42651,448.416,238.2177,247.2065,212.202
Cer(d17:2/14:0),590.419006,492.44211,462.4316,252.2333,247.2065,226.2176
Cer(d17:2/14:1),588.403406,490.42651,460.416,250.2177,247.2065,224.202
Cer(d17:2/15:0),604.434706,506.45781,476.4473,266.249,247.2065,240.2333
Cer(d17:2/15:1),602.419006,504.44211,474.4316,264.2333,247.2065,238.2176
Cer(d17:2/16:0),618.450306,520.47341,490.4629,280.2646,247.2065,254.2489
Cer(d17:2/16:1),616.434706,518.45781,488.4473,278.249,247.2065,252.2333
Cer(d17:2/17:0),632.466006,534.48911,504.4786,294.2803,247.2065,268.2646
Cer(d17:2/17:1),630.450306,532.47341,502.4629,292.2646,247.2065,266.2489
Cer(d17:2/17:2),628.434706,530.45781,500.4473,290.249,247.2065,264.2333
Cer(d17:2/18:0),646.481606,548.50471,518.4942,308.2959,247.2065,282.2802
Cer(d17:2/18:1),644.466006,546.48911,516.4786,306.2803,247.2065,280.2646
Cer(d17:2/18:2),642.450306,544.47341,514.4629,304.2646,247.2065,278.2489
Cer(d17:2/18:3),640.434706,542.45781,512.4473,302.249,247.2065,276.2333
Cer(d17:2/18:4),638.419006,540.44211,510.4316,300.2333,247.2065,274.2176
Cer(d17:2/19:0),660.497306,562.52041,532.5099,322.3116,247.2065,296.2959
Cer(d17:2/20:0),674.512906,576.53601,546.5255,336.3272,247.2065,310.3115
Cer(d17:2/20:1),672.497306,574.52041,544.5099,334.3116,247.2065,308.2959
Cer(d17:2/20:2),670.481606,572.50471,542.4942,332.2959,247.2065,306.2802
Cer(d17:2/20:3),668.466006,570.48911,540.4786,330.2803,247.2065,304.2646
Cer(d17:2/20:4),666.450306,568.47341,538.4629,328.2646,247.2065,302.2489
Cer(d17:2/20:5),664.434706,566.45781,536.4473,326.249,247.2065,300.2333
Cer(d17:2/21:0),688.528606,590.55171,560.5412,350.3429,247.2065,324.3272
Cer(d17:2/22:0),702.544206,604.56731,574.5568,364.3585,247.2065,338.3428
Cer(d17:2/22:1),700.528606,602.55171,572.5412,362.3429,247.2065,336.3272
Cer(d17:2/22:2),698.512906,600.53601,570.5255,360.3272,247.2065,334.3115
Cer(d17:2/22:3),696.497306,598.52041,568.5099,358.3116,247.2065,332.2959
Cer(d17:2/22:4),694.481606,596.50471,566.4942,356.2959,247.2065,330.2802
Cer(d17:2/22:5),692.466006,594.48911,564.4786,354.2803,247.2065,328.2646
Cer(d17:2/22:6),690.450306,592.47341,562.4629,352.2646,247.2065,326.2489
Cer(d17:2/23:0),716.559906,618.58301,588.5725,378.3742,247.2065,352.3585
Cer(d17:2/24:0),730.575506,632.59861,602.5881,392.3898,247.2065,366.3741
Cer(d17:2/24:1),728.559906,630.58301,600.5725,390.3742,247.2065,364.3585
Cer(d17:2/25:0),744.591206,646.61431,616.6038,406.4055,247.2065,380.3898
Cer(d17:2/26:0),758.606806,660.62991,630.6194,420.4211,247.2065,394.4054
Cer(d17:2/8:0),506.325106,408.34821,378.3377,168.1394,247.2065,142.1237
Cer(d18:0/10:0),552.403306,454.42641,424.4159,196.1707,265.2534,170.155
Cer(d18:0/12:0),580.434606,482.45771,452.4472,224.202,265.2534,198.1863
Cer(d18:0/13:0),594.450306,496.47341,466.4629,238.2177,265.2534,212.202
Cer(d18:0/14:0),608.465906,510.48901,480.4785,252.2333,265.2534,226.2176
Cer(d18:0/14:1),606.450306,508.47341,478.4629,250.2177,265.2534,224.202
Cer(d18:0/15:0),622.481606,524.50471,494.4942,266.249,265.2534,240.2333
Cer(d18:0/15:1),620.465906,522.48901,492.4785,264.2333,265.2534,238.2176
Cer(d18:0/16:0),636.497206,538.52031,508.5098,280.2646,265.2534,254.2489
Cer(d18:0/16:1),634.481606,536.50471,506.4942,278.249,265.2534,252.2333
Cer(d18:0/17:0),650.512906,552.53601,522.5255,294.2803,265.2534,268.2646
Cer(d18:0/17:1),648.497206,550.52031,520.5098,292.2646,265.2534,266.2489
Cer(d18:0/17:2),646.481606,548.50471,518.4942,290.249,265.2534,264.2333
Cer(d18:0/18:0),664.528506,566.55161,536.5411,308.2959,265.2534,282.2802
Cer(d18:0/18:1),662.512906,564.53601,534.5255,306.2803,265.2534,280.2646
Cer(d18:0/18:2),660.497206,562.52031,532.5098,304.2646,265.2534,278.2489
Cer(d18:0/18:3),658.481606,560.50471,530.4942,302.249,265.2534,276.2333
Cer(d18:0/18:4),656.465906,558.48901,528.4785,300.2333,265.2534,274.2176
Cer(d18:0/19:0),678.544206,580.56731,550.5568,322.3116,265.2534,296.2959
Cer(d18:0/20:0),692.559806,594.58291,564.5724,336.3272,265.2534,310.3115
Cer(d18:0/20:1),690.544206,592.56731,562.5568,334.3116,265.2534,308.2959
Cer(d18:0/20:2),688.528506,590.55161,560.5411,332.2959,265.2534,306.2802
Cer(d18:0/20:3),686.512906,588.53601,558.5255,330.2803,265.2534,304.2646
Cer(d18:0/20:4),684.497206,586.52031,556.5098,328.2646,265.2534,302.2489
Cer(d18:0/20:5),682.481606,584.50471,554.4942,326.249,265.2534,300.2333
Cer(d18:0/21:0),706.575506,608.59861,578.5881,350.3429,265.2534,324.3272
Cer(d18:0/22:0),720.591106,622.61421,592.6037,364.3585,265.2534,338.3428
Cer(d18:0/22:1),718.575506,620.59861,590.5881,362.3429,265.2534,336.3272
Cer(d18:0/22:2),716.559806,618.58291,588.5724,360.3272,265.2534,334.3115
Cer(d18:0/22:3),714.544206,616.56731,586.5568,358.3116,265.2534,332.2959
Cer(d18:0/22:4),712.528506,614.55161,584.5411,356.2959,265.2534,330.2802
Cer(d18:0/22:5),710.512906,612.53601,582.5255,354.2803,265.2534,328.2646
Cer(d18:0/22:6),708.497206,610.52031,580.5098,352.2646,265.2534,326.2489
Cer(d18:0/23:0),734.606806,636.62991,606.6194,378.3742,265.2534,352.3585
Cer(d18:0/24:0),748.622406,650.64551,620.635,392.3898,265.2534,366.3741
Cer(d18:0/24:1),746.606806,648.62991,618.6194,390.3742,265.2534,364.3585
Cer(d18:0/25:0),762.638106,664.66121,634.6507,406.4055,265.2534,380.3898
Cer(d18:0/26:0),776.653706,678.67681,648.6663,420.4211,265.2534,394.4054
Cer(d18:0/8:0),524.372006,426.39511,396.3846,168.1394,265.2534,142.1237
Cer(d18:1/10:0),550.387706,452.41081,422.4003,196.1707,263.2378,170.155
Cer(d18:1/12:0),578.419006,480.44211,450.4316,224.202,263.2378,198.1863
Cer(d18:1/13:0),592.434706,494.45781,464.4473,238.2177,263.2378,212.202
Cer(d18:1/14:0),606.450306,508.47341,478.4629,252.2333,263.2378,226.2176
Cer(d18:1/14:1),604.434706,506.45781,476.4473,250.2177,263.2378,224.202
Cer(d18:1/15:0),620.466006,522.48911,492.4786,266.249,263.2378,240.2333
Cer(d18:1/15:1),618.450306,520.47341,490.4629,264.2333,263.2378,238.2176
Cer(d18:1/16:0),634.481606,536.50471,506.4942,280.2646,263.2378,254.2489
Cer(d18:1/16:1),632.466006,534.48911,504.4786,278.249,263.2378,252.2333
Cer(d18:1/17:0),648.497306,550.52041,520.5099,294.2803,263.2378,268.2646
Cer(d18:1/17:1),646.481606,548.50471,518.4942,292.2646,263.2378,266.2489
Cer(d18:1/17:2),644.466006,546.48911,516.4786,290.249,263.2378,264.2333
Cer(d18:1/18:0),662.512906,564.53601,534.5255,308.2959,263.2378,282.2802
Cer(d18:1/18:1),660.497306,562.52041,532.5099,306.2803,263.2378,280.2646
Cer(d18:1/18:2),658.481606,560.50471,530.4942,304.2646,263.2378,278.2489
Cer(d18:1/18:3),656.466006,558.48911,528.4786,302.249,263.2378,276.2333
Cer(d18:1/18:4),654.450306,556.47341,526.4629,300.2333,263.2378,274.2176
Cer(d18:1/19:0),676.528606,578.55171,548.5412,322.3116,263.2378,296.2959
Cer(d18:1/20:0),690.544206,592.56731,562.5568,336.3272,263.2378,310.3115
Cer(d18:1/20:1),688.528606,590.55171,560.5412,334.3116,263.2378,308.2959
Cer(d18:1/20:2),686.512906,588.53601,558.5255,332.2959,263.2378,306.2802
Cer(d18:1/20:3),684.497306,586.52041,556.5099,330.2803,263.2378,304.2646
Cer(d18:1/20:4),682.481606,584.50471,554.4942,328.2646,263.2378,302.2489
Cer(d18:1/20:5),680.466006,582.48911,552.4786,326.249,263.2378,300.2333
Cer(d18:1/21:0),704.559906,606.58301,576.5725,350.3429,263.2378,324.3272
Cer(d18:1/22:0),718.575506,620.59861,590.5881,364.3585,263.2378,338.3428
Cer(d18:1/22:1),716.559906,618.58301,588.5725,362.3429,263.2378,336.3272
Cer(d18:1/22:2),714.544206,616.56731,586.5568,360.3272,263.2378,334.3115
Cer(d18:1/22:3),712.528606,614.55171,584.5412,358.3116,263.2378,332.2959
Cer(d18:1/22:4),710.512906,612.53601,582.5255,356.2959,263.2378,330.2802
Cer(d18:1/22:5),708.497306,610.52041,580.5099,354.2803,263.2378,328.2646
Cer(d18:1/22:6),706.481606,608.50471,578.4942,352.2646,263.2378,326.2489
Cer(d18:1/23:0),732.591206,634.61431,604.6038,378.3742,263.2378,352.3585
Cer(d18:1/24:0),746.606806,648.62991,618.6194,392.3898,263.2378,366.3741
Cer(d18:1/24:1),744.591206,646.61431,616.6038,390.3742,263.2378,364.3585
Cer(d18:1/25:0),760.622506,662.64561,632.6351,406.4055,263.2378,380.3898
Cer(d18:1/26:0),774.638106,676.66121,646.6507,420.4211,263.2378,394.4054
Cer(d18:1/8:0),522.356406,424.37951,394.369,168.1394,263.2378,142.1237
Cer(d18:2/10:0),548.372006,450.39511,420.3846,196.1707,261.2221,170.155
Cer(d18:2/12:0),576.403306,478.42641,448.4159,224.202,261.2221,198.1863
Cer(d18:2/13:0),590.419006,492.44211,462.4316,238.2177,261.2221,212.202
Cer(d18:2/14:0),604.434606,506.45771,476.4472,252.2333,261.2221,226.2176
Cer(d18:2/14:1),602.419006,504.44211,474.4316,250.2177,261.2221,224.202
Cer(d18:2/15:0),618.450306,520.47341,490.4629,266.249,261.2221,240.2333
Cer(d18:2/15:1),616.434606,518.45771,488.4472,264.2333,261.2221,238.2176
Cer(d18:2/16:0),632.465906,534.48901,504.4785,280.2646,261.2221,254.2489
Cer(d18:2/16:1),630.450306,532.47341,502.4629,278.249,261.2221,252.2333
Cer(d18:2/17:0),646.481606,548.50471,518.4942,294.2803,261.2221,268.2646
Cer(d18:2/17:1),644.465906,546.48901,516.4785,292.2646,261.2221,266.2489
Cer(d18:2/17:2),642.450306,544.47341,514.4629,290.249,261.2221,264.2333
Cer(d18:2/18:0),660.497206,562.52031,532.5098,308.2959,261.2221,282.2802
Cer(d18:2/18:1),658.481606,560.50471,530.4942,306.2803,261.2221,280.2646
Cer(d18:2/18:2),656.465906,558.48901,528.4785,304.2646,261.2221,278.2489
Cer(d18:2/18:3),654.450306,556.47341,526.4629,302.249,261.2221,276.2333
Cer(d18:2/18:4),652.434606,554.45771,524.4472,300.2333,261.2221,274.2176
Cer(d18:2/19:0),674.512906,576.53601,546.5255,322.3116,261.2221,296.2959
Cer(d18:2/20:0),688.528506,590.55161,560.5411,336.3272,261.2221,310.3115
Cer(d18:2/20:1),686.512906,588.53601,558.5255,334.3116,261.2221,308.2959
Cer(d18:2/20:2),684.497206,586.52031,556.5098,332.2959,261.2221,306.2802
Cer(d18:2/20:3),682.481606,584.50471,554.4942,330.2803,261.2221,304.2646
Cer(d18:2/20:4),680.465906,582.48901,552.4785,328.2646,261.2221,302.2489
Cer(d18:2/20:5),678.450306,580.47341,550.4629,326.249,261.2221,300.2333
Cer(d18:2/21:0),702.544206,604.56731,574.5568,350.3429,261.2221,324.3272
Cer(d18:2/22:0),716.559806,618.58291,588.5724,364.3585,261.2221,338.3428
Cer(d18:2/22:1),714.544206,616.56731,586.5568,362.3429,261.2221,336.3272
Cer(d18:2/22:2),712.528506,614.55161,584.5411,360.3272,261.2221,334.3115
Cer(d18:2/22:3),710.512906,612.53601,582.5255,358.3116,261.2221,332.2959
Cer(d18:2/22:4),708.497206,610.52031,580.5098,356.2959,261.2221,330.2802
Cer(d18:2/22:5),706.481606,608.50471,578.4942,354.2803,261.2221,328.2646
Cer(d18:2/22:6),704.465906,606.48901,576.4785,352.2646,261.2221,326.2489
Cer(d18:2/23:0),730.575506,632.59861,602.5881,378.3742,261.2221,352.3585
Cer(d18:2/24:0),744.591106,646.61421,616.6037,392.3898,261.2221,366.3741
Cer(d18:2/24:1),742.575506,644.59861,614.5881,390.3742,261.2221,364.3585
Cer(d18:2/25:0),758.606806,660.62991,630.6194,406.4055,261.2221,380.3898
Cer(d18:2/26:0),772.622406,674.64551,644.635,420.4211,261.2221,394.4054
Cer(d18:2/8:0),520.340706,422.36381,392.3533,168.1394,261.2221,142.1237
Cer(d18:3/10:0),546.356406,448.37951,418.369,196.1707,259.2065,170.155
Cer(d18:3/12:0),574.387706,476.41081,446.4003,224.202,259.2065,198.1863
Cer(d18:3/13:0),588.403406,490.42651,460.416,238.2177,259.2065,212.202
Cer(d18:3/14:0),602.419006,504.44211,474.4316,252.2333,259.2065,226.2176
Cer(d18:3/14:1),600.403406,502.42651,472.416,250.2177,259.2065,224.202
Cer(d18:3/15:0),616.434706,518.45781,488.4473,266.249,259.2065,240.2333
Cer(d18:3/15:1),614.419006,516.44211,486.4316,264.2333,259.2065,238.2176
Cer(d18:3/16:0),630.450306,532.47341,502.4629,280.2646,259.2065,254.2489
Cer(d18:3/16:1),628.434706,530.45781,500.4473,278.249,259.2065,252.2333
Cer(d18:3/17:0),644.466006,546.48911,516.4786,294.2803,259.2065,268.2646
Cer(d18:3/17:1),642.450306,544.47341,514.4629,292.2646,259.2065,266.2489
Cer(d18:3/17:2),640.434706,542.45781,512.4473,290.249,259.2065,264.2333
Cer(d18:3/18:0),658.481606,560.50471,530.4942,308.2959,259.2065,282.2802
Cer(d18:3/18:1),656.466006,558.48911,528.4786,306.2803,259.2065,280.2646
Cer(d18:3/18:2),654.450306,556.47341,526.4629,304.2646,259.2065,278.2489
Cer(d18:3/18:3),652.434706,554.45781,524.4473,302.249,259.2065,276.2333
Cer(d18:3/18:4),650.419006,552.44211,522.4316,300.2333,259.2065,274.2176
Cer(d18:3/19:0),672.497306,574.52041,544.5099,322.3116,259.2065,296.2959
Cer(d18:3/20:0),686.512906,588.53601,558.5255,336.3272,259.2065,310.3115
Cer(d18:3/20:1),684.497306,586.52041,556.5099,334.3116,259.2065,308.2959
Cer(d18:3/20:2),682.481606,584.50471,554.4942,332.2959,259.2065,306.2802
Cer(d18:3/20:3),680.466006,582.48911,552.4786,330.2803,259.2065,304.2646
Cer(d18:3/20:4),678.450306,580.47341,550.4629,328.2646,259.2065,302.2489
Cer(d18:3/20:5),676.434706,578.45781,548.4473,326.249,259.2065,300.2333
Cer(d18:3/21:0),700.528606,602.55171,572.5412,350.3429,259.2065,324.3272
Cer(d18:3/22:0),714.544206,616.56731,586.5568,364.3585,259.2065,338.3428
Cer(d18:3/22:1),712.528606,614.55171,584.5412,362.3429,259.2065,336.3272
Cer(d18:3/22:2),710.512906,612.53601,582.5255,360.3272,259.2065,334.3115
Cer(d18:3/22:3),708.497306,610.52041,580.5099,358.3116,259.2065,332.2959
Cer(d18:3/22:4),706.481606,608.50471,578.4942,356.2959,259.2065,330.2802
Cer(d18:3/22:5),704.466006,606.48911,576.4786,354.2803,259.2065,328.2646
Cer(d18:3/22:6),702.450306,604.47341,574.4629,352.2646,259.2065,326.2489
Cer(d18:3/23:0),728.559906,630.58301,600.5725,378.3742,259.2065,352.3585
Cer(d18:3/24:0),742.575506,644.59861,614.5881,392.3898,259.2065,366.3741
Cer(d18:3/24:1),740.559906,642.58301,612.5725,390.3742,259.2065,364.3585
Cer(d18:3/25:0),756.591206,658.61431,628.6038,406.4055,259.2065,380.3898
Cer(d18:3/26:0),770.606806,672.62991,642.6194,420.4211,259.2065,394.4054
Cer(d18:3/8:0),518.325106,420.34821,390.3377,168.1394,259.2065,142.1237
Cer(d18:4/10:0),544.340706,446.36381,416.3533,196.1707,257.1908,170.155
Cer(d18:4/12:0),572.372006,474.39511,444.3846,224.202,257.1908,198.1863
Cer(d18:4/13:0),586.387706,488.41081,458.4003,238.2177,257.1908,212.202
Cer(d18:4/14:0),600.403306,502.42641,472.4159,252.2333,257.1908,226.2176
Cer(d18:4/14:1),598.387706,500.41081,470.4003,250.2177,257.1908,224.202
Cer(d18:4/15:0),614.419006,516.44211,486.4316,266.249,257.1908,240.2333
Cer(d18:4/15:1),612.403306,514.42641,484.4159,264.2333,257.1908,238.2176
Cer(d18:4/16:0),628.434606,530.45771,500.4472,280.2646,257.1908,254.2489
Cer(d18:4/16:1),626.419006,528.44211,498.4316,278.249,257.1908,252.2333
Cer(d18:4/17:0),642.450306,544.47341,514.4629,294.2803,257.1908,268.2646
Cer(d18:4/17:1),640.434606,542.45771,512.4472,292.2646,257.1908,266.2489
Cer(d18:4/17:2),638.419006,540.44211,510.4316,290.249,257.1908,264.2333
Cer(d18:4/18:0),656.465906,558.48901,528.4785,308.2959,257.1908,282.2802
Cer(d18:4/18:1),654.450306,556.47341,526.4629,306.2803,257.1908,280.2646
Cer(d18:4/18:2),652.434606,554.45771,524.4472,304.2646,257.1908,278.2489
Cer(d18:4/18:3),650.419006,552.44211,522.4316,302.249,257.1908,276.2333
Cer(d18:4/18:4),648.403306,550.42641,520.4159,300.2333,257.1908,274.2176
Cer(d18:4/19:0),670.481606,572.50471,542.4942,322.3116,257.1908,296.2959
Cer(d18:4/20:0),684.497206,586.52031,556.5098,336.3272,257.1908,310.3115
Cer(d18:4/20:1),682.481606,584.50471,554.4942,334.3116,257.1908,308.2959
Cer(d18:4/20:2),680.465906,582.48901,552.4785,332.2959,257.1908,306.2802
Cer(d18:4/20:3),678.450306,580.47341,550.4629,330.2803,257.1908,304.2646
Cer(d18:4/20:4),676.434606,578.45771,548.4472,328.2646,257.1908,302.2489
Cer(d18:4/20:5),674.419006,576.44211,546.4316,326.249,257.1908,300.2333
Cer(d18:4/21:0),698.512906,600.53601,570.5255,350.3429,257.1908,324.3272
Cer(d18:4/22:0),712.528506,614.55161,584.5411,364.3585,257.1908,338.3428
Cer(d18:4/22:1),710.512906,612.53601,582.5255,362.3429,257.1908,336.3272
Cer(d18:4/22:2),708.497206,610.52031,580.5098,360.3272,257.1908,334.3115
Cer(d18:4/22:3),706.481606,608.50471,578.4942,358.3116,257.1908,332.2959
Cer(d18:4/22:4),704.465906,606.48901,576.4785,356.2959,257.1908,330.2802
Cer(d18:4/22:5),702.450306,604.47341,574.4629,354.2803,257.1908,328.2646
Cer(d18:4/22:6),700.434606,602.45771,572.4472,352.2646,257.1908,326.2489
Cer(d18:4/23:0),726.544206,628.56731,598.5568,378.3742,257.1908,352.3585
