PG,[M-H]-,[M-Glycerol]-,[M-T1RCH=C=O]-,[M-T2RCH=C=O]-,[M-T1RCOOH]-,[M-T2RCOOH]-,[M-T1RCH=C=O-Glycerol]-,[M-T2RCH=C=O-Glycerol]-,[M-T1RCOOH-Glycerol]-,[M-T2RCOOH-Glycerol]-,[T1_RCOO]-,[T2_RCOO]-, [Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-,[Glycerophosphoglycerol]-,[Glycerophosphoglycerol-H2O]-,[Glycerophosphoglycerol-2H2O]-
PG(8:0_21:0),679.45566,605.41888,553.35119,371.14769,535.34063,353.13713,479.31441,297.11091,461.30385,279.10035,143.10775,325.31125,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_22:0),693.47126,619.43448,567.36679,371.14769,549.35623,353.13713,493.33001,297.11091,475.31945,279.10035,143.10775,339.32685,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_22:1),691.45566,617.41888,565.35119,371.14769,547.34063,353.13713,491.31441,297.11091,473.30385,279.10035,143.10775,337.31125,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_22:2),689.43996,615.40318,563.33549,371.14769,545.32493,353.13713,489.29871,297.11091,471.28815,279.10035,143.10775,335.29555,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_22:3),687.42436,613.38758,561.31989,371.14769,543.30933,353.13713,487.28311,297.11091,469.27255,279.10035,143.10775,333.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_22:4),685.40866,611.37188,559.30419,371.14769,541.29363,353.13713,485.26741,297.11091,467.25685,279.10035,143.10775,331.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_22:5),683.39306,609.35628,557.28859,371.14769,539.27803,353.13713,483.25181,297.11091,465.24125,279.10035,143.10775,329.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_22:6),681.37736,607.34058,555.27289,371.14769,537.26233,353.13713,481.23611,297.11091,463.22555,279.10035,143.10775,327.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_23:0),707.48696,633.45018,581.38249,371.14769,563.37193,353.13713,507.34571,297.11091,489.33515,279.10035,143.10775,353.34255,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_24:0),721.50256,647.46578,595.39809,371.14769,577.38753,353.13713,521.36131,297.11091,503.35075,279.10035,143.10775,367.35815,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_24:1),719.48696,645.45018,593.38249,371.14769,575.37193,353.13713,519.34571,297.11091,501.33515,279.10035,143.10775,365.34255,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_25:0),735.51826,661.48148,609.41379,371.14769,591.40323,353.13713,535.37701,297.11091,517.36645,279.10035,143.10775,381.37385,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
