Cer,[M+CH3COO]-,[M-H]-,[M-H-H2CO]-,[M-H2O-R1]-,[M-H2O-R2]-,[R2+amide]-
Cer(d10:0/22:0),570.510137,510.48901,480.4785,364.3585,153.1282,338.3428
Cer(d10:0/22:1),568.494537,508.47341,478.4629,362.3429,153.1282,336.3272
Cer(d10:0/22:2),566.478837,506.45771,476.4472,360.3272,153.1282,334.3115
Cer(d10:0/22:3),564.463237,504.44211,474.4316,358.3116,153.1282,332.2959
Cer(d10:0/22:4),562.447537,502.42641,472.4159,356.2959,153.1282,330.2802
Cer(d10:0/22:5),560.431937,500.41081,470.4003,354.2803,153.1282,328.2646
Cer(d10:0/22:6),558.416237,498.39511,468.3846,352.2646,153.1282,326.2489
Cer(d10:0/23:0),584.525837,524.50471,494.4942,378.3742,153.1282,352.3585
Cer(d10:0/24:0),598.541437,538.52031,508.5098,392.3898,153.1282,366.3741
Cer(d10:0/24:1),596.525837,536.50471,506.4942,390.3742,153.1282,364.3585
Cer(d10:0/25:0),612.557137,552.53601,522.5255,406.4055,153.1282,380.3898
Cer(d10:0/26:0),626.572737,566.55161,536.5411,420.4211,153.1282,394.4054
Cer(d10:0/8:0),374.291037,314.26991,284.2594,168.1394,153.1282,142.1237
Cer(d12:0/10:0),430.353637,370.33251,340.322,196.1707,181.1595,170.155
Cer(d12:0/12:0),458.384937,398.36381,368.3533,224.202,181.1595,198.1863
Cer(d12:0/13:0),472.400637,412.37951,382.369,238.2177,181.1595,212.202
Cer(d12:0/14:0),486.416237,426.39511,396.3846,252.2333,181.1595,226.2176
Cer(d12:0/14:1),484.400637,424.37951,394.369,250.2177,181.1595,224.202
Cer(d12:0/15:0),500.431937,440.41081,410.4003,266.249,181.1595,240.2333
Cer(d12:0/15:1),498.416237,438.39511,408.3846,264.2333,181.1595,238.2176
Cer(d12:0/16:0),514.447537,454.42641,424.4159,280.2646,181.1595,254.2489
Cer(d12:0/16:1),512.431937,452.41081,422.4003,278.249,181.1595,252.2333
Cer(d12:0/17:0),528.463237,468.44211,438.4316,294.2803,181.1595,268.2646
Cer(d12:0/17:1),526.447537,466.42641,436.4159,292.2646,181.1595,266.2489
Cer(d12:0/17:2),524.431937,464.41081,434.4003,290.249,181.1595,264.2333
Cer(d12:0/18:0),542.478837,482.45771,452.4472,308.2959,181.1595,282.2802
Cer(d12:0/18:1),540.463237,480.44211,450.4316,306.2803,181.1595,280.2646
Cer(d12:0/18:2),538.447537,478.42641,448.4159,304.2646,181.1595,278.2489
Cer(d12:0/18:3),536.431937,476.41081,446.4003,302.249,181.1595,276.2333
Cer(d12:0/18:4),534.416237,474.39511,444.3846,300.2333,181.1595,274.2176
Cer(d12:0/19:0),556.494537,496.47341,466.4629,322.3116,181.1595,296.2959
Cer(d12:0/20:0),570.510137,510.48901,480.4785,336.3272,181.1595,310.3115
Cer(d12:0/20:1),568.494537,508.47341,478.4629,334.3116,181.1595,308.2959
Cer(d12:0/20:2),566.478837,506.45771,476.4472,332.2959,181.1595,306.2802
Cer(d12:0/20:3),564.463237,504.44211,474.4316,330.2803,181.1595,304.2646
Cer(d12:0/20:4),562.447537,502.42641,472.4159,328.2646,181.1595,302.2489
Cer(d12:0/20:5),560.431937,500.41081,470.4003,326.249,181.1595,300.2333
Cer(d12:0/21:0),584.525837,524.50471,494.4942,350.3429,181.1595,324.3272
Cer(d12:0/22:0),598.541437,538.52031,508.5098,364.3585,181.1595,338.3428
Cer(d12:0/22:1),596.525837,536.50471,506.4942,362.3429,181.1595,336.3272
Cer(d12:0/22:2),594.510137,534.48901,504.4785,360.3272,181.1595,334.3115
Cer(d12:0/22:3),592.494537,532.47341,502.4629,358.3116,181.1595,332.2959
Cer(d12:0/22:4),590.478837,530.45771,500.4472,356.2959,181.1595,330.2802
Cer(d12:0/22:5),588.463237,528.44211,498.4316,354.2803,181.1595,328.2646
Cer(d12:0/22:6),586.447537,526.42641,496.4159,352.2646,181.1595,326.2489
Cer(d12:0/23:0),612.557137,552.53601,522.5255,378.3742,181.1595,352.3585
Cer(d12:0/24:0),626.572737,566.55161,536.5411,392.3898,181.1595,366.3741
Cer(d12:0/24:1),624.557137,564.53601,534.5255,390.3742,181.1595,364.3585
Cer(d12:0/25:0),640.588437,580.56731,550.5568,406.4055,181.1595,380.3898
Cer(d12:0/26:0),654.604037,594.58291,564.5724,420.4211,181.1595,394.4054
Cer(d12:0/8:0),402.322337,342.30121,312.2907,168.1394,181.1595,142.1237
Cer(d13:0/10:0),444.369337,384.34821,354.3377,196.1707,195.1752,170.155
Cer(d13:0/12:0),472.400637,412.37951,382.369,224.202,195.1752,198.1863
Cer(d13:0/13:0),486.416337,426.39521,396.3847,238.2177,195.1752,212.202
Cer(d13:0/14:0),500.431937,440.41081,410.4003,252.2333,195.1752,226.2176
Cer(d13:0/14:1),498.416337,438.39521,408.3847,250.2177,195.1752,224.202
Cer(d13:0/15:0),514.447637,454.42651,424.416,266.249,195.1752,240.2333
Cer(d13:0/15:1),512.431937,452.41081,422.4003,264.2333,195.1752,238.2176
Cer(d13:0/16:0),528.463237,468.44211,438.4316,280.2646,195.1752,254.2489
Cer(d13:0/16:1),526.447637,466.42651,436.416,278.249,195.1752,252.2333
Cer(d13:0/17:0),542.478937,482.45781,452.4473,294.2803,195.1752,268.2646
Cer(d13:0/17:1),540.463237,480.44211,450.4316,292.2646,195.1752,266.2489
Cer(d13:0/17:2),538.447637,478.42651,448.416,290.249,195.1752,264.2333
Cer(d13:0/18:0),556.494537,496.47341,466.4629,308.2959,195.1752,282.2802
Cer(d13:0/18:1),554.478937,494.45781,464.4473,306.2803,195.1752,280.2646
Cer(d13:0/18:2),552.463237,492.44211,462.4316,304.2646,195.1752,278.2489
Cer(d13:0/18:3),550.447637,490.42651,460.416,302.249,195.1752,276.2333
Cer(d13:0/18:4),548.431937,488.41081,458.4003,300.2333,195.1752,274.2176
Cer(d13:0/19:0),570.510237,510.48911,480.4786,322.3116,195.1752,296.2959
Cer(d13:0/20:0),584.525837,524.50471,494.4942,336.3272,195.1752,310.3115
Cer(d13:0/20:1),582.510237,522.48911,492.4786,334.3116,195.1752,308.2959
Cer(d13:0/20:2),580.494537,520.47341,490.4629,332.2959,195.1752,306.2802
Cer(d13:0/20:3),578.478937,518.45781,488.4473,330.2803,195.1752,304.2646
Cer(d13:0/20:4),576.463237,516.44211,486.4316,328.2646,195.1752,302.2489
Cer(d13:0/20:5),574.447637,514.42651,484.416,326.249,195.1752,300.2333
Cer(d13:0/21:0),598.541537,538.52041,508.5099,350.3429,195.1752,324.3272
Cer(d13:0/22:0),612.557137,552.53601,522.5255,364.3585,195.1752,338.3428
Cer(d13:0/22:1),610.541537,550.52041,520.5099,362.3429,195.1752,336.3272
Cer(d13:0/22:2),608.525837,548.50471,518.4942,360.3272,195.1752,334.3115
Cer(d13:0/22:3),606.510237,546.48911,516.4786,358.3116,195.1752,332.2959
Cer(d13:0/22:4),604.494537,544.47341,514.4629,356.2959,195.1752,330.2802
Cer(d13:0/22:5),602.478937,542.45781,512.4473,354.2803,195.1752,328.2646
Cer(d13:0/22:6),600.463237,540.44211,510.4316,352.2646,195.1752,326.2489
Cer(d13:0/23:0),626.572837,566.55171,536.5412,378.3742,195.1752,352.3585
Cer(d13:0/24:0),640.588437,580.56731,550.5568,392.3898,195.1752,366.3741
Cer(d13:0/24:1),638.572837,578.55171,548.5412,390.3742,195.1752,364.3585
Cer(d13:0/25:0),654.604137,594.58301,564.5725,406.4055,195.1752,380.3898
Cer(d13:0/26:0),668.619737,608.59861,578.5881,420.4211,195.1752,394.4054
Cer(d13:0/8:0),416.338037,356.31691,326.3064,168.1394,195.1752,142.1237
Cer(d14:0/10:0),458.384937,398.36381,368.3533,196.1707,209.1908,170.155
Cer(d14:0/12:0),486.416237,426.39511,396.3846,224.202,209.1908,198.1863
Cer(d14:0/13:0),500.431937,440.41081,410.4003,238.2177,209.1908,212.202
Cer(d14:0/14:0),514.447537,454.42641,424.4159,252.2333,209.1908,226.2176
