Cer,[M+CH3COO]-,[M-H]-,[M-H-H2CO]-,[M-H2O-R1]-,[M-H2O-R2]-,[R2+amide]-
Cer(d16:1/19:0),610.541537,550.52041,520.5099,322.3116,235.2065,296.2959
Cer(d16:1/20:0),624.557137,564.53601,534.5255,336.3272,235.2065,310.3115
Cer(d16:1/20:1),622.541537,562.52041,532.5099,334.3116,235.2065,308.2959
Cer(d16:1/20:2),620.525837,560.50471,530.4942,332.2959,235.2065,306.2802
Cer(d16:1/20:3),618.510237,558.48911,528.4786,330.2803,235.2065,304.2646
Cer(d16:1/20:4),616.494537,556.47341,526.4629,328.2646,235.2065,302.2489
Cer(d16:1/20:5),614.478937,554.45781,524.4473,326.249,235.2065,300.2333
Cer(d16:1/21:0),638.572837,578.55171,548.5412,350.3429,235.2065,324.3272
Cer(d16:1/22:0),652.588437,592.56731,562.5568,364.3585,235.2065,338.3428
Cer(d16:1/22:1),650.572837,590.55171,560.5412,362.3429,235.2065,336.3272
Cer(d16:1/22:2),648.557137,588.53601,558.5255,360.3272,235.2065,334.3115
Cer(d16:1/22:3),646.541537,586.52041,556.5099,358.3116,235.2065,332.2959
Cer(d16:1/22:4),644.525837,584.50471,554.4942,356.2959,235.2065,330.2802
Cer(d16:1/22:5),642.510237,582.48911,552.4786,354.2803,235.2065,328.2646
Cer(d16:1/22:6),640.494537,580.47341,550.4629,352.2646,235.2065,326.2489
Cer(d16:1/23:0),666.604137,606.58301,576.5725,378.3742,235.2065,352.3585
Cer(d16:1/24:0),680.619737,620.59861,590.5881,392.3898,235.2065,366.3741
Cer(d16:1/24:1),678.604137,618.58301,588.5725,390.3742,235.2065,364.3585
Cer(d16:1/25:0),694.635437,634.61431,604.6038,406.4055,235.2065,380.3898
Cer(d16:1/26:0),708.651037,648.62991,618.6194,420.4211,235.2065,394.4054
Cer(d16:1/8:0),456.369337,396.34821,366.3377,168.1394,235.2065,142.1237
Cer(d17:0/10:0),500.431937,440.41081,410.4003,196.1707,251.2378,170.155
Cer(d17:0/12:0),528.463237,468.44211,438.4316,224.202,251.2378,198.1863
Cer(d17:0/13:0),542.478937,482.45781,452.4473,238.2177,251.2378,212.202
Cer(d17:0/14:0),556.494537,496.47341,466.4629,252.2333,251.2378,226.2176
Cer(d17:0/14:1),554.478937,494.45781,464.4473,250.2177,251.2378,224.202
Cer(d17:0/15:0),570.510237,510.48911,480.4786,266.249,251.2378,240.2333
Cer(d17:0/15:1),568.494537,508.47341,478.4629,264.2333,251.2378,238.2176
Cer(d17:0/16:0),584.525837,524.50471,494.4942,280.2646,251.2378,254.2489
Cer(d17:0/16:1),582.510237,522.48911,492.4786,278.249,251.2378,252.2333
Cer(d17:0/17:0),598.541537,538.52041,508.5099,294.2803,251.2378,268.2646
Cer(d17:0/17:1),596.525837,536.50471,506.4942,292.2646,251.2378,266.2489
Cer(d17:0/17:2),594.510237,534.48911,504.4786,290.249,251.2378,264.2333
Cer(d17:0/18:0),612.557137,552.53601,522.5255,308.2959,251.2378,282.2802
Cer(d17:0/18:1),610.541537,550.52041,520.5099,306.2803,251.2378,280.2646
Cer(d17:0/18:2),608.525837,548.50471,518.4942,304.2646,251.2378,278.2489
Cer(d17:0/18:3),606.510237,546.48911,516.4786,302.249,251.2378,276.2333
Cer(d17:0/18:4),604.494537,544.47341,514.4629,300.2333,251.2378,274.2176
Cer(d17:0/19:0),626.572837,566.55171,536.5412,322.3116,251.2378,296.2959
Cer(d17:0/20:0),640.588437,580.56731,550.5568,336.3272,251.2378,310.3115
Cer(d17:0/20:1),638.572837,578.55171,548.5412,334.3116,251.2378,308.2959
Cer(d17:0/20:2),636.557137,576.53601,546.5255,332.2959,251.2378,306.2802
Cer(d17:0/20:3),634.541537,574.52041,544.5099,330.2803,251.2378,304.2646
Cer(d17:0/20:4),632.525837,572.50471,542.4942,328.2646,251.2378,302.2489
Cer(d17:0/20:5),630.510237,570.48911,540.4786,326.249,251.2378,300.2333
Cer(d17:0/21:0),654.604137,594.58301,564.5725,350.3429,251.2378,324.3272
Cer(d17:0/22:0),668.619737,608.59861,578.5881,364.3585,251.2378,338.3428
Cer(d17:0/22:1),666.604137,606.58301,576.5725,362.3429,251.2378,336.3272
Cer(d17:0/22:2),664.588437,604.56731,574.5568,360.3272,251.2378,334.3115
Cer(d17:0/22:3),662.572837,602.55171,572.5412,358.3116,251.2378,332.2959
Cer(d17:0/22:4),660.557137,600.53601,570.5255,356.2959,251.2378,330.2802
Cer(d17:0/22:5),658.541537,598.52041,568.5099,354.2803,251.2378,328.2646
Cer(d17:0/22:6),656.525837,596.50471,566.4942,352.2646,251.2378,326.2489
Cer(d17:0/23:0),682.635437,622.61431,592.6038,378.3742,251.2378,352.3585
Cer(d17:0/24:0),696.651037,636.62991,606.6194,392.3898,251.2378,366.3741
Cer(d17:0/24:1),694.635437,634.61431,604.6038,390.3742,251.2378,364.3585
Cer(d17:0/25:0),710.666737,650.64561,620.6351,406.4055,251.2378,380.3898
Cer(d17:0/26:0),724.682337,664.66121,634.6507,420.4211,251.2378,394.4054
Cer(d17:0/8:0),472.400637,412.37951,382.369,168.1394,251.2378,142.1237
Cer(d17:1/10:0),498.416237,438.39511,408.3846,196.1707,249.2221,170.155
Cer(d17:1/12:0),526.447537,466.42641,436.4159,224.202,249.2221,198.1863
Cer(d17:1/13:0),540.463237,480.44211,450.4316,238.2177,249.2221,212.202
Cer(d17:1/14:0),554.478837,494.45771,464.4472,252.2333,249.2221,226.2176
Cer(d17:1/14:1),552.463237,492.44211,462.4316,250.2177,249.2221,224.202
Cer(d17:1/15:0),568.494537,508.47341,478.4629,266.249,249.2221,240.2333
Cer(d17:1/15:1),566.478837,506.45771,476.4472,264.2333,249.2221,238.2176
Cer(d17:1/16:0),582.510137,522.48901,492.4785,280.2646,249.2221,254.2489
Cer(d17:1/16:1),580.494537,520.47341,490.4629,278.249,249.2221,252.2333
Cer(d17:1/17:0),596.525837,536.50471,506.4942,294.2803,249.2221,268.2646
Cer(d17:1/17:1),594.510137,534.48901,504.4785,292.2646,249.2221,266.2489
Cer(d17:1/17:2),592.494537,532.47341,502.4629,290.249,249.2221,264.2333
Cer(d17:1/18:0),610.541437,550.52031,520.5098,308.2959,249.2221,282.2802
Cer(d17:1/18:1),608.525837,548.50471,518.4942,306.2803,249.2221,280.2646
Cer(d17:1/18:2),606.510137,546.48901,516.4785,304.2646,249.2221,278.2489
Cer(d17:1/18:3),604.494537,544.47341,514.4629,302.249,249.2221,276.2333
Cer(d17:1/18:4),602.478837,542.45771,512.4472,300.2333,249.2221,274.2176
Cer(d17:1/19:0),624.557137,564.53601,534.5255,322.3116,249.2221,296.2959
Cer(d17:1/20:0),638.572737,578.55161,548.5411,336.3272,249.2221,310.3115
Cer(d17:1/20:1),636.557137,576.53601,546.5255,334.3116,249.2221,308.2959
Cer(d17:1/20:2),634.541437,574.52031,544.5098,332.2959,249.2221,306.2802
Cer(d17:1/20:3),632.525837,572.50471,542.4942,330.2803,249.2221,304.2646
Cer(d17:1/20:4),630.510137,570.48901,540.4785,328.2646,249.2221,302.2489
Cer(d17:1/20:5),628.494537,568.47341,538.4629,326.249,249.2221,300.2333
Cer(d17:1/21:0),652.588437,592.56731,562.5568,350.3429,249.2221,324.3272
Cer(d17:1/22:0),666.604037,606.58291,576.5724,364.3585,249.2221,338.3428
Cer(d17:1/22:1),664.588437,604.56731,574.5568,362.3429,249.2221,336.3272
Cer(d17:1/22:2),662.572737,602.55161,572.5411,360.3272,249.2221,334.3115
Cer(d17:1/22:3),660.557137,600.53601,570.5255,358.3116,249.2221,332.2959
Cer(d17:1/22:4),658.541437,598.52031,568.5098,356.2959,249.2221,330.2802
Cer(d17:1/22:5),656.525837,596.50471,566.4942,354.2803,249.2221,328.2646
Cer(d17:1/22:6),654.510137,594.48901,564.4785,352.2646,249.2221,326.2489
Cer(d17:1/23:0),680.619737,620.59861,590.5881,378.3742,249.2221,352.3585
Cer(d17:1/24:0),694.635337,634.61421,604.6037,392.3898,249.2221,366.3741
Cer(d17:1/24:1),692.619737,632.59861,602.5881,390.3742,249.2221,364.3585
Cer(d17:1/25:0),708.651037,648.62991,618.6194,406.4055,249.2221,380.3898
Cer(d17:1/26:0),722.666637,662.64551,632.635,420.4211,249.2221,394.4054
Cer(d17:1/8:0),470.384937,410.36381,380.3533,168.1394,249.2221,142.1237
Cer(d17:2/10:0),496.400637,436.37951,406.369,196.1707,247.2065,170.155
Cer(d17:2/12:0),524.431937,464.41081,434.4003,224.202,247.2065,198.1863
Cer(d17:2/13:0),538.447637,478.42651,448.416,238.2177,247.2065,212.202
Cer(d17:2/14:0),552.463237,492.44211,462.4316,252.2333,247.2065,226.2176
Cer(d17:2/14:1),550.447637,490.42651,460.416,250.2177,247.2065,224.202
Cer(d17:2/15:0),566.478937,506.45781,476.4473,266.249,247.2065,240.2333
Cer(d17:2/15:1),564.463237,504.44211,474.4316,264.2333,247.2065,238.2176
Cer(d17:2/16:0),580.494537,520.47341,490.4629,280.2646,247.2065,254.2489
Cer(d17:2/16:1),578.478937,518.45781,488.4473,278.249,247.2065,252.2333
Cer(d17:2/17:0),594.510237,534.48911,504.4786,294.2803,247.2065,268.2646
Cer(d17:2/17:1),592.494537,532.47341,502.4629,292.2646,247.2065,266.2489
Cer(d17:2/17:2),590.478937,530.45781,500.4473,290.249,247.2065,264.2333
Cer(d17:2/18:0),608.525837,548.50471,518.4942,308.2959,247.2065,282.2802
Cer(d17:2/18:1),606.510237,546.48911,516.4786,306.2803,247.2065,280.2646
Cer(d17:2/18:2),604.494537,544.47341,514.4629,304.2646,247.2065,278.2489
Cer(d17:2/18:3),602.478937,542.45781,512.4473,302.249,247.2065,276.2333
Cer(d17:2/18:4),600.463237,540.44211,510.4316,300.2333,247.2065,274.2176
Cer(d17:2/19:0),622.541537,562.52041,532.5099,322.3116,247.2065,296.2959
Cer(d17:2/20:0),636.557137,576.53601,546.5255,336.3272,247.2065,310.3115
Cer(d17:2/20:1),634.541537,574.52041,544.5099,334.3116,247.2065,308.2959
Cer(d17:2/20:2),632.525837,572.50471,542.4942,332.2959,247.2065,306.2802
Cer(d17:2/20:3),630.510237,570.48911,540.4786,330.2803,247.2065,304.2646
Cer(d17:2/20:4),628.494537,568.47341,538.4629,328.2646,247.2065,302.2489
Cer(d17:2/20:5),626.478937,566.45781,536.4473,326.249,247.2065,300.2333
Cer(d17:2/21:0),650.572837,590.55171,560.5412,350.3429,247.2065,324.3272
Cer(d17:2/22:0),664.588437,604.56731,574.5568,364.3585,247.2065,338.3428
Cer(d17:2/22:1),662.572837,602.55171,572.5412,362.3429,247.2065,336.3272
Cer(d17:2/22:2),660.557137,600.53601,570.5255,360.3272,247.2065,334.3115
Cer(d17:2/22:3),658.541537,598.52041,568.5099,358.3116,247.2065,332.2959
Cer(d17:2/22:4),656.525837,596.50471,566.4942,356.2959,247.2065,330.2802
Cer(d17:2/22:5),654.510237,594.48911,564.4786,354.2803,247.2065,328.2646
Cer(d17:2/22:6),652.494537,592.47341,562.4629,352.2646,247.2065,326.2489
Cer(d17:2/23:0),678.604137,618.58301,588.5725,378.3742,247.2065,352.3585
Cer(d17:2/24:0),692.619737,632.59861,602.5881,392.3898,247.2065,366.3741
Cer(d17:2/24:1),690.604137,630.58301,600.5725,390.3742,247.2065,364.3585
Cer(d17:2/25:0),706.635437,646.61431,616.6038,406.4055,247.2065,380.3898
Cer(d17:2/26:0),720.651037,660.62991,630.6194,420.4211,247.2065,394.4054
Cer(d17:2/8:0),468.369337,408.34821,378.3377,168.1394,247.2065,142.1237
Cer(d18:0/10:0),514.447537,454.42641,424.4159,196.1707,265.2534,170.155
Cer(d18:0/12:0),542.478837,482.45771,452.4472,224.202,265.2534,198.1863
Cer(d18:0/13:0),556.494537,496.47341,466.4629,238.2177,265.2534,212.202
Cer(d18:0/14:0),570.510137,510.48901,480.4785,252.2333,265.2534,226.2176
Cer(d18:0/14:1),568.494537,508.47341,478.4629,250.2177,265.2534,224.202
Cer(d18:0/15:0),584.525837,524.50471,494.4942,266.249,265.2534,240.2333
Cer(d18:0/15:1),582.510137,522.48901,492.4785,264.2333,265.2534,238.2176
Cer(d18:0/16:0),598.541437,538.52031,508.5098,280.2646,265.2534,254.2489
Cer(d18:0/16:1),596.525837,536.50471,506.4942,278.249,265.2534,252.2333
Cer(d18:0/17:0),612.557137,552.53601,522.5255,294.2803,265.2534,268.2646
Cer(d18:0/17:1),610.541437,550.52031,520.5098,292.2646,265.2534,266.2489
Cer(d18:0/17:2),608.525837,548.50471,518.4942,290.249,265.2534,264.2333
Cer(d18:0/18:0),626.572737,566.55161,536.5411,308.2959,265.2534,282.2802
Cer(d18:0/18:1),624.557137,564.53601,534.5255,306.2803,265.2534,280.2646
Cer(d18:0/18:2),622.541437,562.52031,532.5098,304.2646,265.2534,278.2489
Cer(d18:0/18:3),620.525837,560.50471,530.4942,302.249,265.2534,276.2333
Cer(d18:0/18:4),618.510137,558.48901,528.4785,300.2333,265.2534,274.2176
Cer(d18:0/19:0),640.588437,580.56731,550.5568,322.3116,265.2534,296.2959
Cer(d18:0/20:0),654.604037,594.58291,564.5724,336.3272,265.2534,310.3115
Cer(d18:0/20:1),652.588437,592.56731,562.5568,334.3116,265.2534,308.2959
Cer(d18:0/20:2),650.572737,590.55161,560.5411,332.2959,265.2534,306.2802
Cer(d18:0/20:3),648.557137,588.53601,558.5255,330.2803,265.2534,304.2646
Cer(d18:0/20:4),646.541437,586.52031,556.5098,328.2646,265.2534,302.2489
Cer(d18:0/20:5),644.525837,584.50471,554.4942,326.249,265.2534,300.2333
Cer(d18:0/21:0),668.619737,608.59861,578.5881,350.3429,265.2534,324.3272
Cer(d18:0/22:0),682.635337,622.61421,592.6037,364.3585,265.2534,338.3428
Cer(d18:0/22:1),680.619737,620.59861,590.5881,362.3429,265.2534,336.3272
Cer(d18:0/22:2),678.604037,618.58291,588.5724,360.3272,265.2534,334.3115
Cer(d18:0/22:3),676.588437,616.56731,586.5568,358.3116,265.2534,332.2959
Cer(d18:0/22:4),674.572737,614.55161,584.5411,356.2959,265.2534,330.2802
Cer(d18:0/22:5),672.557137,612.53601,582.5255,354.2803,265.2534,328.2646
Cer(d18:0/22:6),670.541437,610.52031,580.5098,352.2646,265.2534,326.2489
Cer(d18:0/23:0),696.651037,636.62991,606.6194,378.3742,265.2534,352.3585
Cer(d18:0/24:0),710.666637,650.64551,620.635,392.3898,265.2534,366.3741
Cer(d18:0/24:1),708.651037,648.62991,618.6194,390.3742,265.2534,364.3585
Cer(d18:0/25:0),724.682337,664.66121,634.6507,406.4055,265.2534,380.3898
Cer(d18:0/26:0),738.697937,678.67681,648.6663,420.4211,265.2534,394.4054
Cer(d18:0/8:0),486.416237,426.39511,396.3846,168.1394,265.2534,142.1237
Cer(d18:1/10:0),512.431937,452.41081,422.4003,196.1707,263.2378,170.155
Cer(d18:1/12:0),540.463237,480.44211,450.4316,224.202,263.2378,198.1863
Cer(d18:1/13:0),554.478937,494.45781,464.4473,238.2177,263.2378,212.202
Cer(d18:1/14:0),568.494537,508.47341,478.4629,252.2333,263.2378,226.2176
Cer(d18:1/14:1),566.478937,506.45781,476.4473,250.2177,263.2378,224.202
Cer(d18:1/15:0),582.510237,522.48911,492.4786,266.249,263.2378,240.2333
Cer(d18:1/15:1),580.494537,520.47341,490.4629,264.2333,263.2378,238.2176
Cer(d18:1/16:0),596.525837,536.50471,506.4942,280.2646,263.2378,254.2489
Cer(d18:1/16:1),594.510237,534.48911,504.4786,278.249,263.2378,252.2333
Cer(d18:1/17:0),610.541537,550.52041,520.5099,294.2803,263.2378,268.2646
Cer(d18:1/17:1),608.525837,548.50471,518.4942,292.2646,263.2378,266.2489
Cer(d18:1/17:2),606.510237,546.48911,516.4786,290.249,263.2378,264.2333
Cer(d18:1/18:0),624.557137,564.53601,534.5255,308.2959,263.2378,282.2802
Cer(d18:1/18:1),622.541537,562.52041,532.5099,306.2803,263.2378,280.2646
Cer(d18:1/18:2),620.525837,560.50471,530.4942,304.2646,263.2378,278.2489
Cer(d18:1/18:3),618.510237,558.48911,528.4786,302.249,263.2378,276.2333
Cer(d18:1/18:4),616.494537,556.47341,526.4629,300.2333,263.2378,274.2176
Cer(d18:1/19:0),638.572837,578.55171,548.5412,322.3116,263.2378,296.2959
Cer(d18:1/20:0),652.588437,592.56731,562.5568,336.3272,263.2378,310.3115
Cer(d18:1/20:1),650.572837,590.55171,560.5412,334.3116,263.2378,308.2959
Cer(d18:1/20:2),648.557137,588.53601,558.5255,332.2959,263.2378,306.2802
Cer(d18:1/20:3),646.541537,586.52041,556.5099,330.2803,263.2378,304.2646
Cer(d18:1/20:4),644.525837,584.50471,554.4942,328.2646,263.2378,302.2489
Cer(d18:1/20:5),642.510237,582.48911,552.4786,326.249,263.2378,300.2333
Cer(d18:1/21:0),666.604137,606.58301,576.5725,350.3429,263.2378,324.3272
Cer(d18:1/22:0),680.619737,620.59861,590.5881,364.3585,263.2378,338.3428
Cer(d18:1/22:1),678.604137,618.58301,588.5725,362.3429,263.2378,336.3272
Cer(d18:1/22:2),676.588437,616.56731,586.5568,360.3272,263.2378,334.3115
Cer(d18:1/22:3),674.572837,614.55171,584.5412,358.3116,263.2378,332.2959
Cer(d18:1/22:4),672.557137,612.53601,582.5255,356.2959,263.2378,330.2802
Cer(d18:1/22:5),670.541537,610.52041,580.5099,354.2803,263.2378,328.2646
Cer(d18:1/22:6),668.525837,608.50471,578.4942,352.2646,263.2378,326.2489
Cer(d18:1/23:0),694.635437,634.61431,604.6038,378.3742,263.2378,352.3585
Cer(d18:1/24:0),708.651037,648.62991,618.6194,392.3898,263.2378,366.3741
Cer(d18:1/24:1),706.635437,646.61431,616.6038,390.3742,263.2378,364.3585
Cer(d18:1/25:0),722.666737,662.64561,632.6351,406.4055,263.2378,380.3898
Cer(d18:1/26:0),736.682337,676.66121,646.6507,420.4211,263.2378,394.4054
Cer(d18:1/8:0),484.400637,424.37951,394.369,168.1394,263.2378,142.1237
Cer(d18:2/10:0),510.416237,450.39511,420.3846,196.1707,261.2221,170.155
Cer(d18:2/12:0),538.447537,478.42641,448.4159,224.202,261.2221,198.1863
Cer(d18:2/13:0),552.463237,492.44211,462.4316,238.2177,261.2221,212.202
Cer(d18:2/14:0),566.478837,506.45771,476.4472,252.2333,261.2221,226.2176
Cer(d18:2/14:1),564.463237,504.44211,474.4316,250.2177,261.2221,224.202
Cer(d18:2/15:0),580.494537,520.47341,490.4629,266.249,261.2221,240.2333
Cer(d18:2/15:1),578.478837,518.45771,488.4472,264.2333,261.2221,238.2176
Cer(d18:2/16:0),594.510137,534.48901,504.4785,280.2646,261.2221,254.2489
Cer(d18:2/16:1),592.494537,532.47341,502.4629,278.249,261.2221,252.2333
Cer(d18:2/17:0),608.525837,548.50471,518.4942,294.2803,261.2221,268.2646
Cer(d18:2/17:1),606.510137,546.48901,516.4785,292.2646,261.2221,266.2489
Cer(d18:2/17:2),604.494537,544.47341,514.4629,290.249,261.2221,264.2333
Cer(d18:2/18:0),622.541437,562.52031,532.5098,308.2959,261.2221,282.2802
Cer(d18:2/18:1),620.525837,560.50471,530.4942,306.2803,261.2221,280.2646
Cer(d18:2/18:2),618.510137,558.48901,528.4785,304.2646,261.2221,278.2489
Cer(d18:2/18:3),616.494537,556.47341,526.4629,302.249,261.2221,276.2333
Cer(d18:2/18:4),614.478837,554.45771,524.4472,300.2333,261.2221,274.2176
Cer(d18:2/19:0),636.557137,576.53601,546.5255,322.3116,261.2221,296.2959
Cer(d18:2/20:0),650.572737,590.55161,560.5411,336.3272,261.2221,310.3115
Cer(d18:2/20:1),648.557137,588.53601,558.5255,334.3116,261.2221,308.2959
Cer(d18:2/20:2),646.541437,586.52031,556.5098,332.2959,261.2221,306.2802
Cer(d18:2/20:3),644.525837,584.50471,554.4942,330.2803,261.2221,304.2646
Cer(d18:2/20:4),642.510137,582.48901,552.4785,328.2646,261.2221,302.2489
Cer(d18:2/20:5),640.494537,580.47341,550.4629,326.249,261.2221,300.2333
Cer(d18:2/21:0),664.588437,604.56731,574.5568,350.3429,261.2221,324.3272
Cer(d18:2/22:0),678.604037,618.58291,588.5724,364.3585,261.2221,338.3428
Cer(d18:2/22:1),676.588437,616.56731,586.5568,362.3429,261.2221,336.3272
Cer(d18:2/22:2),674.572737,614.55161,584.5411,360.3272,261.2221,334.3115
Cer(d18:2/22:3),672.557137,612.53601,582.5255,358.3116,261.2221,332.2959
Cer(d18:2/22:4),670.541437,610.52031,580.5098,356.2959,261.2221,330.2802
Cer(d18:2/22:5),668.525837,608.50471,578.4942,354.2803,261.2221,328.2646
Cer(d18:2/22:6),666.510137,606.48901,576.4785,352.2646,261.2221,326.2489
Cer(d18:2/23:0),692.619737,632.59861,602.5881,378.3742,261.2221,352.3585
Cer(d18:2/24:0),706.635337,646.61421,616.6037,392.3898,261.2221,366.3741
Cer(d18:2/24:1),704.619737,644.59861,614.5881,390.3742,261.2221,364.3585
Cer(d18:2/25:0),720.651037,660.62991,630.6194,406.4055,261.2221,380.3898
Cer(d18:2/26:0),734.666637,674.64551,644.635,420.4211,261.2221,394.4054
Cer(d18:2/8:0),482.384937,422.36381,392.3533,168.1394,261.2221,142.1237
Cer(d18:3/10:0),508.400637,448.37951,418.369,196.1707,259.2065,170.155
Cer(d18:3/12:0),536.431937,476.41081,446.4003,224.202,259.2065,198.1863
Cer(d18:3/13:0),550.447637,490.42651,460.416,238.2177,259.2065,212.202
Cer(d18:3/14:0),564.463237,504.44211,474.4316,252.2333,259.2065,226.2176
Cer(d18:3/14:1),562.447637,502.42651,472.416,250.2177,259.2065,224.202
Cer(d18:3/15:0),578.478937,518.45781,488.4473,266.249,259.2065,240.2333
Cer(d18:3/15:1),576.463237,516.44211,486.4316,264.2333,259.2065,238.2176
Cer(d18:3/16:0),592.494537,532.47341,502.4629,280.2646,259.2065,254.2489
Cer(d18:3/16:1),590.478937,530.45781,500.4473,278.249,259.2065,252.2333
Cer(d18:3/17:0),606.510237,546.48911,516.4786,294.2803,259.2065,268.2646
Cer(d18:3/17:1),604.494537,544.47341,514.4629,292.2646,259.2065,266.2489
Cer(d18:3/17:2),602.478937,542.45781,512.4473,290.249,259.2065,264.2333
Cer(d18:3/18:0),620.525837,560.50471,530.4942,308.2959,259.2065,282.2802
Cer(d18:3/18:1),618.510237,558.48911,528.4786,306.2803,259.2065,280.2646
Cer(d18:3/18:2),616.494537,556.47341,526.4629,304.2646,259.2065,278.2489
Cer(d18:3/18:3),614.478937,554.45781,524.4473,302.249,259.2065,276.2333
Cer(d18:3/18:4),612.463237,552.44211,522.4316,300.2333,259.2065,274.2176
Cer(d18:3/19:0),634.541537,574.52041,544.5099,322.3116,259.2065,296.2959
Cer(d18:3/20:0),648.557137,588.53601,558.5255,336.3272,259.2065,310.3115
Cer(d18:3/20:1),646.541537,586.52041,556.5099,334.3116,259.2065,308.2959
Cer(d18:3/20:2),644.525837,584.50471,554.4942,332.2959,259.2065,306.2802
Cer(d18:3/20:3),642.510237,582.48911,552.4786,330.2803,259.2065,304.2646
Cer(d18:3/20:4),640.494537,580.47341,550.4629,328.2646,259.2065,302.2489
Cer(d18:3/20:5),638.478937,578.45781,548.4473,326.249,259.2065,300.2333
Cer(d18:3/21:0),662.572837,602.55171,572.5412,350.3429,259.2065,324.3272
Cer(d18:3/22:0),676.588437,616.56731,586.5568,364.3585,259.2065,338.3428
Cer(d18:3/22:1),674.572837,614.55171,584.5412,362.3429,259.2065,336.3272
Cer(d18:3/22:2),672.557137,612.53601,582.5255,360.3272,259.2065,334.3115
Cer(d18:3/22:3),670.541537,610.52041,580.5099,358.3116,259.2065,332.2959
Cer(d18:3/22:4),668.525837,608.50471,578.4942,356.2959,259.2065,330.2802
Cer(d18:3/22:5),666.510237,606.48911,576.4786,354.2803,259.2065,328.2646
Cer(d18:3/22:6),664.494537,604.47341,574.4629,352.2646,259.2065,326.2489
Cer(d18:3/23:0),690.604137,630.58301,600.5725,378.3742,259.2065,352.3585
Cer(d18:3/24:0),704.619737,644.59861,614.5881,392.3898,259.2065,366.3741
Cer(d18:3/24:1),702.604137,642.58301,612.5725,390.3742,259.2065,364.3585
Cer(d18:3/25:0),718.635437,658.61431,628.6038,406.4055,259.2065,380.3898
Cer(d18:3/26:0),732.651037,672.62991,642.6194,420.4211,259.2065,394.4054
Cer(d18:3/8:0),480.369337,420.34821,390.3377,168.1394,259.2065,142.1237
Cer(d18:4/10:0),506.384937,446.36381,416.3533,196.1707,257.1908,170.155
Cer(d18:4/12:0),534.416237,474.39511,444.3846,224.202,257.1908,198.1863
Cer(d18:4/13:0),548.431937,488.41081,458.4003,238.2177,257.1908,212.202
Cer(d18:4/14:0),562.447537,502.42641,472.4159,252.2333,257.1908,226.2176
Cer(d18:4/14:1),560.431937,500.41081,470.4003,250.2177,257.1908,224.202
Cer(d18:4/15:0),576.463237,516.44211,486.4316,266.249,257.1908,240.2333
Cer(d18:4/15:1),574.447537,514.42641,484.4159,264.2333,257.1908,238.2176
Cer(d18:4/16:0),590.478837,530.45771,500.4472,280.2646,257.1908,254.2489
Cer(d18:4/16:1),588.463237,528.44211,498.4316,278.249,257.1908,252.2333
Cer(d18:4/17:0),604.494537,544.47341,514.4629,294.2803,257.1908,268.2646
Cer(d18:4/17:1),602.478837,542.45771,512.4472,292.2646,257.1908,266.2489
Cer(d18:4/17:2),600.463237,540.44211,510.4316,290.249,257.1908,264.2333
Cer(d18:4/18:0),618.510137,558.48901,528.4785,308.2959,257.1908,282.2802
Cer(d18:4/18:1),616.494537,556.47341,526.4629,306.2803,257.1908,280.2646
Cer(d18:4/18:2),614.478837,554.45771,524.4472,304.2646,257.1908,278.2489
Cer(d18:4/18:3),612.463237,552.44211,522.4316,302.249,257.1908,276.2333
Cer(d18:4/18:4),610.447537,550.42641,520.4159,300.2333,257.1908,274.2176
Cer(d18:4/19:0),632.525837,572.50471,542.4942,322.3116,257.1908,296.2959
Cer(d18:4/20:0),646.541437,586.52031,556.5098,336.3272,257.1908,310.3115
Cer(d18:4/20:1),644.525837,584.50471,554.4942,334.3116,257.1908,308.2959
Cer(d18:4/20:2),642.510137,582.48901,552.4785,332.2959,257.1908,306.2802
Cer(d18:4/20:3),640.494537,580.47341,550.4629,330.2803,257.1908,304.2646
Cer(d18:4/20:4),638.478837,578.45771,548.4472,328.2646,257.1908,302.2489
Cer(d18:4/20:5),636.463237,576.44211,546.4316,326.249,257.1908,300.2333
Cer(d18:4/21:0),660.557137,600.53601,570.5255,350.3429,257.1908,324.3272
Cer(d18:4/22:0),674.572737,614.55161,584.5411,364.3585,257.1908,338.3428
Cer(d18:4/22:1),672.557137,612.53601,582.5255,362.3429,257.1908,336.3272
Cer(d18:4/22:2),670.541437,610.52031,580.5098,360.3272,257.1908,334.3115
Cer(d18:4/22:3),668.525837,608.50471,578.4942,358.3116,257.1908,332.2959
Cer(d18:4/22:4),666.510137,606.48901,576.4785,356.2959,257.1908,330.2802
Cer(d18:4/22:5),664.494537,604.47341,574.4629,354.2803,257.1908,328.2646
Cer(d18:4/22:6),662.478837,602.45771,572.4472,352.2646,257.1908,326.2489
Cer(d18:4/23:0),688.588437,628.56731,598.5568,378.3742,257.1908,352.3585
Cer(d18:4/24:0),702.604037,642.58291,612.5724,392.3898,257.1908,366.3741
Cer(d18:4/24:1),700.588437,640.56731,610.5568,390.3742,257.1908,364.3585
Cer(d18:4/25:0),716.619737,656.59861,626.5881,406.4055,257.1908,380.3898
Cer(d18:4/26:0),730.635337,670.61421,640.6037,420.4211,257.1908,394.4054
Cer(d18:4/8:0),478.353637,418.33251,388.322,168.1394,257.1908,142.1237
Cer(d19:0/10:0),528.463237,468.44211,438.4316,196.1707,279.2691,170.155
