SM,[M+H2PO4]-,[M-CH3]-,[T2-H]-,[PC-CH3-H]-
SM(d15:1/24:1)+H2PO4,867.599817,755.6026,365.3425,168.0431
SM(d15:1/25:0)+H2PO4,883.631117,771.6339,381.3738,168.0431
SM(d15:1/26:0)+H2PO4,897.646717,785.6495,395.3894,168.0431
SM(d15:1/8:0)+H2PO4,645.365017,533.3678,143.1077,168.0431
SM(d16:0/10:0)+H2PO4,689.427617,577.4304,171.139,168.0431
SM(d16:0/12:0)+H2PO4,717.458917,605.4617,199.1703,168.0431
SM(d16:0/13:0)+H2PO4,731.474617,619.4774,213.186,168.0431
SM(d16:0/14:0)+H2PO4,745.490217,633.493,227.2016,168.0431
SM(d16:0/14:1)+H2PO4,743.474617,631.4774,225.186,168.0431
SM(d16:0/15:0)+H2PO4,759.505917,647.5087,241.2173,168.0431
SM(d16:0/15:1)+H2PO4,757.490217,645.493,239.2016,168.0431
SM(d16:0/16:0)+H2PO4,773.521517,661.5243,255.2329,168.0431
SM(d16:0/16:1)+H2PO4,771.505917,659.5087,253.2173,168.0431
SM(d16:0/17:0)+H2PO4,787.537217,675.54,269.2486,168.0431
SM(d16:0/17:1)+H2PO4,785.521517,673.5243,267.2329,168.0431
SM(d16:0/17:2)+H2PO4,783.505917,671.5087,265.2173,168.0431
SM(d16:0/18:0)+H2PO4,801.552817,689.5556,283.2642,168.0431
SM(d16:0/18:1)+H2PO4,799.537217,687.54,281.2486,168.0431
SM(d16:0/18:2)+H2PO4,797.521517,685.5243,279.2329,168.0431
SM(d16:0/18:3)+H2PO4,795.505917,683.5087,277.2173,168.0431
SM(d16:0/18:4)+H2PO4,793.490217,681.493,275.2016,168.0431
SM(d16:0/19:0)+H2PO4,815.568517,703.5713,297.2799,168.0431
SM(d16:0/20:0)+H2PO4,829.584117,717.5869,311.2955,168.0431
SM(d16:0/20:1)+H2PO4,827.568517,715.5713,309.2799,168.0431
SM(d16:0/20:2)+H2PO4,825.552817,713.5556,307.2642,168.0431
SM(d16:0/20:3)+H2PO4,823.537217,711.54,305.2486,168.0431
SM(d16:0/20:4)+H2PO4,821.521517,709.5243,303.2329,168.0431
SM(d16:0/20:5)+H2PO4,819.505917,707.5087,301.2173,168.0431
SM(d16:0/21:0)+H2PO4,843.599817,731.6026,325.3112,168.0431
SM(d16:0/22:0)+H2PO4,857.615417,745.6182,339.3268,168.0431
SM(d16:0/22:1)+H2PO4,855.599817,743.6026,337.3112,168.0431
SM(d16:0/22:2)+H2PO4,853.584117,741.5869,335.2955,168.0431
SM(d16:0/22:3)+H2PO4,851.568517,739.5713,333.2799,168.0431
SM(d16:0/22:4)+H2PO4,849.552817,737.5556,331.2642,168.0431
SM(d16:0/22:5)+H2PO4,847.537217,735.54,329.2486,168.0431
SM(d16:0/22:6)+H2PO4,845.521517,733.5243,327.2329,168.0431
SM(d16:0/23:0)+H2PO4,871.631117,759.6339,353.3425,168.0431
SM(d16:0/24:0)+H2PO4,885.646717,773.6495,367.3581,168.0431
SM(d16:0/24:1)+H2PO4,883.631117,771.6339,365.3425,168.0431
SM(d16:0/25:0)+H2PO4,899.662417,787.6652,381.3738,168.0431
SM(d16:0/26:0)+H2PO4,913.678017,801.6808,395.3894,168.0431
SM(d16:0/8:0)+H2PO4,661.396317,549.3991,143.1077,168.0431
SM(d16:1/10:0)+H2PO4,687.412017,575.4148,171.139,168.0431
SM(d16:1/12:0)+H2PO4,715.443317,603.4461,199.1703,168.0431
SM(d16:1/13:0)+H2PO4,729.459017,617.4618,213.186,168.0431
SM(d16:1/14:0)+H2PO4,743.474617,631.4774,227.2016,168.0431
SM(d16:1/14:1)+H2PO4,741.459017,629.4618,225.186,168.0431
SM(d16:1/15:0)+H2PO4,757.490317,645.4931,241.2173,168.0431
SM(d16:1/15:1)+H2PO4,755.474617,643.4774,239.2016,168.0431
SM(d16:1/16:0)+H2PO4,771.505917,659.5087,255.2329,168.0431
SM(d16:1/16:1)+H2PO4,769.490317,657.4931,253.2173,168.0431
SM(d16:1/17:0)+H2PO4,785.521617,673.5244,269.2486,168.0431
SM(d16:1/17:1)+H2PO4,783.505917,671.5087,267.2329,168.0431
SM(d16:1/17:2)+H2PO4,781.490317,669.4931,265.2173,168.0431
SM(d16:1/18:0)+H2PO4,799.537217,687.54,283.2642,168.0431
SM(d16:1/18:1)+H2PO4,797.521617,685.5244,281.2486,168.0431
SM(d16:1/18:2)+H2PO4,795.505917,683.5087,279.2329,168.0431
SM(d16:1/18:3)+H2PO4,793.490317,681.4931,277.2173,168.0431
SM(d16:1/18:4)+H2PO4,791.474617,679.4774,275.2016,168.0431
SM(d16:1/19:0)+H2PO4,813.552917,701.5557,297.2799,168.0431
SM(d16:1/20:0)+H2PO4,827.568517,715.5713,311.2955,168.0431
SM(d16:1/20:1)+H2PO4,825.552917,713.5557,309.2799,168.0431
SM(d16:1/20:2)+H2PO4,823.537217,711.54,307.2642,168.0431
SM(d16:1/20:3)+H2PO4,821.521617,709.5244,305.2486,168.0431
SM(d16:1/20:4)+H2PO4,819.505917,707.5087,303.2329,168.0431
SM(d16:1/20:5)+H2PO4,817.490317,705.4931,301.2173,168.0431
SM(d16:1/21:0)+H2PO4,841.584217,729.587,325.3112,168.0431
SM(d16:1/22:0)+H2PO4,855.599817,743.6026,339.3268,168.0431
SM(d16:1/22:1)+H2PO4,853.584217,741.587,337.3112,168.0431
SM(d16:1/22:2)+H2PO4,851.568517,739.5713,335.2955,168.0431
SM(d16:1/22:3)+H2PO4,849.552917,737.5557,333.2799,168.0431
SM(d16:1/22:4)+H2PO4,847.537217,735.54,331.2642,168.0431
SM(d16:1/22:5)+H2PO4,845.521617,733.5244,329.2486,168.0431
SM(d16:1/22:6)+H2PO4,843.505917,731.5087,327.2329,168.0431
SM(d16:1/23:0)+H2PO4,869.615517,757.6183,353.3425,168.0431
SM(d16:1/24:0)+H2PO4,883.631117,771.6339,367.3581,168.0431
SM(d16:1/24:1)+H2PO4,881.615517,769.6183,365.3425,168.0431
SM(d16:1/25:0)+H2PO4,897.646817,785.6496,381.3738,168.0431
SM(d16:1/26:0)+H2PO4,911.662417,799.6652,395.3894,168.0431
SM(d16:1/8:0)+H2PO4,659.380717,547.3835,143.1077,168.0431
SM(d17:0/10:0)+H2PO4,703.443317,591.4461,171.139,168.0431
SM(d17:0/12:0)+H2PO4,731.474617,619.4774,199.1703,168.0431
SM(d17:0/13:0)+H2PO4,745.490317,633.4931,213.186,168.0431
SM(d17:0/14:0)+H2PO4,759.505917,647.5087,227.2016,168.0431
SM(d17:0/14:1)+H2PO4,757.490317,645.4931,225.186,168.0431
SM(d17:0/15:0)+H2PO4,773.521617,661.5244,241.2173,168.0431
SM(d17:0/15:1)+H2PO4,771.505917,659.5087,239.2016,168.0431
SM(d17:0/16:0)+H2PO4,787.537217,675.54,255.2329,168.0431
SM(d17:0/16:1)+H2PO4,785.521617,673.5244,253.2173,168.0431
SM(d17:0/17:0)+H2PO4,801.552917,689.5557,269.2486,168.0431
SM(d17:0/17:1)+H2PO4,799.537217,687.54,267.2329,168.0431
SM(d17:0/17:2)+H2PO4,797.521617,685.5244,265.2173,168.0431
