PA,[M-H]-,[M-T1Ketene]-,[M-T2Ketene]-,[M-T1RCOOH]-,[M-T2RCOOH]-,[GlyceroPA-CH3-H2O]-,[T1_RCOO]-,[T2_RCOO]-,[Glycerol-3-phosphate]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-
PA(8:0_25:0),661.48146,535.37699,297.11089,517.36643,279.10033,224.06881,143.10775,381.37385,171.00644,152.99586,96.96964,78.95852
PA(8:0_26:0),675.49706,549.39259,297.11089,531.38203,279.10033,224.06881,143.10775,395.38945,171.00644,152.99586,96.96964,78.95852
PA(10:0_10:0),479.27796,325.14219,325.14219,307.13163,307.13163,224.06881,171.13905,171.13905,171.00644,152.99586,96.96964,78.95852
PA(10:0_12:0),507.30926,353.17349,325.14219,335.16293,307.13163,224.06881,171.13905,199.17035,171.00644,152.99586,96.96964,78.95852
PA(10:0_13:0),521.32496,367.18919,325.14219,349.17863,307.13163,224.06881,171.13905,213.18605,171.00644,152.99586,96.96964,78.95852
PA(10:0_14:0),535.34056,381.20479,325.14219,363.19423,307.13163,224.06881,171.13905,227.20165,171.00644,152.99586,96.96964,78.95852
PA(10:0_14:1),533.32496,379.18919,325.14219,361.17863,307.13163,224.06881,171.13905,225.18605,171.00644,152.99586,96.96964,78.95852
PA(10:0_15:0),549.35626,395.22049,325.14219,377.20993,307.13163,224.06881,171.13905,241.21735,171.00644,152.99586,96.96964,78.95852
PA(10:0_15:1),547.34056,393.20479,325.14219,375.19423,307.13163,224.06881,171.13905,239.20165,171.00644,152.99586,96.96964,78.95852
PA(10:0_16:0),563.37186,409.23609,325.14219,391.22553,307.13163,224.06881,171.13905,255.23295,171.00644,152.99586,96.96964,78.95852
PA(10:0_16:1),561.35626,407.22049,325.14219,389.20993,307.13163,224.06881,171.13905,253.21735,171.00644,152.99586,96.96964,78.95852
PA(10:0_17:0),577.38756,423.25179,325.14219,405.24123,307.13163,224.06881,171.13905,269.24865,171.00644,152.99586,96.96964,78.95852
