PS,[M-H]-,[M-Serine]-,[M-T1Ketene]-,[M-T2Ketene]-,[M-T1RCOOH]-,[M-T2RCOOH]-,[GlyceroPC-CH3-H2O]-,[T1_RCOO]-,[T2_RCOO]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-
PS(8:0_26:0),762.5291,675.49708,549.39261,297.11091,531.38205,279.10035,224.06881,143.10775,395.38945,152.99586,96.96964,78.95852
PS(10:0_10:0),566.31,479.27798,325.14221,325.14221,307.13165,307.13165,224.06881,171.13905,171.13905,152.99586,96.96964,78.95852
PS(10:0_12:0),594.3413,507.30928,353.17351,325.14221,335.16295,307.13165,224.06881,171.13905,199.17035,152.99586,96.96964,78.95852
PS(10:0_13:0),608.357,521.32498,367.18921,325.14221,349.17865,307.13165,224.06881,171.13905,213.18605,152.99586,96.96964,78.95852
PS(10:0_14:0),622.3726,535.34058,381.20481,325.14221,363.19425,307.13165,224.06881,171.13905,227.20165,152.99586,96.96964,78.95852
PS(10:0_14:1),620.357,533.32498,379.18921,325.14221,361.17865,307.13165,224.06881,171.13905,225.18605,152.99586,96.96964,78.95852
PS(10:0_15:0),636.3883,549.35628,395.22051,325.14221,377.20995,307.13165,224.06881,171.13905,241.21735,152.99586,96.96964,78.95852
PS(10:0_15:1),634.3726,547.34058,393.20481,325.14221,375.19425,307.13165,224.06881,171.13905,239.20165,152.99586,96.96964,78.95852
PS(10:0_16:0),650.4039,563.37188,409.23611,325.14221,391.22555,307.13165,224.06881,171.13905,255.23295,152.99586,96.96964,78.95852
PS(10:0_16:1),648.3883,561.35628,407.22051,325.14221,389.20995,307.13165,224.06881,171.13905,253.21735,152.99586,96.96964,78.95852
PS(10:0_17:0),664.4196,577.38758,423.25181,325.14221,405.24125,307.13165,224.06881,171.13905,269.24865,152.99586,96.96964,78.95852
PS(10:0_17:1),662.4039,575.37188,421.23611,325.14221,403.22555,307.13165,224.06881,171.13905,267.23295,152.99586,96.96964,78.95852
PS(10:0_17:2),660.3883,573.35628,419.22051,325.14221,401.20995,307.13165,224.06881,171.13905,265.21735,152.99586,96.96964,78.95852
PS(10:0_18:0),678.4352,591.40318,437.26741,325.14221,419.25685,307.13165,224.06881,171.13905,283.26425,152.99586,96.96964,78.95852
PS(10:0_18:1),676.4196,589.38758,435.25181,325.14221,417.24125,307.13165,224.06881,171.13905,281.24865,152.99586,96.96964,78.95852
PS(10:0_18:2),674.4039,587.37188,433.23611,325.14221,415.22555,307.13165,224.06881,171.13905,279.23295,152.99586,96.96964,78.95852
PS(10:0_18:3),672.3883,585.35628,431.22051,325.14221,413.20995,307.13165,224.06881,171.13905,277.21735,152.99586,96.96964,78.95852
PS(10:0_18:4),670.3726,583.34058,429.20481,325.14221,411.19425,307.13165,224.06881,171.13905,275.20165,152.99586,96.96964,78.95852
PS(10:0_19:0),692.4509,605.41888,451.28311,325.14221,433.27255,307.13165,224.06881,171.13905,297.27995,152.99586,96.96964,78.95852
PS(10:0_20:0),706.4665,619.43448,465.29871,325.14221,447.28815,307.13165,224.06881,171.13905,311.29555,152.99586,96.96964,78.95852
PS(10:0_20:1),704.4509,617.41888,463.28311,325.14221,445.27255,307.13165,224.06881,171.13905,309.27995,152.99586,96.96964,78.95852
PS(10:0_20:2),702.4352,615.40318,461.26741,325.14221,443.25685,307.13165,224.06881,171.13905,307.26425,152.99586,96.96964,78.95852
PS(10:0_20:3),700.4196,613.38758,459.25181,325.14221,441.24125,307.13165,224.06881,171.13905,305.24865,152.99586,96.96964,78.95852
PS(10:0_20:4),698.4039,611.37188,457.23611,325.14221,439.22555,307.13165,224.06881,171.13905,303.23295,152.99586,96.96964,78.95852
PS(10:0_20:5),696.3883,609.35628,455.22051,325.14221,437.20995,307.13165,224.06881,171.13905,301.21735,152.99586,96.96964,78.95852
PS(10:0_21:0),720.4822,633.45018,479.31441,325.14221,461.30385,307.13165,224.06881,171.13905,325.31125,152.99586,96.96964,78.95852
PS(10:0_22:0),734.4978,647.46578,493.33001,325.14221,475.31945,307.13165,224.06881,171.13905,339.32685,152.99586,96.96964,78.95852
PS(10:0_22:1),732.4822,645.45018,491.31441,325.14221,473.30385,307.13165,224.06881,171.13905,337.31125,152.99586,96.96964,78.95852
PS(10:0_22:2),730.4665,643.43448,489.29871,325.14221,471.28815,307.13165,224.06881,171.13905,335.29555,152.99586,96.96964,78.95852
PS(10:0_22:3),728.4509,641.41888,487.28311,325.14221,469.27255,307.13165,224.06881,171.13905,333.27995,152.99586,96.96964,78.95852
PS(10:0_22:4),726.4352,639.40318,485.26741,325.14221,467.25685,307.13165,224.06881,171.13905,331.26425,152.99586,96.96964,78.95852
PS(10:0_22:5),724.4196,637.38758,483.25181,325.14221,465.24125,307.13165,224.06881,171.13905,329.24865,152.99586,96.96964,78.95852
PS(10:0_22:6),722.4039,635.37188,481.23611,325.14221,463.22555,307.13165,224.06881,171.13905,327.23295,152.99586,96.96964,78.95852
