Plasmenyl-PC,[M+HCOO]-,[M-CH3]-,[M-choline]-,[M-FA-CH3]-,[M-FA-CH3-H2O]-,[M-FA-Choline]-,[Glycerophosphocholine-CH3-H2O]-,[M-FA]-,[Phosphocholine-CH3]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-
Plasmenyl-PC(P-16:0/10:0),678.47156,618.45042,547.37692,464.31465,446.30409,375.2306,224.06881,171.13905,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/12:0),706.50286,646.48172,575.40822,464.31465,446.30409,375.2306,224.06881,199.17035,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/13:0),720.51856,660.49742,589.42392,464.31465,446.30409,375.2306,224.06881,213.18605,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/14:0),734.53416,674.51302,603.43952,464.31465,446.30409,375.2306,224.06881,227.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/14:1),732.51856,672.49742,601.42392,464.31465,446.30409,375.2306,224.06881,225.18605,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/15:0),748.54986,688.52872,617.45522,464.31465,446.30409,375.2306,224.06881,241.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/15:1),746.53416,686.51302,615.43952,464.31465,446.30409,375.2306,224.06881,239.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/16:0),762.56546,702.54432,631.47082,464.31465,446.30409,375.2306,224.06881,255.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/16:1),760.54986,700.52872,629.45522,464.31465,446.30409,375.2306,224.06881,253.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/17:0),776.58116,716.56002,645.48652,464.31465,446.30409,375.2306,224.06881,269.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/17:1),774.56546,714.54432,643.47082,464.31465,446.30409,375.2306,224.06881,267.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/17:2),772.54986,712.52872,641.45522,464.31465,446.30409,375.2306,224.06881,265.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/18:0),790.59676,730.57562,659.50212,464.31465,446.30409,375.2306,224.06881,283.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/18:1),788.58116,728.56002,657.48652,464.31465,446.30409,375.2306,224.06881,281.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/18:2),786.56546,726.54432,655.47082,464.31465,446.30409,375.2306,224.06881,279.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/18:3),784.54986,724.52872,653.45522,464.31465,446.30409,375.2306,224.06881,277.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/18:4),782.53416,722.51302,651.43952,464.31465,446.30409,375.2306,224.06881,275.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/19:0),804.61246,744.59132,673.51782,464.31465,446.30409,375.2306,224.06881,297.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/20:0),818.62806,758.60692,687.53342,464.31465,446.30409,375.2306,224.06881,311.29555,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/20:1),816.61246,756.59132,685.51782,464.31465,446.30409,375.2306,224.06881,309.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/20:2),814.59676,754.57562,683.50212,464.31465,446.30409,375.2306,224.06881,307.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/20:3),812.58116,752.56002,681.48652,464.31465,446.30409,375.2306,224.06881,305.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/20:4),810.56546,750.54432,679.47082,464.31465,446.30409,375.2306,224.06881,303.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/20:5),808.54986,748.52872,677.45522,464.31465,446.30409,375.2306,224.06881,301.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/21:0),832.64376,772.62262,701.54912,464.31465,446.30409,375.2306,224.06881,325.31125,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/22:0),846.65936,786.63822,715.56472,464.31465,446.30409,375.2306,224.06881,339.32685,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/22:1),844.64376,784.62262,713.54912,464.31465,446.30409,375.2306,224.06881,337.31125,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/22:2),842.62806,782.60692,711.53342,464.31465,446.30409,375.2306,224.06881,335.29555,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/22:3),840.61246,780.59132,709.51782,464.31465,446.30409,375.2306,224.06881,333.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/22:4),838.59676,778.57562,707.50212,464.31465,446.30409,375.2306,224.06881,331.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/22:5),836.58116,776.56002,705.48652,464.31465,446.30409,375.2306,224.06881,329.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/22:6),834.56546,774.54432,703.47082,464.31465,446.30409,375.2306,224.06881,327.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/23:0),860.67506,800.65392,729.58042,464.31465,446.30409,375.2306,224.06881,353.34255,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/24:0),874.69066,814.66952,743.59602,464.31465,446.30409,375.2306,224.06881,367.35815,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/24:1),872.67506,812.65392,741.58042,464.31465,446.30409,375.2306,224.06881,365.34255,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/25:0),888.70636,828.68522,757.61172,464.31465,446.30409,375.2306,224.06881,381.37385,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/26:0),902.72196,842.70082,771.62732,464.31465,446.30409,375.2306,224.06881,395.38945,168.04314,152.99586,96.96964,78.95852
