Plasmenyl-PE,[M-H]-,[M-T2Ketene]-,[M-T2RCOOH]-,[T2_RCOO]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-,[PE]-,[PE-H2O]-
Plasmenyl-PE(P-16:1/16:1),670.48185,434.26778,416.25722,253.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/17:0),686.51315,434.26778,416.25722,269.24865,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/17:1),684.49745,434.26778,416.25722,267.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/17:2),682.48185,434.26778,416.25722,265.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/18:0),700.52875,434.26778,416.25722,283.26425,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/18:1),698.51315,434.26778,416.25722,281.24865,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/18:2),696.49745,434.26778,416.25722,279.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/18:3),694.48185,434.26778,416.25722,277.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/18:4),692.46615,434.26778,416.25722,275.20165,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/19:0),714.54445,434.26778,416.25722,297.27995,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/20:0),728.56005,434.26778,416.25722,311.29555,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/20:1),726.54445,434.26778,416.25722,309.27995,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/20:2),724.52875,434.26778,416.25722,307.26425,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/20:3),722.51315,434.26778,416.25722,305.24865,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/20:4),720.49745,434.26778,416.25722,303.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/20:5),718.48185,434.26778,416.25722,301.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/21:0),742.57575,434.26778,416.25722,325.31125,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/22:0),756.59135,434.26778,416.25722,339.32685,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/22:1),754.57575,434.26778,416.25722,337.31125,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/22:2),752.56005,434.26778,416.25722,335.29555,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/22:3),750.54445,434.26778,416.25722,333.27995,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/22:4),748.52875,434.26778,416.25722,331.26425,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/22:5),746.51315,434.26778,416.25722,329.24865,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/22:6),744.49745,434.26778,416.25722,327.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/23:0),770.60705,434.26778,416.25722,353.34255,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:1/24:0),784.62265,434.26778,416.25722,367.35815,152.99586,96.96964,78.95852,140.01128,122.0007
