Plasmenyl-PE,[M-H]-,[M-T2Ketene]-,[M-T2RCOOH]-,[T2_RCOO]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-,[PE]-,[PE-H2O]-
Plasmenyl-PE(P-20:1/18:0),756.59135,490.33038,472.31982,283.26425,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/18:1),754.57575,490.33038,472.31982,281.24865,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/18:2),752.56005,490.33038,472.31982,279.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/18:3),750.54445,490.33038,472.31982,277.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/18:4),748.52875,490.33038,472.31982,275.20165,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/19:0),770.60705,490.33038,472.31982,297.27995,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/20:0),784.62265,490.33038,472.31982,311.29555,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/20:1),782.60705,490.33038,472.31982,309.27995,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/20:2),780.59135,490.33038,472.31982,307.26425,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/20:3),778.57575,490.33038,472.31982,305.24865,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/20:4),776.56005,490.33038,472.31982,303.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/20:5),774.54445,490.33038,472.31982,301.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/21:0),798.63835,490.33038,472.31982,325.31125,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/22:0),812.65395,490.33038,472.31982,339.32685,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/22:1),810.63835,490.33038,472.31982,337.31125,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/22:2),808.62265,490.33038,472.31982,335.29555,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/22:3),806.60705,490.33038,472.31982,333.27995,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/22:4),804.59135,490.33038,472.31982,331.26425,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/22:5),802.57575,490.33038,472.31982,329.24865,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/22:6),800.56005,490.33038,472.31982,327.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/23:0),826.66965,490.33038,472.31982,353.34255,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/24:0),840.68525,490.33038,472.31982,367.35815,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/24:1),838.66965,490.33038,472.31982,365.34255,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/25:0),854.70095,490.33038,472.31982,381.37385,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/26:0),868.71655,490.33038,472.31982,395.38945,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/8:0),616.43485,490.33038,472.31982,143.10775,152.99586,96.96964,78.95852,140.01128,122.0007
score,0.014285714,0.45,0.014285714,0.45,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714
