HexCer,[M+K]+,[M+H-H2O]+,[M+H-Hex]+,[M+H-Hex-H2O]+,[M+H-R1-H2O-Hex]+,[M+H-R1-2H2O-Hex]+
HexCer(d18:2/15:1),720.48168,664.51524,502.4624,484.4518,280.2635,262.2529
HexCer(d18:2/16:0),736.51298,680.54654,518.4937,500.4831,280.2635,262.2529
HexCer(d18:2/16:1),734.49728,678.53084,516.478,498.4675,280.2635,262.2529
HexCer(d18:2/16:2),732.48168,676.51524,514.4624,496.4518,280.2635,262.2529
HexCer(d18:2/17:0),750.52868,694.56224,532.5093,514.4988,280.2635,262.2529
HexCer(d18:2/18:0),764.54428,708.57784,546.525,528.5144,280.2635,262.2529
HexCer(d18:2/18:1),762.52868,706.56224,544.5093,526.4988,280.2635,262.2529
HexCer(d18:2/18:2),760.51298,704.54654,542.4937,524.4831,280.2635,262.2529
HexCer(d18:2/19:0),778.55998,722.59354,560.5406,542.5301,280.2635,262.2529
HexCer(d18:2/19:1),776.54428,720.57784,558.525,540.5144,280.2635,262.2529
HexCer(d18:2/20:0),792.57558,736.60914,574.5563,556.5457,280.2635,262.2529
HexCer(d18:2/20:1),790.55998,734.59354,572.5406,554.5301,280.2635,262.2529
HexCer(d18:2/20:2),788.54428,732.57784,570.525,552.5144,280.2635,262.2529
HexCer(d18:2/21:0),806.59118,750.62474,588.572,570.5613,280.2635,262.2529
HexCer(d18:2/21:1),804.57558,748.60914,586.5563,568.5457,280.2635,262.2529
HexCer(d18:2/22:0),820.60688,764.64044,602.5876,584.577,280.2635,262.2529
HexCer(d18:2/22:1),818.59118,762.62474,600.572,582.5613,280.2635,262.2529
HexCer(d18:2/22:2),816.57558,760.60914,598.5563,580.5457,280.2635,262.2529
HexCer(d18:2/23:0),834.62248,778.65604,616.6032,598.5927,280.2635,262.2529
HexCer(d18:2/23:1),832.60688,776.64044,614.5876,596.577,280.2635,262.2529
HexCer(d18:2/24:0),848.63818,792.67174,630.6189,612.6083,280.2635,262.2529
HexCer(d18:2/24:1),846.62248,790.65604,628.6032,610.5927,280.2635,262.2529
HexCer(d18:2/24:2),844.60688,788.64044,626.5876,608.577,280.2635,262.2529
HexCer(d18:2/25:0),862.65378,806.68734,644.6345,626.624,280.2635,262.2529
HexCer(d18:2/25:1),860.63818,804.67174,642.6189,624.6083,280.2635,262.2529
HexCer(d18:2/26:0),876.66948,820.70304,658.6502,640.6396,280.2635,262.2529
HexCer(d18:2/26:1),874.65378,818.68734,656.6345,638.624,280.2635,262.2529
HexCer(d18:2/26:2),872.63818,816.67174,654.6189,636.6083,280.2635,262.2529
HexCer(d18:2/27:0),890.68508,834.71864,672.6658,654.6553,280.2635,262.2529
HexCer(d18:2/27:1),888.66948,832.70304,670.6502,652.6396,280.2635,262.2529
HexCer(d18:2/28:0),904.70078,848.73434,686.6815,668.6709,280.2635,262.2529
HexCer(d18:2/28:1),902.68508,846.71864,684.6658,666.6553,280.2635,262.2529
HexCer(d18:2/28:2),900.66948,844.70304,682.6502,664.6396,280.2635,262.2529
HexCer(d18:2/29:0),918.71648,862.75004,700.6971,682.6866,280.2635,262.2529
HexCer(d18:2/29:1),916.70078,860.73434,698.6815,680.6709,280.2635,262.2529
HexCer(d18:2/30:0),932.73208,876.76564,714.7128,696.7022,280.2635,262.2529
HexCer(d18:2/30:1),930.71648,874.75004,712.6971,694.6866,280.2635,262.2529
HexCer(d18:2/30:2),928.70078,872.73434,710.6815,692.6709,280.2635,262.2529
HexCer(d18:2/31:0),946.74778,890.78134,728.7285,710.7179,280.2635,262.2529
HexCer(d18:2/31:1),944.73208,888.76564,726.7128,708.7022,280.2635,262.2529
HexCer(d18:2/32:0),960.76338,904.79694,742.7441,724.7335,280.2635,262.2529
HexCer(d18:2/32:1),958.74778,902.78134,740.7285,722.7179,280.2635,262.2529
HexCer(d18:2/32:2),956.73208,900.76564,738.7128,720.7022,280.2635,262.2529
HexCer(d18:2/33:0),974.77898,918.81254,756.7598,738.7491,280.2635,262.2529
HexCer(d18:2/33:1),972.76338,916.79694,754.7441,736.7335,280.2635,262.2529
HexCer(d18:2/34:0),988.79468,932.82824,770.7754,752.7648,280.2635,262.2529
HexCer(d18:2/34:1),986.77898,930.81254,768.7598,750.7491,280.2635,262.2529
HexCer(d18:2/34:2),984.76338,928.79694,766.7441,748.7335,280.2635,262.2529
HexCer(d18:2/35:0),1002.81028,946.84384,784.791,766.7805,280.2635,262.2529
HexCer(d18:2/35:1),1000.79468,944.82824,782.7754,764.7648,280.2635,262.2529
HexCer(d18:2/36:0),1016.82598,960.85954,798.8067,780.7961,280.2635,262.2529
HexCer(d18:2/36:1),1014.81028,958.84384,796.791,778.7805,280.2635,262.2529
HexCer(d18:2/36:2),1012.79468,956.82824,794.7754,776.7648,280.2635,262.2529
HexCer(d18:2/38:0),1044.85688,988.89044,826.838,808.8274,280.2635,262.2529
HexCer(d18:2/38:1),1042.84188,986.87544,824.8223,806.8118,280.2635,262.2529
HexCer(d18:2/38:2),1040.82588,984.85944,822.8067,804.7961,280.2635,262.2529
HexCer(d18:2/40:0),1072.88888,1016.92244,854.8693,836.8587,280.2635,262.2529
HexCer(d18:2/40:1),1070.87288,1014.90644,852.8536,834.8431,280.2635,262.2529
HexCer(d18:2/40:2),1068.85688,1012.89044,850.838,832.8274,280.2635,262.2529
HexCer(d18:2/42:0),1100.91988,1044.95344,882.9006,864.89,280.2635,262.2529
HexCer(d18:2/42:1),1098.90388,1042.93744,880.8849,862.8744,280.2635,262.2529
HexCer(d18:2/42:2),1096.88888,1040.92244,878.8693,860.8587,280.2635,262.2529
HexCer(d18:3/12:0),678.43468,622.46824,460.4154,442.4049,278.2479,260.2373
HexCer(d18:3/12:1),676.41908,620.45264,458.3998,440.3892,278.2479,260.2373
HexCer(d18:3/13:0),692.45038,636.48394,474.4311,456.4205,278.2479,260.2373
HexCer(d18:3/13:1),690.43468,634.46824,472.4154,454.4049,278.2479,260.2373
HexCer(d18:3/14:0),706.46598,650.49954,488.4467,470.4362,278.2479,260.2373
HexCer(d18:3/14:1),704.45038,648.48394,486.4311,468.4205,278.2479,260.2373
HexCer(d18:3/15:0),720.48168,664.51524,502.4624,484.4518,278.2479,260.2373
HexCer(d18:3/15:1),718.46598,662.49954,500.4467,482.4362,278.2479,260.2373
HexCer(d18:3/16:0),734.49728,678.53084,516.478,498.4675,278.2479,260.2373
HexCer(d18:3/16:1),732.48168,676.51524,514.4624,496.4518,278.2479,260.2373
HexCer(d18:3/16:2),730.46598,674.49954,512.4467,494.4362,278.2479,260.2373
HexCer(d18:3/17:0),748.51298,692.54654,530.4937,512.4831,278.2479,260.2373
HexCer(d18:3/18:0),762.52868,706.56224,544.5093,526.4988,278.2479,260.2373
HexCer(d18:3/18:1),760.51298,704.54654,542.4937,524.4831,278.2479,260.2373
HexCer(d18:3/18:2),758.49728,702.53084,540.478,522.4675,278.2479,260.2373
HexCer(d18:3/19:0),776.54428,720.57784,558.525,540.5144,278.2479,260.2373
HexCer(d18:3/19:1),774.52868,718.56224,556.5093,538.4988,278.2479,260.2373
HexCer(d18:3/20:0),790.55998,734.59354,572.5406,554.5301,278.2479,260.2373
HexCer(d18:3/20:1),788.54428,732.57784,570.525,552.5144,278.2479,260.2373
HexCer(d18:3/20:2),786.52868,730.56224,568.5093,550.4988,278.2479,260.2373
HexCer(d18:3/21:0),804.57558,748.60914,586.5563,568.5457,278.2479,260.2373
HexCer(d18:3/21:1),802.55998,746.59354,584.5406,566.5301,278.2479,260.2373
HexCer(d18:3/22:0),818.59118,762.62474,600.572,582.5613,278.2479,260.2373
HexCer(d18:3/22:1),816.57558,760.60914,598.5563,580.5457,278.2479,260.2373
HexCer(d18:3/22:2),814.55998,758.59354,596.5406,578.5301,278.2479,260.2373
HexCer(d18:3/23:0),832.60688,776.64044,614.5876,596.577,278.2479,260.2373
HexCer(d18:3/23:1),830.59118,774.62474,612.572,594.5613,278.2479,260.2373
HexCer(d18:3/24:0),846.62248,790.65604,628.6032,610.5927,278.2479,260.2373
HexCer(d18:3/24:1),844.60688,788.64044,626.5876,608.577,278.2479,260.2373
HexCer(d18:3/24:2),842.59118,786.62474,624.572,606.5613,278.2479,260.2373
HexCer(d18:3/25:0),860.63818,804.67174,642.6189,624.6083,278.2479,260.2373
HexCer(d18:3/25:1),858.62248,802.65604,640.6032,622.5927,278.2479,260.2373
HexCer(d18:3/26:0),874.65378,818.68734,656.6345,638.624,278.2479,260.2373
HexCer(d18:3/26:1),872.63818,816.67174,654.6189,636.6083,278.2479,260.2373
HexCer(d18:3/26:2),870.62248,814.65604,652.6032,634.5927,278.2479,260.2373
HexCer(d18:3/27:0),888.66948,832.70304,670.6502,652.6396,278.2479,260.2373
HexCer(d18:3/27:1),886.65378,830.68734,668.6345,650.624,278.2479,260.2373
HexCer(d18:3/28:0),902.68508,846.71864,684.6658,666.6553,278.2479,260.2373
HexCer(d18:3/28:1),900.66948,844.70304,682.6502,664.6396,278.2479,260.2373
HexCer(d18:3/28:2),898.65378,842.68734,680.6345,662.624,278.2479,260.2373
HexCer(d18:3/29:0),916.70078,860.73434,698.6815,680.6709,278.2479,260.2373
HexCer(d18:3/29:1),914.68508,858.71864,696.6658,678.6553,278.2479,260.2373
HexCer(d18:3/30:0),930.71648,874.75004,712.6971,694.6866,278.2479,260.2373
HexCer(d18:3/30:1),928.70078,872.73434,710.6815,692.6709,278.2479,260.2373
HexCer(d18:3/30:2),926.68508,870.71864,708.6658,690.6553,278.2479,260.2373
HexCer(d18:3/31:0),944.73208,888.76564,726.7128,708.7022,278.2479,260.2373
HexCer(d18:3/31:1),942.71648,886.75004,724.6971,706.6866,278.2479,260.2373
HexCer(d18:3/32:0),958.74778,902.78134,740.7285,722.7179,278.2479,260.2373
HexCer(d18:3/32:1),956.73208,900.76564,738.7128,720.7022,278.2479,260.2373
HexCer(d18:3/32:2),954.71648,898.75004,736.6971,718.6866,278.2479,260.2373
HexCer(d18:3/33:0),972.76338,916.79694,754.7441,736.7335,278.2479,260.2373
HexCer(d18:3/33:1),970.74778,914.78134,752.7285,734.7179,278.2479,260.2373
HexCer(d18:3/34:0),986.77898,930.81254,768.7598,750.7491,278.2479,260.2373
HexCer(d18:3/34:1),984.76338,928.79694,766.7441,748.7335,278.2479,260.2373
HexCer(d18:3/34:2),982.74778,926.78134,764.7285,746.7179,278.2479,260.2373
HexCer(d18:3/35:0),1000.79468,944.82824,782.7754,764.7648,278.2479,260.2373
HexCer(d18:3/35:1),998.77898,942.81254,780.7598,762.7491,278.2479,260.2373
HexCer(d18:3/36:0),1014.81028,958.84384,796.791,778.7805,278.2479,260.2373
HexCer(d18:3/36:1),1012.79468,956.82824,794.7754,776.7648,278.2479,260.2373
HexCer(d18:3/36:2),1010.77898,954.81254,792.7598,774.7491,278.2479,260.2373
HexCer(d18:3/38:0),1042.84188,986.87544,824.8223,806.8118,278.2479,260.2373
HexCer(d18:3/38:1),1040.82588,984.85944,822.8067,804.7961,278.2479,260.2373
HexCer(d18:3/38:2),1038.80988,982.84344,820.791,802.7805,278.2479,260.2373
HexCer(d18:3/40:0),1070.87288,1014.90644,852.8536,834.8431,278.2479,260.2373
HexCer(d18:3/40:1),1068.85688,1012.89044,850.838,832.8274,278.2479,260.2373
HexCer(d18:3/40:2),1066.84188,1010.87544,848.8223,830.8118,278.2479,260.2373
HexCer(d18:3/42:0),1098.90388,1042.93744,880.8849,862.8744,278.2479,260.2373
HexCer(d18:3/42:1),1096.88888,1040.92244,878.8693,860.8587,278.2479,260.2373
HexCer(d18:3/42:2),1094.87288,1038.90644,876.8536,858.8431,278.2479,260.2373
HexCer(d19:1/12:0),696.48168,640.51524,478.4624,460.4518,296.2948,278.2842
HexCer(d19:1/12:1),694.46598,638.49954,476.4467,458.4362,296.2948,278.2842
HexCer(d19:1/13:0),710.49728,654.53084,492.478,474.4675,296.2948,278.2842
HexCer(d19:1/13:1),708.48168,652.51524,490.4624,472.4518,296.2948,278.2842
HexCer(d19:1/14:0),724.51298,668.54654,506.4937,488.4831,296.2948,278.2842
HexCer(d19:1/14:1),722.49728,666.53084,504.478,486.4675,296.2948,278.2842
HexCer(d19:1/15:0),738.52868,682.56224,520.5093,502.4988,296.2948,278.2842
HexCer(d19:1/15:1),736.51298,680.54654,518.4937,500.4831,296.2948,278.2842
HexCer(d19:1/16:0),752.54428,696.57784,534.525,516.5144,296.2948,278.2842
HexCer(d19:1/16:1),750.52868,694.56224,532.5093,514.4988,296.2948,278.2842
HexCer(d19:1/16:2),748.51298,692.54654,530.4937,512.4831,296.2948,278.2842
HexCer(d19:1/17:0),766.55998,710.59354,548.5406,530.5301,296.2948,278.2842
HexCer(d19:1/18:0),780.57558,724.60914,562.5563,544.5457,296.2948,278.2842
HexCer(d19:1/18:1),778.55998,722.59354,560.5406,542.5301,296.2948,278.2842
HexCer(d19:1/18:2),776.54428,720.57784,558.525,540.5144,296.2948,278.2842
HexCer(d19:1/19:0),794.59118,738.62474,576.572,558.5613,296.2948,278.2842
HexCer(d19:1/19:1),792.57558,736.60914,574.5563,556.5457,296.2948,278.2842
HexCer(d19:1/20:0),808.60688,752.64044,590.5876,572.577,296.2948,278.2842
HexCer(d19:1/20:1),806.59118,750.62474,588.572,570.5613,296.2948,278.2842
HexCer(d19:1/20:2),804.57558,748.60914,586.5563,568.5457,296.2948,278.2842
HexCer(d19:1/21:0),822.62248,766.65604,604.6032,586.5927,296.2948,278.2842
HexCer(d19:1/21:1),820.60688,764.64044,602.5876,584.577,296.2948,278.2842
HexCer(d19:1/22:0),836.63818,780.67174,618.6189,600.6083,296.2948,278.2842
HexCer(d19:1/22:1),834.62248,778.65604,616.6032,598.5927,296.2948,278.2842
HexCer(d19:1/22:2),832.60688,776.64044,614.5876,596.577,296.2948,278.2842
HexCer(d19:1/23:0),850.65378,794.68734,632.6345,614.624,296.2948,278.2842
HexCer(d19:1/23:1),848.63818,792.67174,630.6189,612.6083,296.2948,278.2842
HexCer(d19:1/24:0),864.66948,808.70304,646.6502,628.6396,296.2948,278.2842
HexCer(d19:1/24:1),862.65378,806.68734,644.6345,626.624,296.2948,278.2842
HexCer(d19:1/24:2),860.63818,804.67174,642.6189,624.6083,296.2948,278.2842
HexCer(d19:1/25:0),878.68508,822.71864,660.6658,642.6553,296.2948,278.2842
HexCer(d19:1/25:1),876.66948,820.70304,658.6502,640.6396,296.2948,278.2842
HexCer(d19:1/26:0),892.70078,836.73434,674.6815,656.6709,296.2948,278.2842
HexCer(d19:1/26:1),890.68508,834.71864,672.6658,654.6553,296.2948,278.2842
HexCer(d19:1/26:2),888.66948,832.70304,670.6502,652.6396,296.2948,278.2842
HexCer(d19:1/27:0),906.71648,850.75004,688.6971,670.6866,296.2948,278.2842
HexCer(d19:1/27:1),904.70078,848.73434,686.6815,668.6709,296.2948,278.2842
HexCer(d19:1/28:0),920.73208,864.76564,702.7128,684.7022,296.2948,278.2842
HexCer(d19:1/28:1),918.71648,862.75004,700.6971,682.6866,296.2948,278.2842
HexCer(d19:1/28:2),916.70078,860.73434,698.6815,680.6709,296.2948,278.2842
HexCer(d19:1/29:0),934.74778,878.78134,716.7285,698.7179,296.2948,278.2842
HexCer(d19:1/29:1),932.73208,876.76564,714.7128,696.7022,296.2948,278.2842
HexCer(d19:1/30:0),948.76338,892.79694,730.7441,712.7335,296.2948,278.2842
HexCer(d19:1/30:1),946.74778,890.78134,728.7285,710.7179,296.2948,278.2842
HexCer(d19:1/30:2),944.73208,888.76564,726.7128,708.7022,296.2948,278.2842
HexCer(d19:1/31:0),962.77898,906.81254,744.7598,726.7491,296.2948,278.2842
HexCer(d19:1/31:1),960.76338,904.79694,742.7441,724.7335,296.2948,278.2842
HexCer(d19:1/32:0),976.79468,920.82824,758.7754,740.7648,296.2948,278.2842
HexCer(d19:1/32:1),974.77898,918.81254,756.7598,738.7491,296.2948,278.2842
HexCer(d19:1/32:2),972.76338,916.79694,754.7441,736.7335,296.2948,278.2842
HexCer(d19:1/33:0),990.81028,934.84384,772.791,754.7805,296.2948,278.2842
HexCer(d19:1/33:1),988.79468,932.82824,770.7754,752.7648,296.2948,278.2842
HexCer(d19:1/34:0),1004.82598,948.85954,786.8067,768.7961,296.2948,278.2842
HexCer(d19:1/34:1),1002.81028,946.84384,784.791,766.7805,296.2948,278.2842
HexCer(d19:1/34:2),1000.79468,944.82824,782.7754,764.7648,296.2948,278.2842
HexCer(d19:1/35:0),1018.84158,962.87514,800.8223,782.8118,296.2948,278.2842
HexCer(d19:1/35:1),1016.82598,960.85954,798.8067,780.7961,296.2948,278.2842
HexCer(d19:1/36:0),1032.85728,976.89084,814.838,796.8274,296.2948,278.2842
HexCer(d19:1/36:1),1030.84158,974.87514,812.8223,794.8118,296.2948,278.2842
HexCer(d19:1/36:2),1028.82598,972.85954,810.8067,792.7961,296.2948,278.2842
HexCer(d19:1/38:0),1060.88888,1004.92244,842.8693,824.8587,296.2948,278.2842
HexCer(d19:1/38:1),1058.87288,1002.90644,840.8536,822.8431,296.2948,278.2842
HexCer(d19:1/38:2),1056.85688,1000.89044,838.838,820.8274,296.2948,278.2842
HexCer(d19:1/40:0),1088.91988,1032.95344,870.9006,852.89,296.2948,278.2842
HexCer(d19:1/40:1),1086.90388,1030.93744,868.8849,850.8744,296.2948,278.2842
HexCer(d19:1/40:2),1084.88888,1028.92244,866.8693,848.8587,296.2948,278.2842
HexCer(d19:1/42:0),1116.95088,1060.98444,898.9319,880.9213,296.2948,278.2842
HexCer(d19:1/42:1),1114.93588,1058.96944,896.9163,878.9056,296.2948,278.2842
HexCer(d19:1/42:2),1112.91988,1056.95344,894.9006,876.89,296.2948,278.2842
HexCer(d19:2/12:0),694.46598,638.49954,476.4467,458.4362,294.2791,276.2686
HexCer(d19:2/12:1),692.45038,636.48394,474.4311,456.4205,294.2791,276.2686
HexCer(d19:2/13:0),708.48168,652.51524,490.4624,472.4518,294.2791,276.2686
HexCer(d19:2/13:1),706.46598,650.49954,488.4467,470.4362,294.2791,276.2686
HexCer(d19:2/14:0),722.49728,666.53084,504.478,486.4675,294.2791,276.2686
HexCer(d19:2/14:1),720.48168,664.51524,502.4624,484.4518,294.2791,276.2686
HexCer(d19:2/15:0),736.51298,680.54654,518.4937,500.4831,294.2791,276.2686
HexCer(d19:2/15:1),734.49728,678.53084,516.478,498.4675,294.2791,276.2686
HexCer(d19:2/16:0),750.52868,694.56224,532.5093,514.4988,294.2791,276.2686
HexCer(d19:2/16:1),748.51298,692.54654,530.4937,512.4831,294.2791,276.2686
HexCer(d19:2/16:2),746.49728,690.53084,528.478,510.4675,294.2791,276.2686
HexCer(d19:2/17:0),764.54428,708.57784,546.525,528.5144,294.2791,276.2686
HexCer(d19:2/18:0),778.55998,722.59354,560.5406,542.5301,294.2791,276.2686
HexCer(d19:2/18:1),776.54428,720.57784,558.525,540.5144,294.2791,276.2686
HexCer(d19:2/18:2),774.52868,718.56224,556.5093,538.4988,294.2791,276.2686
HexCer(d19:2/19:0),792.57558,736.60914,574.5563,556.5457,294.2791,276.2686
HexCer(d19:2/19:1),790.55998,734.59354,572.5406,554.5301,294.2791,276.2686
HexCer(d19:2/20:0),806.59118,750.62474,588.572,570.5613,294.2791,276.2686
HexCer(d19:2/20:1),804.57558,748.60914,586.5563,568.5457,294.2791,276.2686
HexCer(d19:2/20:2),802.55998,746.59354,584.5406,566.5301,294.2791,276.2686
HexCer(d19:2/21:0),820.60688,764.64044,602.5876,584.577,294.2791,276.2686
HexCer(d19:2/21:1),818.59118,762.62474,600.572,582.5613,294.2791,276.2686
HexCer(d19:2/22:0),834.62248,778.65604,616.6032,598.5927,294.2791,276.2686
HexCer(d19:2/22:1),832.60688,776.64044,614.5876,596.577,294.2791,276.2686
HexCer(d19:2/22:2),830.59118,774.62474,612.572,594.5613,294.2791,276.2686
HexCer(d19:2/23:0),848.63818,792.67174,630.6189,612.6083,294.2791,276.2686
HexCer(d19:2/23:1),846.62248,790.65604,628.6032,610.5927,294.2791,276.2686
HexCer(d19:2/24:0),862.65378,806.68734,644.6345,626.624,294.2791,276.2686
HexCer(d19:2/24:1),860.63818,804.67174,642.6189,624.6083,294.2791,276.2686
HexCer(d19:2/24:2),858.62248,802.65604,640.6032,622.5927,294.2791,276.2686
HexCer(d19:2/25:0),876.66948,820.70304,658.6502,640.6396,294.2791,276.2686
HexCer(d19:2/25:1),874.65378,818.68734,656.6345,638.624,294.2791,276.2686
HexCer(d19:2/26:0),890.68508,834.71864,672.6658,654.6553,294.2791,276.2686
HexCer(d19:2/26:1),888.66948,832.70304,670.6502,652.6396,294.2791,276.2686
HexCer(d19:2/26:2),886.65378,830.68734,668.6345,650.624,294.2791,276.2686
HexCer(d19:2/27:0),904.70078,848.73434,686.6815,668.6709,294.2791,276.2686
HexCer(d19:2/27:1),902.68508,846.71864,684.6658,666.6553,294.2791,276.2686
HexCer(d19:2/28:0),918.71648,862.75004,700.6971,682.6866,294.2791,276.2686
HexCer(d19:2/28:1),916.70078,860.73434,698.6815,680.6709,294.2791,276.2686
HexCer(d19:2/28:2),914.68508,858.71864,696.6658,678.6553,294.2791,276.2686
HexCer(d19:2/29:0),932.73208,876.76564,714.7128,696.7022,294.2791,276.2686
HexCer(d19:2/29:1),930.71648,874.75004,712.6971,694.6866,294.2791,276.2686
HexCer(d19:2/30:0),946.74778,890.78134,728.7285,710.7179,294.2791,276.2686
HexCer(d19:2/30:1),944.73208,888.76564,726.7128,708.7022,294.2791,276.2686
HexCer(d19:2/30:2),942.71648,886.75004,724.6971,706.6866,294.2791,276.2686
HexCer(d19:2/31:0),960.76338,904.79694,742.7441,724.7335,294.2791,276.2686
HexCer(d19:2/31:1),958.74778,902.78134,740.7285,722.7179,294.2791,276.2686
HexCer(d19:2/32:0),974.77898,918.81254,756.7598,738.7491,294.2791,276.2686
HexCer(d19:2/32:1),972.76338,916.79694,754.7441,736.7335,294.2791,276.2686
HexCer(d19:2/32:2),970.74778,914.78134,752.7285,734.7179,294.2791,276.2686
HexCer(d19:2/33:0),988.79468,932.82824,770.7754,752.7648,294.2791,276.2686
HexCer(d19:2/33:1),986.77898,930.81254,768.7598,750.7491,294.2791,276.2686
HexCer(d19:2/34:0),1002.81028,946.84384,784.791,766.7805,294.2791,276.2686
HexCer(d19:2/34:1),1000.79468,944.82824,782.7754,764.7648,294.2791,276.2686
HexCer(d19:2/34:2),998.77898,942.81254,780.7598,762.7491,294.2791,276.2686
HexCer(d19:2/35:0),1016.82598,960.85954,798.8067,780.7961,294.2791,276.2686
HexCer(d19:2/35:1),1014.81028,958.84384,796.791,778.7805,294.2791,276.2686
HexCer(d19:2/36:0),1030.84158,974.87514,812.8223,794.8118,294.2791,276.2686
HexCer(d19:2/36:1),1028.82598,972.85954,810.8067,792.7961,294.2791,276.2686
HexCer(d19:2/36:2),1026.81028,970.84384,808.791,790.7805,294.2791,276.2686
HexCer(d19:2/38:0),1058.87288,1002.90644,840.8536,822.8431,294.2791,276.2686
HexCer(d19:2/38:1),1056.85688,1000.89044,838.838,820.8274,294.2791,276.2686
HexCer(d19:2/38:2),1054.84188,998.87544,836.8223,818.8118,294.2791,276.2686
HexCer(d19:2/40:0),1086.90388,1030.93744,868.8849,850.8744,294.2791,276.2686
HexCer(d19:2/40:1),1084.88888,1028.92244,866.8693,848.8587,294.2791,276.2686
HexCer(d19:2/40:2),1082.87288,1026.90644,864.8536,846.8431,294.2791,276.2686
HexCer(d19:2/42:0),1114.93588,1058.96944,896.9163,878.9056,294.2791,276.2686
HexCer(d19:2/42:1),1112.91988,1056.95344,894.9006,876.89,294.2791,276.2686
HexCer(d19:2/42:2),1110.90388,1054.93744,892.8849,874.8744,294.2791,276.2686
HexCer(d19:3/12:0),692.45038,636.48394,474.4311,456.4205,292.2635,274.2529
HexCer(d19:3/12:1),690.43468,634.46824,472.4154,454.4049,292.2635,274.2529
HexCer(d19:3/13:0),706.46598,650.49954,488.4467,470.4362,292.2635,274.2529
HexCer(d19:3/13:1),704.45038,648.48394,486.4311,468.4205,292.2635,274.2529
HexCer(d19:3/14:0),720.48168,664.51524,502.4624,484.4518,292.2635,274.2529
HexCer(d19:3/14:1),718.46598,662.49954,500.4467,482.4362,292.2635,274.2529
HexCer(d19:3/15:0),734.49728,678.53084,516.478,498.4675,292.2635,274.2529
HexCer(d19:3/15:1),732.48168,676.51524,514.4624,496.4518,292.2635,274.2529
HexCer(d19:3/16:0),748.51298,692.54654,530.4937,512.4831,292.2635,274.2529
HexCer(d19:3/16:1),746.49728,690.53084,528.478,510.4675,292.2635,274.2529
HexCer(d19:3/16:2),744.48168,688.51524,526.4624,508.4518,292.2635,274.2529
HexCer(d19:3/17:0),762.52868,706.56224,544.5093,526.4988,292.2635,274.2529
HexCer(d19:3/18:0),776.54428,720.57784,558.525,540.5144,292.2635,274.2529
HexCer(d19:3/18:1),774.52868,718.56224,556.5093,538.4988,292.2635,274.2529
HexCer(d19:3/18:2),772.51298,716.54654,554.4937,536.4831,292.2635,274.2529
HexCer(d19:3/19:0),790.55998,734.59354,572.5406,554.5301,292.2635,274.2529
HexCer(d19:3/19:1),788.54428,732.57784,570.525,552.5144,292.2635,274.2529
HexCer(d19:3/20:0),804.57558,748.60914,586.5563,568.5457,292.2635,274.2529
HexCer(d19:3/20:1),802.55998,746.59354,584.5406,566.5301,292.2635,274.2529
HexCer(d19:3/20:2),800.54428,744.57784,582.525,564.5144,292.2635,274.2529
HexCer(d19:3/21:0),818.59118,762.62474,600.572,582.5613,292.2635,274.2529
HexCer(d19:3/21:1),816.57558,760.60914,598.5563,580.5457,292.2635,274.2529
HexCer(d19:3/22:0),832.60688,776.64044,614.5876,596.577,292.2635,274.2529
HexCer(d19:3/22:1),830.59118,774.62474,612.572,594.5613,292.2635,274.2529
HexCer(d19:3/22:2),828.57558,772.60914,610.5563,592.5457,292.2635,274.2529
HexCer(d19:3/23:0),846.62248,790.65604,628.6032,610.5927,292.2635,274.2529
HexCer(d19:3/23:1),844.60688,788.64044,626.5876,608.577,292.2635,274.2529
HexCer(d19:3/24:0),860.63818,804.67174,642.6189,624.6083,292.2635,274.2529
HexCer(d19:3/24:1),858.62248,802.65604,640.6032,622.5927,292.2635,274.2529
HexCer(d19:3/24:2),856.60688,800.64044,638.5876,620.577,292.2635,274.2529
HexCer(d19:3/25:0),874.65378,818.68734,656.6345,638.624,292.2635,274.2529
HexCer(d19:3/25:1),872.63818,816.67174,654.6189,636.6083,292.2635,274.2529
HexCer(d19:3/26:0),888.66948,832.70304,670.6502,652.6396,292.2635,274.2529
HexCer(d19:3/26:1),886.65378,830.68734,668.6345,650.624,292.2635,274.2529
HexCer(d19:3/26:2),884.63818,828.67174,666.6189,648.6083,292.2635,274.2529
HexCer(d19:3/27:0),902.68508,846.71864,684.6658,666.6553,292.2635,274.2529
HexCer(d19:3/27:1),900.66948,844.70304,682.6502,664.6396,292.2635,274.2529
HexCer(d19:3/28:0),916.70078,860.73434,698.6815,680.6709,292.2635,274.2529
HexCer(d19:3/28:1),914.68508,858.71864,696.6658,678.6553,292.2635,274.2529
HexCer(d19:3/28:2),912.66948,856.70304,694.6502,676.6396,292.2635,274.2529
HexCer(d19:3/29:0),930.71648,874.75004,712.6971,694.6866,292.2635,274.2529
HexCer(d19:3/29:1),928.70078,872.73434,710.6815,692.6709,292.2635,274.2529
HexCer(d19:3/30:0),944.73208,888.76564,726.7128,708.7022,292.2635,274.2529
HexCer(d19:3/30:1),942.71648,886.75004,724.6971,706.6866,292.2635,274.2529
HexCer(d19:3/30:2),940.70078,884.73434,722.6815,704.6709,292.2635,274.2529
HexCer(d19:3/31:0),958.74778,902.78134,740.7285,722.7179,292.2635,274.2529
